Unnamed: 0,BAL,LAC,week,year,game_id
First Downs,20,16,12.0,2023,179
Rush-Yds-TDs,35-197-1,19-86-0,12.0,2023,179
Cmp-Att-Yd-TD-INT,18-32-177-1-0,29-44-217-1-1,12.0,2023,179
Sacked-Yards,2-13,3-24,12.0,2023,179
Net Pass Yards,164,193,12.0,2023,179
Total Yards,361,279,12.0,2023,179
Fumbles-Lost,1-0,3-3,12.0,2023,179
Turnovers,0,4,12.0,2023,179
Penalties-Yards,5-42,5-41,12.0,2023,179
Third Down Conv.,4-13,7-15,12.0,2023,179
Fourth Down Conv.,1-3,1-3,12.0,2023,179
Time of Possession,33:23,26:37,12.0,2023,179
