Quarter,Time,Tm,Detail,TAM,IND,week,year,game_id
1.0,7:28,Buccaneers,Chase McLaughlin 21 yard field goal,3,0,12.0,2023,172
,3:01,Colts,Matt Gay 46 yard field goal,3,3,12.0,2023,172
,0:11,Colts,Jonathan Taylor 4 yard rush (Matt Gay kick),3,10,12.0,2023,172
2.0,9:36,Colts,Gardner Minshew II 2 yard rush (Matt Gay kick),3,17,12.0,2023,172
,5:08,Buccaneers,Mike Evans 1 yard pass from Baker Mayfield (Chase McLaughlin kick),10,17,12.0,2023,172
3.0,10:01,Colts,Matt Gay 36 yard field goal,10,20,12.0,2023,172
4.0,12:50,Buccaneers,Mike Evans 23 yard pass from Baker Mayfield (Chase McLaughlin kick),17,20,12.0,2023,172
,7:30,Colts,Jonathan Taylor 1 yard rush (Matt Gay kick),17,27,12.0,2023,172
,4:10,Buccaneers,Chase McLaughlin 24 yard field goal,20,27,12.0,2023,172
