Quarter,Time,Tm,Detail,CAR,TEN,week,year,game_id
1.0,0:34,Titans,Derrick Henry 1 yard rush (Nick Folk kick),0,7,12.0,2023,170
2.0,8:51,Panthers,Eddy Piñeiro 50 yard field goal,3,7,12.0,2023,170
,2:27,Titans,Derrick Henry 10 yard rush (Nick Folk kick),3,14,12.0,2023,170
,0:00,Titans,Nick Folk 53 yard field goal,3,17,12.0,2023,170
3.0,8:06,Panthers,Chuba Hubbard 5 yard rush (Eddy Piñeiro kick),10,17,12.0,2023,170
