Quarter,Time,Down,ToGo,Location,CHI,MIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Vikings won the coin toss and deferred, Bears to receive the opening kickoff.",,,12.0,2023,180
1.0,15:00,,,MIN 35,0.0,0.0,"Greg Joseph kicks off 70 yards, returned by Velus Jones for 28 yards (tackle by Kene Nwangwu)",0.0,0.48,12.0,2023,180
1.0,14:55,1.0,10.0,CHI 23,0.0,0.0,Justin Fields pass complete short right to Cole Kmet for 1 yard (tackle by Danielle Hunter),0.48,0.07,12.0,2023,180
1.0,14:17,2.0,9.0,CHI 24,0.0,0.0,Khalil Herbert left end for 8 yards (tackle by Ivan Pace and D.J. Wonnum),0.07,0.43,12.0,2023,180
1.0,13:22,3.0,1.0,CHI 32,0.0,0.0,Justin Fields pass complete short right to D.J. Moore for 5 yards (tackle by Camryn Bynum),0.43,1.4,12.0,2023,180
1.0,12:53,1.0,10.0,CHI 37,0.0,0.0,Khalil Herbert left tackle for 1 yard (tackle by Harrison Phillips),1.4,0.99,12.0,2023,180
1.0,12:14,2.0,9.0,CHI 38,0.0,0.0,Justin Fields scrambles right end for 4 yards (tackle by D.J. Wonnum and Jonathan Bullard),0.99,0.83,12.0,2023,180
1.0,11:30,3.0,5.0,CHI 42,0.0,0.0,Justin Fields pass complete short right to Cole Kmet for 5 yards (tackle by Josh Metellus),0.83,2.06,12.0,2023,180
1.0,10:41,1.0,10.0,CHI 47,0.0,0.0,Justin Fields pass complete short right to Cole Kmet for 4 yards (tackle by Camryn Bynum),2.06,2.06,12.0,2023,180
1.0,10:06,2.0,6.0,MIN 49,0.0,0.0,Justin Fields pass complete short left to D.J. Moore for 4 yards (tackle by Camryn Bynum),2.06,1.88,12.0,2023,180
1.0,9:17,3.0,2.0,MIN 45,0.0,0.0,Justin Fields pass complete short left to Roschon Johnson for 6 yards (tackle by Ivan Pace),1.88,2.98,12.0,2023,180
1.0,8:40,1.0,10.0,MIN 39,0.0,0.0,Justin Fields pass complete short right to Khalil Herbert for 13 yards (tackle by Byron Murphy),2.98,3.84,12.0,2023,180
1.0,8:01,1.0,10.0,MIN 26,0.0,0.0,Khalil Herbert left guard for 2 yards (tackle by Danielle Hunter and Harrison Phillips),3.84,3.57,12.0,2023,180
1.0,7:19,2.0,8.0,MIN 24,0.0,0.0,Justin Fields sacked by Ivan Pace for -5 yards,3.57,2.21,12.0,2023,180
1.0,6:38,3.0,13.0,MIN 29,0.0,0.0,Justin Fields pass complete short middle to Cole Kmet for -1 yards (tackle by Danielle Hunter),2.21,1.41,12.0,2023,180
1.0,5:58,4.0,14.0,MIN 30,0.0,0.0,Cairo Santos 48 yard field goal no good,1.41,-1.47,12.0,2023,180
1.0,5:53,1.0,10.0,MIN 38,0.0,0.0,Joshua Dobbs pass incomplete deep middle intended for Jordan Addison (defended by Eddie Jackson),1.47,0.92,12.0,2023,180
1.0,5:39,2.0,10.0,MIN 38,0.0,0.0,Ty Chandler left end for 1 yard (tackle by T.J. Edwards),0.92,0.37,12.0,2023,180
1.0,5:07,3.0,9.0,MIN 39,0.0,0.0,Joshua Dobbs sacked by Montez Sweat for -8 yards,0.37,-1.31,12.0,2023,180
1.0,4:21,4.0,17.0,MIN 31,0.0,0.0,"Ryan Wright punts 43 yards, returned by Trent Taylor for no gain (tackle by NaJee Thompson)",-1.31,-0.67,12.0,2023,180
1.0,4:14,1.0,10.0,CHI 26,0.0,0.0,Justin Fields right end for 14 yards (tackle by Mekhi Blackmon),0.67,1.6,12.0,2023,180
1.0,3:38,1.0,10.0,CHI 40,0.0,0.0,Justin Fields pass complete short left to Roschon Johnson for 22 yards (tackle by Mekhi Blackmon),1.6,3.05,12.0,2023,180
1.0,2:56,1.0,10.0,MIN 38,0.0,0.0,Justin Fields sacked by and Josh Metellus for -12 yards and Danielle Hunter for -12 yards,3.05,0.89,12.0,2023,180
1.0,2:09,2.0,22.0,MIN 50,0.0,0.0,"Penalty on CHI: Offensive Too Many Men on Field, 5 yards (accepted) (no play)",0.89,0.21,12.0,2023,180
1.0,1:51,2.0,27.0,CHI 45,0.0,0.0,Justin Fields pass complete short right to Cole Kmet for 6 yards (tackle by Byron Murphy),0.21,0.37,12.0,2023,180
1.0,1:07,3.0,21.0,MIN 49,0.0,0.0,Justin Fields pass complete short right to Roschon Johnson for 11 yards (tackle by Byron Murphy and Harrison Smith),0.37,0.72,12.0,2023,180
1.0,0:24,4.0,10.0,MIN 38,0.0,0.0,Justin Fields pass complete short left to Cole Kmet for 24 yards (tackle by Theo Jackson),0.72,4.65,12.0,2023,180
2.0,15:00,1.0,10.0,MIN 14,0.0,0.0,Roschon Johnson left end for 6 yards (tackle by D.J. Wonnum),4.65,5.09,12.0,2023,180
2.0,14:24,2.0,4.0,MIN 8,0.0,0.0,Justin Fields pass incomplete short right,5.09,4.28,12.0,2023,180
2.0,14:18,3.0,4.0,MIN 8,0.0,0.0,Justin Fields pass complete short right to Roschon Johnson for 1 yard (tackle by Camryn Bynum),4.28,2.99,12.0,2023,180
2.0,13:37,4.0,3.0,MIN 7,3.0,0.0,Cairo Santos 25 yard field goal good,2.99,3.0,12.0,2023,180
2.0,13:35,,,CHI 35,3.0,0.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,180
