Quarter,Time,Down,ToGo,Location,MIA,NYJ,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Dolphins won the coin toss and deferred, Jets to receive the opening kickoff.",,,12.0,2023,168
1.0,15:00,,,MIA 35,0.0,0.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,168
1.0,15:00,1.0,10.0,NYJ 25,0.0,0.0,Breece Hall right guard for 1 yard (tackle by Bradley Chubb),0.61,0.2,12.0,2023,168
1.0,14:26,2.0,9.0,NYJ 26,0.0,0.0,Breece Hall right end for 7 yards (tackle by Jerome Baker),0.2,0.43,12.0,2023,168
1.0,13:49,3.0,2.0,NYJ 33,0.0,0.0,"Tim Boyle pass complete to Jason Brownlee for no gain. Penalty on Zach Sieler: Defensive Offside, 5 yards (accepted) (no play)",0.43,1.47,12.0,2023,168
1.0,13:28,1.0,10.0,NYJ 38,0.0,0.0,Tim Boyle pass incomplete short right intended for Jeremy Ruckert,1.47,0.92,12.0,2023,168
1.0,13:24,2.0,10.0,NYJ 38,0.0,0.0,Breece Hall right tackle for -2 yards (tackle by Jaelan Phillips),0.92,-0.03,12.0,2023,168
1.0,12:45,3.0,12.0,NYJ 36,0.0,0.0,Tim Boyle pass complete short right to Garrett Wilson for 5 yards (tackle by Jerome Baker),-0.03,-0.65,12.0,2023,168
1.0,12:04,4.0,7.0,NYJ 41,0.0,0.0,"Thomas Morstead punts 44 yards, fair catch by Braxton Berrios at MIA-15",-0.65,0.22,12.0,2023,168
1.0,11:56,1.0,10.0,MIA 15,0.0,0.0,"Raheem Mostert left end for -4 yards (tackle by Quinnen Williams). Penalty on Quinton Jefferson: Unnecessary Roughness / Defense, 15 yards (accepted)",-0.22,0.67,12.0,2023,168
1.0,11:37,1.0,10.0,MIA 26,0.0,0.0,"Tua Tagovailoa pass complete to Raheem Mostert for 4 yards. Raheem Mostert fumbles, recovered by Raheem Mostert at MIA-31 Replay Assistant challenged the pass completion ruling, and the original play was overturned. Tua Tagovailoa pass incomplete short left intended for Raheem Mostert (defended by Ashtyn Davis)",0.67,0.13,12.0,2023,168
1.0,11:32,2.0,10.0,MIA 26,0.0,0.0,Tyreek Hill right end for 2 yards (tackle by Jordan Whitehead),0.13,-0.3,12.0,2023,168
1.0,10:53,3.0,8.0,MIA 28,0.0,0.0,Tua Tagovailoa pass complete deep left to Tyreek Hill for 35 yards (tackle by D.J. Reed),-0.3,3.12,12.0,2023,168
1.0,10:07,1.0,10.0,NYJ 37,0.0,0.0,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 8 yards (tackle by Jordan Whitehead),3.12,3.65,12.0,2023,168
1.0,9:34,2.0,2.0,NYJ 29,0.0,0.0,Tua Tagovailoa pass incomplete short left intended for Durham Smythe,3.65,2.94,12.0,2023,168
1.0,9:31,,,,,,Timeout #1 by Miami Dolphins,,,12.0,2023,168
1.0,9:31,3.0,2.0,NYJ 29,0.0,0.0,Tua Tagovailoa pass complete short left to Tyreek Hill for 17 yards (tackle by D.J. Reed),2.94,4.78,12.0,2023,168
1.0,8:47,1.0,10.0,NYJ 12,0.0,0.0,Raheem Mostert left end for 6 yards (tackle by Quincy Williams),4.78,5.21,12.0,2023,168
1.0,8:06,2.0,4.0,NYJ 6,0.0,0.0,Raheem Mostert left end for 1 yard (tackle by Quinnen Williams and Quinton Jefferson),5.21,4.61,12.0,2023,168
1.0,7:21,3.0,3.0,NYJ 5,0.0,0.0,Tua Tagovailoa scrambles right tackle for 1 yard (tackle by Jordan Whitehead),4.61,3.04,12.0,2023,168
1.0,6:38,4.0,2.0,NYJ 4,0.0,0.0,Tua Tagovailoa pass incomplete short right intended for Tyreek Hill (defended by Sauce Gardner),3.04,0.38,12.0,2023,168
1.0,6:33,1.0,10.0,NYJ 5,0.0,0.0,Tim Boyle pass incomplete short left,-0.38,-0.78,12.0,2023,168
1.0,6:29,2.0,10.0,NYJ 5,0.0,0.0,Breece Hall right guard for no gain (tackle by Raekwon Davis and David Long),-0.78,-1.42,12.0,2023,168
1.0,5:49,3.0,10.0,NYJ 5,0.0,0.0,Tim Boyle pass complete short left to Tyler Conklin for 8 yards (tackle by David Long),-1.42,-2.49,12.0,2023,168
1.0,5:08,4.0,2.0,NYJ 13,0.0,0.0,"Thomas Morstead punts 52 yards, returned by Braxton Berrios for 9 yards (tackle by Irvin Charles)",-2.49,-1.86,12.0,2023,168
1.0,4:57,1.0,10.0,MIA 44,0.0,0.0,Jeff Wilson right end for 3 yards (tackle by Solomon Thomas and Quincy Williams),1.86,1.72,12.0,2023,168
1.0,4:17,2.0,7.0,MIA 47,0.0,0.0,Tua Tagovailoa pass complete short right to Durham Smythe for 10 yards (tackle by Jordan Whitehead),1.72,2.72,12.0,2023,168
1.0,3:33,1.0,10.0,NYJ 43,0.0,0.0,Jeff Wilson right guard for 14 yards (tackle by Jordan Whitehead and Sauce Gardner),2.72,3.64,12.0,2023,168
1.0,2:51,1.0,10.0,NYJ 29,0.0,0.0,Jeff Wilson right end for 4 yards (tackle by C.J. Mosley),3.64,3.64,12.0,2023,168
1.0,2:16,2.0,6.0,NYJ 25,0.0,0.0,Tua Tagovailoa pass complete short left to Tyreek Hill for 5 yards (tackle by D.J. Reed),3.64,3.6,12.0,2023,168
1.0,1:33,3.0,1.0,NYJ 20,0.0,0.0,Tua Tagovailoa pass incomplete short right intended for Durham Smythe (defended by C.J. Mosley),3.6,2.27,12.0,2023,168
1.0,1:29,4.0,1.0,NYJ 20,3.0,0.0,Jason Sanders 38 yard field goal good,2.27,3.0,12.0,2023,168
1.0,1:26,,,MIA 35,3.0,0.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,168
1.0,1:26,1.0,10.0,NYJ 25,3.0,0.0,"Tim Boyle aborted snap, recovered by Breece Hall at NYJ-19 (tackle by Jaelan Phillips)",0.61,-0.61,12.0,2023,168
