Unnamed: 0,GNB,DET,week,year,game_id
First Downs,17,25,12.0,2023,165
Rush-Yds-TDs,22-109-0,31-140-1,12.0,2023,165
Cmp-Att-Yd-TD-INT,22-32-268-3-0,29-44-332-2-0,12.0,2023,165
Sacked-Yards,0-0,3-8,12.0,2023,165
Net Pass Yards,268,324,12.0,2023,165
Total Yards,377,464,12.0,2023,165
Fumbles-Lost,0-0,3-3,12.0,2023,165
Turnovers,0,3,12.0,2023,165
Penalties-Yards,7-60,7-51,12.0,2023,165
Third Down Conv.,5-11,7-15,12.0,2023,165
Fourth Down Conv.,0-1,1-5,12.0,2023,165
Time of Possession,28:04,31:56,12.0,2023,165
