Quarter,Time,Down,ToGo,Location,BAL,LAC,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Ravens won the coin toss and deferred, Chargers to receive the opening kickoff.",,,12.0,2023,179
1.0,15:00,,,BAL 35,0.0,0.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,179
1.0,15:00,1.0,10.0,LAC 25,0.0,0.0,Austin Ekeler up the middle for 2 yards (tackle by Roquan Smith),0.61,0.33,12.0,2023,179
1.0,14:26,2.0,8.0,LAC 27,0.0,0.0,Joshua Kelley up the middle for 3 yards (tackle by Kyle Van Noy and Patrick Queen),0.33,0.04,12.0,2023,179
1.0,13:52,3.0,5.0,LAC 30,0.0,0.0,Justin Herbert pass complete deep right to Gerald Everett for 31 yards (tackle by Kyle Hamilton),0.04,2.98,12.0,2023,179
1.0,13:03,1.0,10.0,BAL 39,0.0,0.0,Justin Herbert pass complete short right to Austin Ekeler for 4 yards (tackle by Patrick Queen and Geno Stone),2.98,2.98,12.0,2023,179
1.0,12:29,2.0,6.0,BAL 35,0.0,0.0,Austin Ekeler left tackle for 5 yards (tackle by Jadeveon Clowney and Marcus Williams),2.98,2.94,12.0,2023,179
1.0,11:51,3.0,1.0,BAL 30,0.0,0.0,Austin Ekeler left end for 6 yards (tackle by Patrick Queen),2.94,3.97,12.0,2023,179
1.0,11:16,1.0,10.0,BAL 24,0.0,0.0,Justin Herbert pass complete short middle to Keenan Allen for 9 yards (tackle by Roquan Smith),3.97,4.85,12.0,2023,179
1.0,10:43,2.0,1.0,BAL 15,0.0,0.0,Joshua Kelley right guard for 3 yards (tackle by Brent Urban and Kyle Hamilton),4.85,4.78,12.0,2023,179
1.0,10:07,1.0,10.0,BAL 12,0.0,0.0,Derius Davis right end for 1 yard (tackle by Brandon Stephens),4.78,4.27,12.0,2023,179
1.0,9:27,2.0,9.0,BAL 11,0.0,0.0,"Justin Herbert scrambles right end for 5 yards (tackle by Roquan Smith). Penalty on Jamaree Salyer: Unnecessary Roughness / Offense, 15 yards (accepted)",4.27,2.35,12.0,2023,179
1.0,9:13,3.0,19.0,BAL 21,0.0,0.0,Justin Herbert pass incomplete short right,2.35,2.06,12.0,2023,179
1.0,9:07,4.0,19.0,BAL 21,0.0,3.0,Cameron Dicker 39 yard field goal good,2.06,3.0,12.0,2023,179
1.0,9:03,,,LAC 35,0.0,3.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,179
1.0,9:03,,,,,,Timeout #1 by Los Angeles Chargers,,,12.0,2023,179
1.0,9:03,1.0,10.0,BAL 25,0.0,3.0,Keaton Mitchell up the middle for 5 yards (tackle by Austin Johnson and Eric Kendricks),0.61,0.74,12.0,2023,179
1.0,8:43,2.0,5.0,BAL 30,0.0,3.0,Lamar Jackson right tackle for 7 yards (tackle by Eric Kendricks),0.74,1.4,12.0,2023,179
1.0,8:06,1.0,10.0,BAL 37,0.0,3.0,Lamar Jackson pass complete short middle to Odell Beckham for 9 yards (tackle by Derwin James and Jaylinn Hawkins),1.4,2.07,12.0,2023,179
1.0,7:33,2.0,1.0,BAL 46,0.0,3.0,Keaton Mitchell up the middle for 3 yards (tackle by Sebastian Joseph-Day and Austin Johnson),2.07,2.19,12.0,2023,179
1.0,6:55,1.0,10.0,BAL 49,0.0,3.0,Lamar Jackson pass complete short right to Zay Flowers for 3 yards (tackle by Deane Leonard),2.19,2.05,12.0,2023,179
1.0,6:18,2.0,7.0,LAC 48,0.0,3.0,Keaton Mitchell left end for no gain (tackle by Khalil Mack),2.05,1.36,12.0,2023,179
1.0,5:30,3.0,7.0,LAC 48,0.0,3.0,Lamar Jackson pass incomplete short right intended for Isaiah Likely (defended by Khalil Mack),1.36,0.07,12.0,2023,179
1.0,5:21,4.0,7.0,LAC 48,0.0,3.0,Jordan Stout punts 37 yards out of bounds,0.07,0.37,12.0,2023,179
1.0,5:13,1.0,10.0,LAC 11,0.0,3.0,Justin Herbert scrambles left end for 5 yards (tackle by Marcus Williams),-0.37,-0.3,12.0,2023,179
1.0,4:47,2.0,5.0,LAC 16,0.0,3.0,Joshua Kelley right guard for 2 yards (tackle by Brent Urban),-0.3,-0.6,12.0,2023,179
1.0,4:01,3.0,3.0,LAC 18,0.0,3.0,Justin Herbert pass complete short right to Keenan Allen for 3 yards (tackle by Geno Stone),-0.6,0.34,12.0,2023,179
1.0,3:29,1.0,10.0,LAC 21,0.0,3.0,Justin Herbert scrambles right end for 2 yards (tackle by Michael Pierce),0.34,0.07,12.0,2023,179
1.0,2:52,2.0,8.0,LAC 23,0.0,3.0,Derius Davis left end for -2 yards (tackle by Kyle Hamilton),0.07,-0.89,12.0,2023,179
1.0,2:18,3.0,10.0,LAC 21,0.0,3.0,Justin Herbert pass incomplete deep left intended for Jalen Guyton,-0.89,-1.96,12.0,2023,179
1.0,2:11,4.0,10.0,LAC 21,0.0,3.0,"JK Scott punts 57 yards, fair catch by Devin Duvernay at BAL-22",-1.96,-0.41,12.0,2023,179
