Quarter,Time,Down,ToGo,Location,BUF,PHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Eagles won the coin toss and deferred, Bills to receive the opening kickoff.",,,12.0,2023,178
1,15:00,,,PHI 35,0.0,0.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,178
1,15:00,1.0,10.0,BUF 25,0.0,0.0,James Cook right end for 1 yard (tackle by Zach Cunningham),0.61,0.2,12.0,2023,178
1,14:28,2.0,9.0,BUF 26,0.0,0.0,Josh Allen pass complete short left to James Cook for 7 yards (tackle by Darius Slay),0.2,0.43,12.0,2023,178
1,14:02,3.0,2.0,BUF 33,0.0,0.0,Latavius Murray right guard for no gain (tackle by Reed Blankenship and Nicholas Morrow),0.43,-1.18,12.0,2023,178
1,13:20,4.0,2.0,BUF 33,0.0,0.0,"Sam Martin punts 49 yards, fair catch by Britain Covey at PHI-18",-1.18,-0.04,12.0,2023,178
1,13:08,1.0,10.0,PHI 18,0.0,0.0,Jalen Hurts pass incomplete short right,0.04,-0.49,12.0,2023,178
1,13:01,2.0,10.0,PHI 18,0.0,0.0,Jalen Hurts pass incomplete short left,-0.49,-1.17,12.0,2023,178
1,12:55,3.0,10.0,PHI 18,0.0,0.0,Jalen Hurts pass incomplete short right,-1.17,-2.24,12.0,2023,178
1,12:45,4.0,10.0,PHI 18,0.0,0.0,"Braden Mann punts 59 yards, returned by Khalil Shakir for 9 yards (tackle by Sydney Brown)",-2.24,-1.07,12.0,2023,178
1,12:33,1.0,10.0,BUF 32,0.0,0.0,Latavius Murray right guard for 7 yards (tackle by Zach Cunningham and Reed Blankenship),1.07,1.4,12.0,2023,178
1,11:52,2.0,4.0,BUF 39,0.0,0.0,Ty Johnson for 5 yards (tackle by Zach Cunningham and Darius Slay),1.4,1.86,12.0,2023,178
1,11:11,1.0,10.0,BUF 44,0.0,0.0,Josh Allen pass incomplete short right intended for Khalil Shakir,1.86,1.32,12.0,2023,178
1,11:05,2.0,10.0,BUF 44,0.0,0.0,Josh Allen pass complete short left to Dalton Kincaid for 8 yards (tackle by Kevin Byard),1.32,1.69,12.0,2023,178
1,10:24,3.0,2.0,PHI 48,0.0,0.0,Latavius Murray right guard for 1 yard (tackle by Zach Cunningham),1.69,0.13,12.0,2023,178
1,9:52,4.0,1.0,PHI 47,0.0,0.0,Josh Allen up the middle for 1 yard (tackle by Nicholas Morrow),0.13,2.52,12.0,2023,178
1,9:19,1.0,10.0,PHI 46,0.0,0.0,James Cook right guard for 3 yards (tackle by Jalen Carter),2.52,2.38,12.0,2023,178
1,8:44,2.0,7.0,PHI 43,0.0,0.0,Josh Allen pass complete short right to James Cook for 6 yards (tackle by Haason Reddick),2.38,2.48,12.0,2023,178
1,8:09,3.0,1.0,PHI 37,0.0,0.0,Latavius Murray up the middle for 3 yards (tackle by Kevin Byard and Marlon Tuipulotu),2.48,3.31,12.0,2023,178
1,7:31,1.0,10.0,PHI 34,0.0,0.0,James Cook for 4 yards (tackle by Nicholas Morrow),3.31,3.31,12.0,2023,178
1,6:55,2.0,6.0,PHI 30,0.0,0.0,Josh Allen pass incomplete deep left intended for James Cook,3.31,2.61,12.0,2023,178
1,6:50,3.0,6.0,PHI 30,0.0,0.0,"Penalty on Spencer Brown: False Start, 5 yards (accepted) (no play)",2.61,1.95,12.0,2023,178
1,6:50,3.0,11.0,PHI 35,0.0,0.0,"Penalty on Mitch Morse: False Start, 5 yards (accepted) (no play)",1.95,1.29,12.0,2023,178
1,6:50,3.0,16.0,PHI 40,0.0,0.0,Josh Allen pass incomplete deep left intended for Gabriel Davis (defended by James Bradberry),1.29,0.59,12.0,2023,178
1,6:45,4.0,16.0,PHI 40,0.0,0.0,"Sam Martin punts 28 yards, fair catch by Britain Covey at PHI-12. Penalty on Siran Neal: Face Mask (15 Yards), 15 yards (accepted)",0.59,-0.74,12.0,2023,178
1,6:37,1.0,10.0,PHI 27,0.0,0.0,"Penalty on Landon Dickerson: False Start, 5 yards (accepted) (no play)",0.74,0.41,12.0,2023,178
1,6:37,1.0,15.0,PHI 22,0.0,0.0,D'Andre Swift right guard for 3 yards (tackle by Jordan Poyer),0.41,-0.07,12.0,2023,178
1,6:16,2.0,12.0,PHI 25,0.0,0.0,Jalen Hurts pass complete short left to DeVonta Smith for 14 yards (tackle by Micah Hyde),-0.07,1.53,12.0,2023,178
1,5:51,1.0,10.0,PHI 39,0.0,0.0,D'Andre Swift up the middle for 3 yards (tackle by Terrel Bernard and Ed Oliver),1.53,1.46,12.0,2023,178
1,5:09,2.0,6.0,PHI 42,0.0,0.0,Jalen Hurts sacked by Linval Joseph for -3 yards,1.46,0.37,12.0,2023,178
1,4:28,3.0,9.0,PHI 39,0.0,0.0,"Jalen Hurts pass incomplete deep right intended for A.J. Brown (defended by Taron Johnson). Penalty on Rasul Douglas: Defensive Holding, 5 yards (accepted) (no play)",0.37,1.86,12.0,2023,178
1,4:20,1.0,10.0,PHI 44,0.0,0.0,Jalen Hurts left end for 1 yard (tackle by Christian Benford),1.86,1.45,12.0,2023,178
1,3:38,2.0,9.0,PHI 45,0.0,0.0,Jalen Hurts pass complete short right to DeVonta Smith for 5 yards (tackle by Micah Hyde),1.45,1.42,12.0,2023,178
1,2:55,3.0,4.0,PHI 50,0.0,0.0,Kenneth Gainwell up the middle for 3 yards (tackle by Jordan Phillips and Ed Oliver),1.42,0.13,12.0,2023,178
1,2:07,4.0,1.0,BUF 47,0.0,0.0,"Penalty on Jordan Phillips: Encroachment, 5 yards (accepted) (no play)",0.13,2.79,12.0,2023,178
1,2:06,1.0,10.0,BUF 42,0.0,0.0,Jalen Hurts scrambles up the middle for 16 yards (tackle by Taron Johnson and Christian Benford),2.79,3.84,12.0,2023,178
1,1:11,1.0,10.0,BUF 26,0.0,0.0,"Kenneth Gainwell for 23 yards (tackle by Jordan Poyer). Penalty on Ed Oliver: Illegal Use of Hands / Defense, 2 yards (accepted)",3.84,6.97,12.0,2023,178
1,1:09,1.0,1.0,BUF 1,0.0,6.0,"Jalen Hurts up the middle for 1 yard, touchdown",6.97,7.0,12.0,2023,178
1,1:06,,,BUF 15,0.0,7.0,Jake Elliott kicks extra point good,0.0,0.0,12.0,2023,178
1,1:06,,,PHI 35,0.0,7.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,178
1,1:06,1.0,10.0,BUF 25,0.0,7.0,Josh Allen pass complete short middle to Latavius Murray for 6 yards (tackle by Bradley Roby),0.61,0.87,12.0,2023,178
1,0:33,2.0,4.0,BUF 31,0.0,7.0,Josh Allen pass complete short right to Stefon Diggs for 12 yards (tackle by Kevin Byard),0.87,1.8,12.0,2023,178
2,15:00,1.0,10.0,BUF 43,0.0,7.0,Josh Allen pass complete short right to Stefon Diggs for 8 yards (tackle by Zach Cunningham),1.8,2.33,12.0,2023,178
2,14:29,2.0,2.0,PHI 49,0.0,7.0,Josh Allen pass complete short middle to Dalton Kincaid for 5 yards (tackle by Nicholas Morrow),2.33,2.65,12.0,2023,178
2,13:46,1.0,10.0,PHI 44,0.0,7.0,Josh Allen pass incomplete short left,2.65,2.11,12.0,2023,178
2,13:36,2.0,10.0,PHI 44,0.0,7.0,Josh Allen pass incomplete short left intended for Stefon Diggs (defended by James Bradberry),2.11,1.42,12.0,2023,178
2,13:32,3.0,10.0,PHI 44,0.0,7.0,"Josh Allen pass incomplete intended for Dalton Kincaid. Penalty on Dion Dawkins: Offensive Holding, 10 yards (offset) . Penalty on Kevin Byard: Defensive Holding, 5 yards (offset) (no play)",1.42,1.42,12.0,2023,178
