Unnamed: 0,NWE,NYG,week,year,game_id
First Downs,18,10,12.0,2023,174
Rush-Yds-TDs,31-147-1,19-58-0,12.0,2023,174
Cmp-Att-Yd-TD-INT,21-35-143-0-3,17-25-191-1-0,12.0,2023,174
Sacked-Yards,2-7,6-29,12.0,2023,174
Net Pass Yards,136,162,12.0,2023,174
Total Yards,283,220,12.0,2023,174
Fumbles-Lost,3-0,3-1,12.0,2023,174
Turnovers,3,1,12.0,2023,174
Penalties-Yards,2-13,4-37,12.0,2023,174
Third Down Conv.,4-14,4-13,12.0,2023,174
Fourth Down Conv.,2-2,0-0,12.0,2023,174
Time of Possession,34:06,25:54,12.0,2023,174
