Unnamed: 0,CHI,MIN,week,year,game_id
First Downs,18,15,12.0,2023,180
Rush-Yds-TDs,28-118-0,17-73-0,12.0,2023,180
Cmp-Att-Yd-TD-INT,27-37-217-0-0,22-32-185-1-4,12.0,2023,180
Sacked-Yards,3-18,2-16,12.0,2023,180
Net Pass Yards,199,169,12.0,2023,180
Total Yards,317,242,12.0,2023,180
Fumbles-Lost,3-2,2-0,12.0,2023,180
Turnovers,2,4,12.0,2023,180
Penalties-Yards,7-76,4-24,12.0,2023,180
Third Down Conv.,8-18,2-9,12.0,2023,180
Fourth Down Conv.,1-1,0-2,12.0,2023,180
Time of Possession,35:50,24:10,12.0,2023,180
