Quarter,Time,Down,ToGo,Location,GNB,DET,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Packers won the coin toss, Packers to receive the opening kickoff.",,,12.0,2023,165
1.0,15:00,,,DET 35,0.0,0.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,165
1.0,15:00,1.0,10.0,GNB 25,0.0,0.0,Jordan Love pass complete deep middle to Christian Watson for 53 yards (tackle by Tracy Walker),0.61,4.11,12.0,2023,165
1.0,14:21,1.0,10.0,DET 22,0.0,0.0,Jordan Love pass complete short middle to Christian Watson for 8 yards (tackle by Tracy Walker),4.11,4.85,12.0,2023,165
1.0,13:48,2.0,2.0,DET 14,0.0,0.0,AJ Dillon right tackle for 4 yards (tackle by Alex Anzalone),4.85,4.91,12.0,2023,165
1.0,13:07,1.0,10.0,DET 10,0.0,0.0,AJ Dillon up the middle for no gain (tackle by Aidan Hutchinson and Tracy Walker),4.91,4.19,12.0,2023,165
1.0,12:21,2.0,10.0,DET 10,6.0,0.0,"Jordan Love pass complete short middle to Jayden Reed for 10 yards, touchdown",4.19,7.0,12.0,2023,165
1.0,12:16,,,DET 15,7.0,0.0,Anders Carlson kicks extra point good,0.0,0.0,12.0,2023,165
1.0,12:16,,,GNB 35,7.0,0.0,"Anders Carlson kicks off 67 yards, returned by Khalil Dorsey for 29 yards (tackle by Kristian Welch)",0.0,0.74,12.0,2023,165
1.0,12:10,1.0,10.0,DET 27,7.0,0.0,David Montgomery up the middle for 1 yard (tackle by Preston Smith and Isaiah McDuffie),0.74,0.33,12.0,2023,165
1.0,11:39,2.0,9.0,DET 28,7.0,0.0,David Montgomery right end for 2 yards (tackle by Jonathan Owens),0.33,-0.1,12.0,2023,165
1.0,11:04,3.0,7.0,DET 30,7.0,0.0,Jared Goff pass complete short left to Jameson Williams for 13 yards (tackle by Corey Ballentine),-0.1,1.8,12.0,2023,165
1.0,10:35,1.0,10.0,DET 43,7.0,0.0,David Montgomery right tackle for 3 yards (tackle by Kingsley Enagbare),1.8,1.66,12.0,2023,165
1.0,9:59,2.0,7.0,DET 46,7.0,0.0,"Jared Goff pass incomplete deep right intended for Jahmyr Gibbs. Penalty on Quay Walker: Defensive Pass Interference, 16 yards (accepted) (no play)",1.66,3.05,12.0,2023,165
1.0,9:53,1.0,10.0,GNB 38,7.0,0.0,Jared Goff pass complete deep left to Sam LaPorta for 31 yards (tackle by Isaiah McDuffie and Anthony Johnson),3.05,5.6,12.0,2023,165
1.0,9:14,1.0,7.0,GNB 7,7.0,0.0,David Montgomery left tackle for no gain (tackle by Jonathan Owens),5.6,4.76,12.0,2023,165
1.0,8:34,2.0,7.0,GNB 7,7.0,6.0,"Jared Goff pass complete short middle to Sam LaPorta for 7 yards, touchdown",4.76,7.0,12.0,2023,165
1.0,8:30,,,GNB 15,7.0,6.0,Riley Patterson kicks extra point no good,0.0,-1.0,12.0,2023,165
1.0,8:30,,,DET 35,7.0,6.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,165
1.0,8:30,1.0,10.0,GNB 25,7.0,6.0,AJ Dillon right tackle for 4 yards (tackle by Josh Paschal and Alim McNeill),0.61,0.6,12.0,2023,165
1.0,7:54,2.0,6.0,GNB 29,7.0,6.0,Jordan Love pass complete short middle to Malik Heath for 16 yards (tackle by Cameron Sutton),0.6,1.93,12.0,2023,165
