Quarter,Time,Tm,Detail,MIA,NYJ,week,year,game_id
1.0,1:26,Dolphins,Jason Sanders 38 yard field goal,3,0,12.0,2023,168
2.0,8:18,Dolphins,Tyreek Hill 7 yard pass from Tua Tagovailoa (Jason Sanders kick),10,0,12.0,2023,168
,0:58,Jets,Brandin Echols 30 yard interception return (Greg Zuerlein kick failed),10,6,12.0,2023,168
,0:00,Dolphins,Jevon Holland 99 yard interception return (Jason Sanders kick),17,6,12.0,2023,168
3.0,11:16,Dolphins,Jason Sanders 54 yard field goal,20,6,12.0,2023,168
4.0,14:55,Dolphins,Raheem Mostert 13 yard rush (Jason Sanders kick),27,6,12.0,2023,168
,4:37,Jets,Garrett Wilson 1 yard pass from Tim Boyle (Greg Zuerlein kick),27,13,12.0,2023,168
,3:35,Dolphins,Raheem Mostert 34 yard rush (Jason Sanders kick),34,13,12.0,2023,168
