Unnamed: 0,MIA,NYJ,week,year,game_id
First Downs,22,12,12.0,2023,168
Rush-Yds-TDs,37-167-2,10-29-0,12.0,2023,168
Cmp-Att-Yd-TD-INT,21-30-243-1-2,27-38-179-1-2,12.0,2023,168
Sacked-Yards,2-15,7-49,12.0,2023,168
Net Pass Yards,228,130,12.0,2023,168
Total Yards,395,159,12.0,2023,168
Fumbles-Lost,2-1,2-0,12.0,2023,168
Turnovers,3,2,12.0,2023,168
Penalties-Yards,6-38,6-60,12.0,2023,168
Third Down Conv.,11-16,5-14,12.0,2023,168
Fourth Down Conv.,0-1,2-3,12.0,2023,168
Time of Possession,35:41,24:19,12.0,2023,168
