Quarter,Time,Down,ToGo,Location,PIT,CIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bengals won the coin toss and deferred, Steelers to receive the opening kickoff.",,,12.0,2023,171
1.0,15:00,,,CIN 35,0.0,0.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,171
1.0,15:00,1.0,10.0,PIT 25,0.0,0.0,Kenny Pickett pass complete deep middle to Pat Freiermuth for 24 yards (tackle by Logan Wilson),0.61,2.19,12.0,2023,171
1.0,14:20,1.0,10.0,PIT 49,0.0,0.0,Najee Harris right end for 3 yards (tackle by B.J. Hill and Jordan Battle),2.19,2.05,12.0,2023,171
1.0,13:43,2.0,7.0,CIN 48,0.0,0.0,Kenny Pickett pass complete short left to Diontae Johnson for -5 yards (tackle by Mike Hilton),2.05,0.7,12.0,2023,171
1.0,13:01,3.0,12.0,PIT 47,0.0,0.0,Kenny Pickett pass complete short right to Connor Heyward for 10 yards (tackle by Mike Hilton and DJ Turner),0.7,0.4,12.0,2023,171
1.0,12:18,4.0,2.0,CIN 43,0.0,0.0,"Pressley Harvin punts 43 yards, touchback.",0.4,-0.28,12.0,2023,171
1.0,12:09,1.0,10.0,CIN 20,0.0,0.0,Jake Browning pass incomplete short left,0.28,-0.27,12.0,2023,171
1.0,12:03,2.0,10.0,CIN 20,0.0,0.0,Joe Mixon right guard for 3 yards (tackle by Keeanu Benton),-0.27,-0.56,12.0,2023,171
1.0,11:23,3.0,7.0,CIN 23,0.0,0.0,"Jake Browning sacked by T.J. Watt for -6 yards. Jake Browning fumbles (forced by T.J. Watt), recovered by Jonah Williams at CIN-17 (tackle by Elandon Roberts)",-0.56,-2.32,12.0,2023,171
1.0,10:42,4.0,13.0,CIN 17,0.0,0.0,"Brad Robbins punts 44 yards, returned by Calvin Austin for no gain (tackle by Drew Sample and Nick Scott). Penalty on Mark Robinson: Offensive Holding, 10 yards (accepted)",-2.32,-0.87,12.0,2023,171
1.0,10:31,1.0,10.0,PIT 29,0.0,0.0,Kenny Pickett pass complete short left to George Pickens for 5 yards (tackle by DJ Turner),0.87,1.0,12.0,2023,171
