Quarter,Time,Down,ToGo,Location,CLE,DEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Broncos won the coin toss and deferred, Browns to receive the opening kickoff.",,,12.0,2023,175
1.0,15:00,,,DEN 35,0.0,0.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,175
1.0,15:00,1.0,10.0,CLE 25,0.0,0.0,Dorian Thompson-Robinson scrambles left end for 3 yards (tackle by Alex Singleton),0.61,0.47,12.0,2023,175
1.0,14:29,2.0,7.0,CLE 28,0.0,0.0,Dorian Thompson-Robinson pass complete short left to Jerome Ford for no gain (tackle by P.J. Locke),0.47,-0.23,12.0,2023,175
1.0,13:50,3.0,7.0,CLE 28,0.0,0.0,Dorian Thompson-Robinson pass incomplete short left intended for Amari Cooper (defended by P.J. Locke),-0.23,-1.5,12.0,2023,175
1.0,13:44,4.0,7.0,CLE 28,0.0,0.0,"Corey Bojorquez punts 72 yards, touchback.",-1.5,-0.28,12.0,2023,175
1.0,13:35,1.0,10.0,DEN 20,0.0,0.0,Javonte Williams left end for 2 yards (tackle by Sione Takitaki),0.28,0.0,12.0,2023,175
1.0,12:56,2.0,8.0,DEN 22,0.0,0.0,Javonte Williams right tackle for 7 yards (tackle by Juan Thornhill),0.0,0.23,12.0,2023,175
1.0,12:19,3.0,1.0,DEN 29,0.0,0.0,Russell Wilson right guard for 1 yard (tackle by Sione Takitaki and Shelby Harris),0.23,0.94,12.0,2023,175
1.0,11:39,1.0,10.0,DEN 30,0.0,0.0,Javonte Williams right tackle for no gain (tackle by Jeremiah Owusu-Koramoah),0.94,0.39,12.0,2023,175
1.0,11:00,2.0,10.0,DEN 30,0.0,0.0,Russell Wilson pass complete short right to Javonte Williams for no gain (tackle by Sione Takitaki),0.39,-0.3,12.0,2023,175
1.0,10:21,3.0,10.0,DEN 30,0.0,0.0,"Russell Wilson pass incomplete deep right intended for Courtland Sutton. Penalty on Greg Newsome: Defensive Pass Interference, 34 yards (accepted) (no play)",-0.3,3.18,12.0,2023,175
1.0,10:12,1.0,10.0,CLE 36,0.0,0.0,"Samaje Perine up the middle for no gain. Penalty on Alex Wright: Defensive Offside, 5 yards (accepted) (no play)",3.18,3.91,12.0,2023,175
1.0,9:46,1.0,5.0,CLE 31,0.0,0.0,Russell Wilson pass incomplete deep left intended for Marvin Mims (defended by Greg Newsome),3.91,3.31,12.0,2023,175
1.0,9:39,2.0,5.0,CLE 31,0.0,0.0,"Russell Wilson aborted snap, recovered by Russell Wilson at CLE-32 and returned for -3 yards",3.31,2.21,12.0,2023,175
1.0,9:00,3.0,8.0,CLE 34,0.0,0.0,Russell Wilson pass complete deep left to Courtland Sutton for 31 yards (tackle by Ronnie Hickman),2.21,6.51,12.0,2023,175
1.0,8:19,1.0,3.0,CLE 3,0.0,6.0,"Samaje Perine up the middle for 3 yards, touchdown Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",6.51,7.0,12.0,2023,175
1.0,8:14,,,CLE 15,0.0,7.0,Wil Lutz kicks extra point good,0.0,0.0,12.0,2023,175
1.0,8:14,,,DEN 35,0.0,7.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,175
1.0,8:14,1.0,10.0,CLE 25,0.0,7.0,Dorian Thompson-Robinson pass complete short right to David Njoku for 5 yards (tackle by Alex Singleton),0.61,0.74,12.0,2023,175
1.0,7:32,2.0,5.0,CLE 30,0.0,7.0,Dorian Thompson-Robinson pass complete short right to Cedric Tillman for 10 yards (tackle by Fabian Moreau),0.74,1.6,12.0,2023,175
1.0,6:50,1.0,10.0,CLE 40,0.0,7.0,Dorian Thompson-Robinson pass complete short left to Amari Cooper for 5 yards (tackle by Ja'Quan McMillian),1.6,1.73,12.0,2023,175
1.0,6:13,2.0,5.0,CLE 45,0.0,7.0,Jerome Ford right end for 4 yards (tackle by Justin Simmons),1.73,1.55,12.0,2023,175
1.0,5:34,3.0,1.0,CLE 49,0.0,7.0,"Penalty on Ethan Pocic: False Start, 4 yards (accepted) (no play)",1.55,0.96,12.0,2023,175
1.0,5:20,3.0,6.0,CLE 45,0.0,7.0,Dorian Thompson-Robinson pass complete short middle to Cedric Tillman for 4 yards (tackle by Fabian Moreau and Drew Sanders),0.96,-0.13,12.0,2023,175
1.0,4:43,4.0,1.0,CLE 49,0.0,7.0,"Harrison Bryant aborted snap, recovered by Mike Purcell at CLE-49 and returned for -1 yards",-0.13,-2.26,12.0,2023,175
1.0,4:37,1.0,10.0,CLE 50,0.0,7.0,Russell Wilson pass incomplete short right intended for Javonte Williams,2.26,1.71,12.0,2023,175
1.0,4:32,2.0,10.0,CLE 50,0.0,7.0,Javonte Williams up the middle for -1 yards (tackle by Myles Garrett and Jeremiah Owusu-Koramoah),1.71,0.89,12.0,2023,175
1.0,3:51,3.0,11.0,DEN 49,0.0,7.0,Russell Wilson scrambles right end for 9 yards (tackle by Myles Garrett),0.89,0.46,12.0,2023,175
1.0,3:12,,,,,,Timeout #1 by Denver Broncos,,,12.0,2023,175
1.0,3:12,4.0,2.0,CLE 42,0.0,7.0,"Russell Wilson scrambles right guard for 5 yards. Russell Wilson fumbles (forced by Jeremiah Owusu-Koramoah) (tackle by Juan Thornhill), recovered by Alex Wright at CLE-34 (tackle by Jeremiah Owusu-Koramoah) (tackle by Juan Thornhill) (tackle by Jeremiah Owusu-Koramoah)",0.46,-1.2,12.0,2023,175
1.0,3:00,1.0,10.0,CLE 34,0.0,7.0,Kareem Hunt right tackle for 3 yards (tackle by Jonathan Harris and Matt Henningsen),1.2,1.06,12.0,2023,175
1.0,2:23,2.0,7.0,CLE 37,0.0,7.0,Dorian Thompson-Robinson pass incomplete short left,1.06,0.37,12.0,2023,175
1.0,2:16,3.0,7.0,CLE 37,0.0,7.0,Dorian Thompson-Robinson pass incomplete short left intended for David Njoku,0.37,-0.91,12.0,2023,175
1.0,2:12,4.0,7.0,CLE 37,0.0,7.0,"Corey Bojorquez punts 63 yards, touchback.",-0.91,-0.28,12.0,2023,175
1.0,2:03,1.0,10.0,DEN 20,0.0,7.0,Jaleel McLaughlin left tackle for 6 yards (tackle by Grant Delpit and Tony Fields),0.28,0.54,12.0,2023,175
1.0,1:31,2.0,4.0,DEN 26,0.0,7.0,Russell Wilson pass incomplete short right intended for Courtland Sutton,0.54,-0.16,12.0,2023,175
1.0,1:28,3.0,4.0,DEN 26,0.0,7.0,Samaje Perine up the middle for 6 yards (tackle by Dalvin Tomlinson),-0.16,1.07,12.0,2023,175
1.0,0:53,1.0,10.0,DEN 32,0.0,7.0,Russell Wilson pass incomplete short right,1.07,0.53,12.0,2023,175
1.0,0:47,2.0,10.0,DEN 32,0.0,7.0,"Javonte Williams right end for 15 yards (tackle by Greg Newsome). Penalty on Courtland Sutton: Offensive Holding, 10 yards (accepted)",0.53,1.2,12.0,2023,175
1.0,0:25,2.0,5.0,DEN 37,0.0,7.0,Samaje Perine up the middle for 15 yards (tackle by Juan Thornhill and Mike Ford),1.2,2.39,12.0,2023,175
2.0,15:00,1.0,10.0,CLE 48,0.0,7.0,Russell Wilson pass incomplete short left intended for Javonte Williams,2.39,1.85,12.0,2023,175
2.0,14:56,2.0,10.0,CLE 48,0.0,7.0,Javonte Williams right tackle for 3 yards (tackle by Jordan Elliott),1.85,1.55,12.0,2023,175
2.0,14:21,3.0,7.0,CLE 45,0.0,7.0,Russell Wilson pass complete short right to Marvin Mims for 16 yards (tackle by Mike Ford),1.55,3.64,12.0,2023,175
2.0,13:34,1.0,10.0,CLE 29,0.0,7.0,Jaleel McLaughlin left tackle for -2 yards (tackle by Za'Darius Smith),3.64,2.83,12.0,2023,175
2.0,13:01,2.0,12.0,CLE 31,0.0,7.0,"Penalty on Myles Garrett: Neutral Zone Infraction, 5 yards (accepted) (no play)",2.83,3.51,12.0,2023,175
2.0,12:43,2.0,7.0,CLE 26,0.0,7.0,Russell Wilson left end for 19 yards (tackle by Juan Thornhill),3.51,5.6,12.0,2023,175
2.0,12:00,1.0,7.0,CLE 7,0.0,7.0,Russell Wilson right end for 2 yards (tackle by Juan Thornhill),5.6,5.15,12.0,2023,175
2.0,11:22,2.0,5.0,CLE 5,0.0,7.0,"Russell Wilson pass incomplete short right. Penalty on Alex Wright: Defensive Offside, 3 yards (accepted) (no play)",5.15,5.72,12.0,2023,175
2.0,11:14,2.0,2.0,CLE 2,0.0,13.0,"Russell Wilson right tackle for 2 yards, touchdown",5.72,7.0,12.0,2023,175
2.0,11:11,,,CLE 15,0.0,14.0,Wil Lutz kicks extra point good,0.0,0.0,12.0,2023,175
2.0,11:11,,,DEN 35,0.0,14.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,175
2.0,11:11,1.0,10.0,CLE 25,0.0,14.0,Dorian Thompson-Robinson pass incomplete deep middle intended for Amari Cooper,0.61,0.06,12.0,2023,175
2.0,11:05,2.0,10.0,CLE 25,0.0,14.0,Jerome Ford left end for 19 yards (tackle by P.J. Locke and Patrick Surtain),0.06,1.86,12.0,2023,175
2.0,10:25,1.0,10.0,CLE 44,0.0,14.0,Dorian Thompson-Robinson pass incomplete short right,1.86,1.32,12.0,2023,175
2.0,10:18,2.0,10.0,CLE 44,0.0,14.0,Jerome Ford left tackle for 11 yards (tackle by Josey Jewell and Alex Singleton),1.32,2.59,12.0,2023,175
2.0,9:36,1.0,10.0,DEN 45,0.0,14.0,Dorian Thompson-Robinson left tackle for 9 yards (tackle by P.J. Locke),2.59,3.26,12.0,2023,175
2.0,8:55,2.0,1.0,DEN 36,0.0,14.0,Kareem Hunt right end for 7 yards (tackle by Drew Sanders),3.26,3.64,12.0,2023,175
2.0,8:14,1.0,10.0,DEN 29,0.0,14.0,Dorian Thompson-Robinson pass incomplete short middle intended for Elijah Moore,3.64,3.1,12.0,2023,175
2.0,8:07,2.0,10.0,DEN 29,0.0,14.0,Dorian Thompson-Robinson pass complete short right to Elijah Moore for 9 yards (tackle by Alex Singleton),3.1,3.6,12.0,2023,175
2.0,7:31,3.0,1.0,DEN 20,0.0,14.0,Kareem Hunt right tackle for 3 yards (tackle by Jonathan Harris and Alex Singleton),3.6,4.44,12.0,2023,175
2.0,6:53,1.0,10.0,DEN 17,0.0,14.0,"Dorian Thompson-Robinson aborted snap, recovered by Kareem Hunt at DEN-22 (tackle by Tyler Lancaster)",4.44,3.72,12.0,2023,175
2.0,6:15,2.0,11.0,DEN 18,0.0,14.0,Dorian Thompson-Robinson pass incomplete deep right intended for Elijah Moore,3.72,3.0,12.0,2023,175
2.0,6:07,3.0,11.0,DEN 18,0.0,14.0,Dorian Thompson-Robinson pass incomplete short left intended for Jerome Ford,3.0,2.25,12.0,2023,175
2.0,6:02,4.0,11.0,DEN 18,3.0,14.0,Dustin Hopkins 36 yard field goal good,2.25,3.0,12.0,2023,175
2.0,5:59,,,CLE 35,3.0,14.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,175
2.0,5:59,1.0,10.0,DEN 25,3.0,14.0,Russell Wilson pass complete short right to Marvin Mims for 8 yards (tackle by Mike Ford),0.61,1.14,12.0,2023,175
2.0,5:21,2.0,2.0,DEN 33,3.0,14.0,Javonte Williams right end for 10 yards (tackle by Grant Delpit),1.14,1.8,12.0,2023,175
2.0,4:38,1.0,10.0,DEN 43,3.0,14.0,"Penalty on Ben Powers: False Start, 5 yards (accepted) (no play)",1.8,1.47,12.0,2023,175
2.0,4:23,1.0,15.0,DEN 38,3.0,14.0,"Russell Wilson pass complete deep right to Courtland Sutton for no gain (tackle by Greg Newsome). Penalty on Courtland Sutton: Offensive Pass Interference, 10 yards (accepted) (no play)",1.47,0.81,12.0,2023,175
