Unnamed: 0,LAR,ARI,week,year,game_id
First Downs,25,19,12.0,2023,176
Rush-Yds-TDs,33-228-1,15-73-1,12.0,2023,176
Cmp-Att-Yd-TD-INT,25-33-229-4-1,27-45-256-1-0,12.0,2023,176
Sacked-Yards,0-0,4-37,12.0,2023,176
Net Pass Yards,229,219,12.0,2023,176
Total Yards,457,292,12.0,2023,176
Fumbles-Lost,0-0,0-0,12.0,2023,176
Turnovers,1,0,12.0,2023,176
Penalties-Yards,5-23,5-34,12.0,2023,176
Third Down Conv.,6-12,6-17,12.0,2023,176
Fourth Down Conv.,2-2,2-3,12.0,2023,176
Time of Possession,34:52,25:08,12.0,2023,176
