Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Unnamed: 7_level_0,Unnamed: 8_level_0,Rushing,Rushing,Rushing,Fantasy,Fantasy,Fantasy,Fantasy per Game,Fantasy per Game,Fantasy per Game
Tm,G,Cmp,Att,Yds,TD,Int,2PP,Sk,Att,Yds,TD,FantPt,DKPt,FDPt,FantPt,DKPt,FDPt
Baltimore Ravens,1,33,46,394,2,0,,1,14,30,2,38.76,41.8,38.8,38.8,41.8,38.8
Pittsburgh Steelers,1,16,22,218,1,0,,1,12,48,2,29.52,29.5,29.5,29.5,29.5,29.5
Miami Dolphins,1,22,29,272,1,0,,1,7,26,2,29.48,29.5,29.5,29.5,29.5,29.5
Buffalo Bills,1,14,19,209,2,0,,2,6,70,1,29.36,29.4,29.4,29.4,29.4,29.4
Kansas City Chiefs,1,25,34,318,3,0,,3,7,32,0,27.92,30.9,27.9,27.9,30.9,27.9
Los Angeles Chargers,1,24,39,258,1,0,,2,6,57,1,26.02,26.0,26.0,26.0,26.0,26.0
New York Jets,1,22,30,244,4,0,,4,1,-1,0,25.66,25.7,25.7,25.7,25.7,25.7
Dallas Cowboys,1,19,23,152,0,0,,1,14,62,2,24.28,24.3,24.3,24.3,24.3,24.3
Minnesota Vikings,1,21,35,210,1,0,,2,6,58,1,24.2,24.2,24.2,24.2,24.2,24.2
Tampa Bay Buccaneers,1,27,42,298,1,0,,1,6,21,1,24.02,24.0,24.0,24.0,24.0,24.0
Atlanta Falcons,1,17,32,167,3,0,,1,5,39,0,22.58,22.6,22.6,22.6,22.6,22.6
Chicago Bears,1,13,20,143,2,1,1.0,3,2,25,1,22.22,23.2,23.2,22.2,23.2,23.2
New York Giants,1,19,30,233,1,0,,3,11,68,0,20.12,20.1,20.1,20.1,20.1,20.1
New Orleans Saints,1,21,29,163,2,0,,5,7,38,0,18.32,18.3,18.3,18.3,18.3,18.3
New England Patriots,1,24,34,362,1,1,,4,2,10,0,17.48,21.5,18.5,17.5,21.5,18.5
Seattle Seahawks,1,26,35,277,2,2,,1,5,17,0,16.78,18.8,18.8,16.8,18.8,18.8
Detroit Lions,1,16,22,188,2,0,,0,3,4,0,15.92,15.9,15.9,15.9,15.9,15.9
Las Vegas Raiders,1,30,46,287,1,1,,4,4,11,0,14.78,16.8,16.3,14.8,16.8,16.3
Houston Texans,1,21,29,245,1,0,,3,4,-2,0,13.6,13.6,13.6,13.6,13.6,13.6
Cincinnati Bengals,1,31,45,290,1,2,,2,2,6,0,12.2,14.2,14.2,12.2,14.2,14.2
Arizona Cardinals,1,27,46,214,0,0,,1,4,29,0,11.46,11.5,11.5,11.5,11.5,11.5
Washington Commanders,1,17,37,168,0,0,,2,8,44,0,11.12,11.1,11.1,11.1,11.1,11.1
Green Bay Packers,1,31,39,225,1,1,,4,1,-1,0,10.9,11.9,11.9,10.9,11.9,11.9
Carolina Panthers,1,19,31,178,1,1,,0,4,12,0,10.32,11.3,11.3,10.3,11.3,11.3
Cleveland Browns,1,14,23,113,1,0,,3,2,3,0,8.82,8.8,8.8,8.8,8.8,8.8
Los Angeles Rams,1,19,27,188,0,1,,3,5,32,0,8.72,9.7,9.7,8.7,9.7,9.7
Jacksonville Jaguars,1,18,35,154,1,2,,1,5,40,0,8.16,11.2,10.2,8.2,11.2,10.2
Philadelphia Eagles,1,21,34,188,0,0,,0,1,3,0,7.82,7.8,7.8,7.8,7.8,7.8
Tennessee Titans,1,25,40,176,1,2,,1,8,18,0,6.84,9.8,8.8,6.8,9.8,8.8
Indianapolis Colts,1,19,31,146,1,2,1.0,3,2,10,0,6.84,9.8,8.8,6.8,9.8,8.8
San Francisco 49ers,1,16,23,150,0,0,,1,3,15,0,5.5,6.5,5.5,5.5,6.5,5.5
Denver Broncos,1,12,28,112,0,0,,6,0,0,0,2.48,3.5,2.5,2.5,3.5,2.5
