Unnamed: 0_level_0,Unnamed: 1_level_0,Inside 20,Inside 20,Inside 20,Inside 20,Inside 10,Inside 10,Inside 10,Inside 10,Inside 5,Inside 5,Inside 5,Inside 5,Unnamed: 14_level_0
Player,Tm,Att,Yds,TD,%Rush,Att,Yds,TD,%Rush,Att,Yds,TD,%Rush,Link
Josh Allen,BUF,8,0,2,66.7%,6,3,2,75.0%,5,5,2,71.4%,All Josh Allen red zone rushing plays
Christian McCaffrey,SFO,8,1,0,80.0%,3,-2,0,100.0%,0,0,0,,All Christian McCaffrey red zone rushing plays
Jonathan Taylor,IND,7,20,0,50.0%,2,3,0,33.3%,2,3,0,40.0%,All Jonathan Taylor red zone rushing plays
Josh Jacobs,GNB,5,13,1,71.4%,3,8,1,75.0%,1,3,1,100.0%,All Josh Jacobs red zone rushing plays
Travis Etienne,JAX,4,8,0,50.0%,0,0,0,.0%,0,0,0,,All Travis Etienne red zone rushing plays
Justin Fields,NYJ,4,16,2,44.4%,3,12,2,60.0%,2,3,2,100.0%,All Justin Fields red zone rushing plays
Bijan Robinson,ATL,4,11,0,50.0%,2,0,0,33.3%,1,-3,0,25.0%,All Bijan Robinson red zone rushing plays
James Cook,BUF,4,4,1,33.3%,2,2,1,25.0%,2,2,1,28.6%,All James Cook red zone rushing plays
Daniel Jones,IND,4,6,2,28.6%,3,5,2,50.0%,2,2,2,40.0%,All Daniel Jones red zone rushing plays
Zach Charbonnet,SEA,4,8,1,57.1%,3,4,1,75.0%,2,0,1,100.0%,All Zach Charbonnet red zone rushing plays
Chase Brown,CIN,4,20,1,100.0%,2,7,1,100.0%,1,2,0,100.0%,All Chase Brown red zone rushing plays
Jaylen Warren,PIT,4,12,0,100.0%,2,3,0,100.0%,1,0,0,100.0%,All Jaylen Warren red zone rushing plays
Saquon Barkley,PHI,4,12,1,57.1%,4,12,1,66.7%,1,-1,0,50.0%,All Saquon Barkley red zone rushing plays
Kyren Williams,LAR,4,8,1,66.7%,2,2,1,50.0%,2,2,1,66.7%,All Kyren Williams red zone rushing plays
Chuba Hubbard,CAR,3,9,0,100.0%,2,1,0,100.0%,0,0,0,,All Chuba Hubbard red zone rushing plays
Jordan Mason,MIN,3,7,0,75.0%,0,0,0,,0,0,0,,All Jordan Mason red zone rushing plays
Jalen Hurts,PHI,3,17,2,42.9%,2,12,2,33.3%,1,4,1,50.0%,All Jalen Hurts red zone rushing plays
Tony Pollard,TEN,3,16,0,60.0%,1,6,0,50.0%,0,0,0,.0%,All Tony Pollard red zone rushing plays
Braelon Allen,NYJ,3,7,1,33.3%,1,8,1,20.0%,0,0,0,.0%,All Braelon Allen red zone rushing plays
Javonte Williams,DAL,3,13,2,60.0%,2,2,2,100.0%,2,2,2,100.0%,All Javonte Williams red zone rushing plays
Brock Purdy,SFO,2,16,0,20.0%,0,0,0,.0%,0,0,0,,All Brock Purdy red zone rushing plays
Dylan Sampson,CLE,2,4,0,33.3%,1,4,0,20.0%,0,0,0,.0%,All Dylan Sampson red zone rushing plays
Michael Penix,ATL,2,6,1,25.0%,2,6,1,33.3%,2,6,1,50.0%,All Michael Penix red zone rushing plays
Miles Sanders,DAL,2,4,0,40.0%,0,0,0,.0%,0,0,0,.0%,All Miles Sanders red zone rushing plays
Raheim Sanders,CLE,2,1,1,33.3%,2,1,1,40.0%,2,1,1,50.0%,All Raheim Sanders red zone rushing plays
Jordan Love,GNB,2,5,0,28.6%,1,2,0,25.0%,0,0,0,.0%,All Jordan Love red zone rushing plays
Alvin Kamara,NOR,2,16,1,66.7%,1,-2,0,100.0%,1,-2,0,100.0%,All Alvin Kamara red zone rushing plays
Kenneth Walker,SEA,2,4,0,28.6%,1,0,0,25.0%,0,0,0,.0%,All Kenneth Walker red zone rushing plays
Ashton Jeanty,LVR,2,7,1,100.0%,1,3,1,100.0%,1,3,1,100.0%,All Ashton Jeanty red zone rushing plays
Caleb Williams,CHI,2,22,1,66.7%,1,9,1,50.0%,0,0,0,,All Caleb Williams red zone rushing plays
Russell Wilson,NYG,2,9,0,66.7%,1,8,0,50.0%,0,0,0,.0%,All Russell Wilson red zone rushing plays
J.K. Dobbins,DEN,2,19,1,66.7%,1,0,0,100.0%,0,0,0,,All J.K. Dobbins red zone rushing plays
Jerome Ford,CLE,2,3,0,33.3%,2,3,0,40.0%,2,3,0,50.0%,All Jerome Ford red zone rushing plays
Austin Ekeler,WAS,2,8,0,33.3%,0,0,0,.0%,0,0,0,,All Austin Ekeler red zone rushing plays
Jahmyr Gibbs,DET,2,-6,0,66.7%,1,-6,0,100.0%,0,0,0,,All Jahmyr Gibbs red zone rushing plays
James Conner,ARI,2,7,0,40.0%,1,0,0,33.3%,1,0,0,100.0%,All James Conner red zone rushing plays
Julius Chestnut,TEN,2,2,0,40.0%,1,1,0,50.0%,1,1,0,100.0%,All Julius Chestnut red zone rushing plays
DJ Giddens,IND,2,2,0,14.3%,1,0,0,16.7%,1,0,0,20.0%,All DJ Giddens red zone rushing plays
Breece Hall,NYJ,2,6,0,22.2%,1,1,0,20.0%,0,0,0,.0%,All Breece Hall red zone rushing plays
Trey Benson,ARI,2,8,0,40.0%,1,4,0,33.3%,0,0,0,.0%,All Trey Benson red zone rushing plays
Omarion Hampton,LAC,2,10,0,100.0%,0,0,0,,0,0,0,,All Omarion Hampton red zone rushing plays
Tyler Allgeier,ATL,2,0,0,25.0%,2,0,0,33.3%,1,-1,0,25.0%,All Tyler Allgeier red zone rushing plays
Jacory Croskey-Merritt,WAS,2,12,1,33.3%,1,6,1,100.0%,0,0,0,,All Jacory Croskey-Merritt red zone rushing plays
Matthew Stafford,LAR,1,0,0,16.7%,1,0,0,25.0%,1,0,0,33.3%,All Matthew Stafford red zone rushing plays
Brian Thomas,JAX,1,9,1,12.5%,1,9,1,100.0%,0,0,0,,All Brian Thomas red zone rushing plays
Rhamondre Stevenson,NWE,1,3,0,50.0%,1,3,0,100.0%,0,0,0,,All Rhamondre Stevenson red zone rushing plays
C.J. Stroud,HOU,1,2,0,50.0%,0,0,0,,0,0,0,,All C.J. Stroud red zone rushing plays
Cam Skattebo,NYG,1,-1,0,33.3%,1,-1,0,50.0%,1,-1,0,100.0%,All Cam Skattebo red zone rushing plays
D'Andre Swift,CHI,1,-3,0,33.3%,1,-3,0,50.0%,0,0,0,,All D'Andre Swift red zone rushing plays
Ashton Dulin,IND,1,15,0,7.1%,0,0,0,.0%,0,0,0,.0%,All Ashton Dulin red zone rushing plays
Bhayshul Tuten,JAX,1,3,0,12.5%,0,0,0,.0%,0,0,0,,All Bhayshul Tuten red zone rushing plays
Tank Bigsby,JAX,1,1,0,12.5%,0,0,0,.0%,0,0,0,,All Tank Bigsby red zone rushing plays
Jordan Whittington,LAR,1,5,0,16.7%,1,5,0,25.0%,0,0,0,.0%,All Jordan Whittington red zone rushing plays
AJ Barner,SEA,1,2,0,14.3%,0,0,0,.0%,0,0,0,.0%,All AJ Barner red zone rushing plays
Rasheen Ali,BAL,1,5,0,33.3%,0,0,0,.0%,0,0,0,,All Rasheen Ali red zone rushing plays
Jayden Daniels,WAS,1,9,0,16.7%,0,0,0,.0%,0,0,0,,All Jayden Daniels red zone rushing plays
Deebo Samuel,WAS,1,19,1,16.7%,0,0,0,.0%,0,0,0,,All Deebo Samuel red zone rushing plays
Lamar Jackson,BAL,1,10,1,33.3%,1,10,1,100.0%,0,0,0,,All Lamar Jackson red zone rushing plays
Spencer Rattler,NOR,1,12,0,33.3%,0,0,0,.0%,0,0,0,.0%,All Spencer Rattler red zone rushing plays
Dameon Pierce,HOU,1,2,0,50.0%,0,0,0,,0,0,0,,All Dameon Pierce red zone rushing plays
Bo Nix,DEN,1,1,0,33.3%,0,0,0,.0%,0,0,0,,All Bo Nix red zone rushing plays
Kyler Murray,ARI,1,3,0,20.0%,1,3,0,33.3%,0,0,0,.0%,All Kyler Murray red zone rushing plays
David Montgomery,DET,1,3,0,33.3%,0,0,0,.0%,0,0,0,,All David Montgomery red zone rushing plays
J.J. McCarthy,MIN,1,14,1,25.0%,0,0,0,,0,0,0,,All J.J. McCarthy red zone rushing plays
Ollie Gordon,MIA,1,1,0,100.0%,1,1,0,100.0%,0,0,0,,All Ollie Gordon red zone rushing plays
Patrick Mahomes,KAN,1,11,1,100.0%,0,0,0,,0,0,0,,All Patrick Mahomes red zone rushing plays
Trevor Lawrence,JAX,1,4,0,12.5%,0,0,0,.0%,0,0,0,,All Trevor Lawrence red zone rushing plays
TreVeyon Henderson,NWE,1,-2,0,50.0%,0,0,0,.0%,0,0,0,,All TreVeyon Henderson red zone rushing plays
Justice Hill,BAL,1,-15,0,33.3%,0,0,0,.0%,0,0,0,,All Justice Hill red zone rushing plays
Bucky Irving,TAM,1,-1,0,100.0%,1,-1,0,100.0%,0,0,0,,All Bucky Irving red zone rushing plays
