Tm,G,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Fantasy FantPt,Fantasy DKPt,Fantasy FDPt,Fantasy per Game FantPt,Fantasy per Game DKPt,Fantasy per Game FDPt
Cincinnati Bengals,17,145,111,1114,10,171.7,282.7,227.2,10.1,16.6,13.4
Carolina Panthers,17,110,83,920,11,170.3,252.4,210.9,10.0,14.8,12.4
Las Vegas Raiders,17,137,102,1097,9,161.7,270.7,212.7,9.5,15.9,12.5
Los Angeles Rams,17,142,106,1101,7,159.1,268.1,212.1,9.4,15.8,12.5
Indianapolis Colts,17,125,101,987,9,154.7,255.7,205.2,9.1,15.0,12.1
Cleveland Browns,17,122,83,833,6,149.12,237.0,191.5,8.8,13.9,11.3
Kansas City Chiefs,17,136,106,1191,5,147.3,260.3,200.3,8.7,15.3,11.8
Jacksonville Jaguars,17,122,87,933,8,143.0,230.0,186.5,8.4,13.5,11.0
Tampa Bay Buccaneers,17,134,102,1144,5,140.7,247.7,191.7,8.3,14.6,11.3
Pittsburgh Steelers,17,146,106,959,7,138.0,245.0,191.0,8.1,14.4,11.2
Atlanta Falcons,17,109,77,828,6,134.6,211.6,173.1,7.9,12.4,10.2
Baltimore Ravens,17,127,93,963,5,126.4,222.4,172.9,7.4,13.1,10.2
Chicago Bears,17,118,83,1011,4,125.3,220.3,166.8,7.4,13.0,9.8
Miami Dolphins,17,141,98,950,5,124.7,231.7,173.7,7.3,13.6,10.2
Green Bay Packers,17,120,93,970,4,121.0,217.0,167.5,7.1,12.8,9.9
Houston Texans,17,113,73,709,8,119.2,192.9,155.4,7.0,11.3,9.1
Washington Commanders,17,94,68,678,8,117.8,185.8,151.8,6.9,10.9,8.9
Buffalo Bills,17,129,92,817,5,113.7,208.7,159.7,6.7,12.3,9.4
New England Patriots,17,120,87,854,5,113.3,201.3,156.8,6.7,11.8,9.2
Seattle Seahawks,17,122,85,876,4,111.6,202.6,154.1,6.6,11.9,9.1
Dallas Cowboys,17,85,65,709,7,110.7,180.7,143.2,6.5,10.6,8.4
New Orleans Saints,17,113,82,962,2,110.3,195.3,151.3,6.5,11.5,8.9
Denver Broncos,17,138,95,799,5,107.8,203.5,155.0,6.3,12.0,9.1
Minnesota Vikings,17,119,88,880,3,106.0,195.0,150.0,6.2,11.5,8.8
New York Jets,17,116,82,738,5,101.8,184.8,142.8,6.0,10.9,8.4
San Francisco 49ers,17,105,76,688,5,98.8,174.8,136.8,5.8,10.3,8.0
New York Giants,17,84,66,675,4,91.5,157.5,124.5,5.4,9.3,7.3
Los Angeles Chargers,17,126,91,775,2,91.42,182.4,136.9,5.4,10.7,8.1
Tennessee Titans,17,98,70,636,4,87.7,157.6,122.6,5.2,9.3,7.2
Philadelphia Eagles,17,103,68,591,5,87.3,158.3,121.3,5.1,9.3,7.1
Arizona Cardinals,17,110,80,719,2,86.1,166.1,126.1,5.1,9.8,7.4
Detroit Lions,17,105,68,665,3,82.7,154.3,116.3,4.9,9.1,6.8
