Quarter,Time,Down,ToGo,Location,KAN,CAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Panthers won the coin toss and deferred, Chiefs to receive the opening kickoff.",,,12.0,2024,168
1.0,15:00,,,CAR 35,0.0,0.0,"Eddy Piñeiro kicks off 62 yards, returned by Samaje Perine for 56 yards (tackle by Caleb Farley)",0.0,2.85,12.0,2024,168
1.0,14:52,1.0,10.0,CAR 41,0.0,0.0,Kareem Hunt left guard for 5 yards (tackle by LaBryan Ray and A'Shawn Robinson),2.85,2.98,12.0,2024,168
1.0,14:20,2.0,5.0,CAR 36,0.0,0.0,Kareem Hunt up the middle for 1 yard (tackle by D.J. Wonnum),2.98,2.41,12.0,2024,168
1.0,13:44,3.0,4.0,CAR 35,6.0,0.0,"Patrick Mahomes pass complete deep left to Noah Gray for 35 yards, touchdown",2.41,7.0,12.0,2024,168
1.0,13:35,,,CAR 15,7.0,0.0,Spencer Shrader kicks extra point good,0.0,0.0,12.0,2024,168
1.0,13:35,,,KAN 35,7.0,0.0,"Spencer Shrader kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,168
1.0,13:35,1.0,10.0,CAR 30,7.0,0.0,Bryce Young pass complete short left to Adam Thielen for 8 yards (tackle by Bryan Cook and Nazeeh Johnson),0.94,1.47,12.0,2024,168
1.0,13:01,2.0,2.0,CAR 38,7.0,0.0,Chuba Hubbard left tackle for no gain (tackle by Tershawn Wharton and Chamarri Conner),1.47,0.76,12.0,2024,168
1.0,12:27,3.0,2.0,CAR 38,7.0,0.0,Bryce Young pass complete short middle to David Moore for 15 yards (tackle by Bryan Cook),0.76,2.46,12.0,2024,168
1.0,11:42,1.0,10.0,KAN 47,7.0,0.0,"Bryce Young pass complete deep right to Xavier Legette for 34 yards (tackle by Bryan Cook). Penalty on Chris Jones: Defensive Offside, 5 yards (declined) . Penalty on Drue Tranquill: Illegal Contact, 5 yards (declined)",2.46,4.71,12.0,2024,168
1.0,11:16,1.0,10.0,KAN 13,7.0,0.0,Chuba Hubbard up the middle for 4 yards (tackle by Justin Reid),4.71,4.77,12.0,2024,168
1.0,10:39,2.0,6.0,KAN 9,7.0,0.0,Bryce Young pass complete short right to Deven Thompkins for 2 yards (tackle by Michael Danna),4.77,4.33,12.0,2024,168
1.0,9:54,3.0,4.0,KAN 7,7.0,0.0,"Penalty on Cade Mays: False Start, 5 yards (accepted) (no play)",4.33,3.28,12.0,2024,168
1.0,9:32,3.0,9.0,KAN 12,7.0,0.0,Bryce Young pass incomplete short right intended for Adam Thielen,3.28,2.63,12.0,2024,168
1.0,9:28,4.0,9.0,KAN 12,7.0,3.0,Eddy Piñeiro 30 yard field goal good,2.63,3.0,12.0,2024,168
1.0,9:24,,,CAR 35,7.0,3.0,"Eddy Piñeiro kicks off 63 yards, returned by Samaje Perine for 23 yards (tackle by Sam Franklin and Caleb Farley)",0.0,0.61,12.0,2024,168
1.0,9:19,1.0,10.0,KAN 25,7.0,3.0,Patrick Mahomes pass complete short left to Kareem Hunt for 13 yards (tackle by Dane Jackson),0.61,1.47,12.0,2024,168
1.0,8:42,1.0,10.0,KAN 38,7.0,3.0,"Patrick Mahomes pass complete deep middle to JuJu Smith-Schuster for no gain (tackle by Michael Jackson). Penalty on Jaycee Horn: Defensive Holding, 5 yards (offset) . Penalty on Wanya Morris: Offensive Holding, 10 yards (offset) (no play)",1.47,1.47,12.0,2024,168
1.0,8:18,1.0,10.0,KAN 38,7.0,3.0,Patrick Mahomes pass complete short left to DeAndre Hopkins for 12 yards,1.47,2.26,12.0,2024,168
1.0,7:48,1.0,10.0,KAN 50,7.0,3.0,Kareem Hunt left tackle for 6 yards (tackle by A'Shawn Robinson and D.J. Wonnum),2.26,2.52,12.0,2024,168
1.0,7:12,2.0,4.0,CAR 44,7.0,3.0,Patrick Mahomes pass complete short middle to Travis Kelce for 19 yards (tackle by Jordan Fuller),2.52,3.91,12.0,2024,168
1.0,6:30,1.0,10.0,CAR 25,7.0,3.0,Patrick Mahomes pass complete short right to Carson Steele for 9 yards (tackle by Josey Jewell),3.91,4.75,12.0,2024,168
1.0,5:54,2.0,1.0,CAR 16,7.0,3.0,Patrick Mahomes pass complete short left to Travis Kelce for no gain (tackle by Jordan Fuller),4.75,4.06,12.0,2024,168
1.0,5:15,3.0,1.0,CAR 16,7.0,3.0,Kareem Hunt up the middle for 3 yards (tackle by Josey Jewell and D.J. Wonnum),4.06,4.71,12.0,2024,168
