Unnamed: 0,DEN,LVR,week,year,game_id
First Downs,19,21,12.0,2024,175
Rush-Yds-TDs,22-63-0,16-69-0,12.0,2024,175
Cmp-Att-Yd-TD-INT,25-42-273-2-0,31-53-328-1-1,12.0,2024,175
Sacked-Yards,1-11,5-28,12.0,2024,175
Net Pass Yards,262,300,12.0,2024,175
Total Yards,325,369,12.0,2024,175
Fumbles-Lost,0-0,2-1,12.0,2024,175
Turnovers,0,2,12.0,2024,175
Penalties-Yards,6-58,4-44,12.0,2024,175
Third Down Conv.,6-15,4-14,12.0,2024,175
Fourth Down Conv.,0-0,2-2,12.0,2024,175
Time of Possession,31:11,28:49,12.0,2024,175
