Unnamed: 0,TEN,HOU,week,year,game_id
First Downs,19,12,12.0,2024,174
Rush-Yds-TDs,33-132-1,17-40-0,12.0,2024,174
Cmp-Att-Yd-TD-INT,18-25-278-2-1,20-33-247-2-2,12.0,2024,174
Sacked-Yards,8-41,4-27,12.0,2024,174
Net Pass Yards,237,220,12.0,2024,174
Total Yards,369,260,12.0,2024,174
Fumbles-Lost,3-2,0-0,12.0,2024,174
Turnovers,3,2,12.0,2024,174
Penalties-Yards,6-35,11-81,12.0,2024,174
Third Down Conv.,4-14,3-13,12.0,2024,174
Fourth Down Conv.,1-1,0-0,12.0,2024,174
Time of Possession,34:29,25:31,12.0,2024,174
