Quarter,Time,Tm,Detail,DEN,LVR,week,year,game_id
1.0,2:47,Broncos,Wil Lutz 38 yard field goal,3,0,12.0,2024,175
2.0,13:36,Raiders,Ameer Abdullah 6 yard pass from Gardner Minshew II (Daniel Carlson kick),3,7,12.0,2024,175
,9:21,Broncos,Wil Lutz 53 yard field goal,6,7,12.0,2024,175
,3:48,Raiders,Daniel Carlson 34 yard field goal,6,10,12.0,2024,175
,0:53,Broncos,Wil Lutz 54 yard field goal,9,10,12.0,2024,175
,0:00,Raiders,Daniel Carlson 34 yard field goal,9,13,12.0,2024,175
3.0,10:49,Broncos,Courtland Sutton 18 yard pass from Bo Nix (Wil Lutz kick),16,13,12.0,2024,175
4.0,12:05,Broncos,Wil Lutz 45 yard field goal,19,13,12.0,2024,175
,8:59,Raiders,Daniel Carlson 53 yard field goal,19,16,12.0,2024,175
,5:30,Broncos,Courtland Sutton 2 yard pass from Bo Nix (Wil Lutz kick),26,16,12.0,2024,175
,3:38,Raiders,Daniel Carlson 22 yard field goal,26,19,12.0,2024,175
,1:56,Broncos,Wil Lutz 33 yard field goal,29,19,12.0,2024,175
