Quarter,Time,Down,ToGo,Location,TAM,NYG,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Giants won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,,12.0,2024,172
1.0,15:00,,,NYG 35,0.0,0.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,172
1.0,15:00,1.0,10.0,TAM 30,0.0,0.0,Baker Mayfield pass incomplete short right intended for Cade Otton,0.94,0.39,12.0,2024,172
1.0,14:55,2.0,10.0,TAM 30,0.0,0.0,Baker Mayfield pass complete short right to Sterling Shepard for 7 yards (tackle by Micah McFadden and Jason Pinnock),0.39,0.63,12.0,2024,172
1.0,14:17,3.0,3.0,TAM 37,0.0,0.0,Baker Mayfield pass complete short middle to Jalen McMillan for 11 yards (tackle by Jason Pinnock),0.63,2.13,12.0,2024,172
1.0,13:44,1.0,10.0,TAM 48,0.0,0.0,Baker Mayfield pass complete short left to Mike Evans for 9 yards (tackle by Deonte Banks and Andru Phillips),2.13,2.8,12.0,2024,172
1.0,13:04,2.0,1.0,NYG 43,0.0,0.0,Rachaad White left end for -1 yards (tackle by Kayvon Thibodeaux and Dexter Lawrence),2.8,1.95,12.0,2024,172
1.0,12:17,,,,,,Timeout #1 by Tampa Bay Buccaneers,,,12.0,2024,172
1.0,12:17,3.0,2.0,NYG 44,0.0,0.0,Rachaad White left guard for 7 yards (tackle by Micah McFadden),1.95,3.12,12.0,2024,172
1.0,11:40,1.0,10.0,NYG 37,0.0,0.0,Baker Mayfield pass complete short right to Sterling Shepard for 1 yard (tackle by Deonte Banks and Andru Phillips),3.12,2.71,12.0,2024,172
1.0,11:02,2.0,9.0,NYG 36,0.0,0.0,Baker Mayfield pass complete short left to Bucky Irving for 8 yards (tackle by Jason Pinnock and Bobby Okereke),2.71,3.07,12.0,2024,172
1.0,10:19,3.0,1.0,NYG 28,0.0,0.0,Sean Tucker left end for no gain (tackle by Andru Phillips),3.07,1.72,12.0,2024,172
1.0,9:35,4.0,1.0,NYG 28,0.0,0.0,Sean Tucker left guard for 3 yards (tackle by Bobby Okereke),1.72,3.91,12.0,2024,172
1.0,8:52,1.0,10.0,NYG 25,0.0,0.0,Baker Mayfield pass complete short right to Bucky Irving for 2 yards (tackle by Micah McFadden),3.91,3.63,12.0,2024,172
1.0,8:09,2.0,8.0,NYG 23,0.0,0.0,Rachaad White right tackle for 8 yards (tackle by Cordale Flott and Tyler Nubin),3.63,4.58,12.0,2024,172
