Unnamed: 0,BAL,LAC,week,year,game_id
First Downs,19,19,12.0,2024,179
Rush-Yds-TDs,37-212-2,20-83-2,12.0,2024,179
Cmp-Att-Yd-TD-INT,16-22-177-2-0,21-36-218-0-0,12.0,2024,179
Sacked-Yards,1-0,4-16,12.0,2024,179
Net Pass Yards,177,202,12.0,2024,179
Total Yards,389,285,12.0,2024,179
Fumbles-Lost,0-0,1-0,12.0,2024,179
Turnovers,0,0,12.0,2024,179
Penalties-Yards,9-102,7-62,12.0,2024,179
Third Down Conv.,8-15,5-14,12.0,2024,179
Fourth Down Conv.,3-3,2-2,12.0,2024,179
Time of Possession,30:57,29:03,12.0,2024,179
