Quarter,Time,Down,ToGo,Location,DET,IND,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,,12.0,2024,173
1.0,15:00,,,DET 35,0.0,0.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,173
1.0,15:00,1.0,10.0,IND 30,0.0,0.0,Anthony Richardson pass complete short right to Josh Downs for 9 yards (tackle by Brian Branch),0.94,1.61,12.0,2024,173
1.0,14:24,2.0,1.0,IND 39,0.0,0.0,Anthony Richardson right guard for 10 yards (tackle by Brian Branch),1.61,2.19,12.0,2024,173
1.0,13:46,1.0,10.0,IND 49,0.0,0.0,Jonathan Taylor left tackle for 2 yards (tackle by Jack Campbell),2.19,1.92,12.0,2024,173
1.0,13:09,2.0,8.0,DET 49,0.0,0.0,Anthony Richardson pass complete short middle to Josh Downs for 11 yards (tackle by Kerby Joseph),1.92,3.05,12.0,2024,173
1.0,12:28,1.0,10.0,DET 38,0.0,0.0,Jonathan Taylor left end for 8 yards (tackle by Jack Campbell),3.05,3.59,12.0,2024,173
1.0,11:46,2.0,2.0,DET 30,0.0,0.0,Jonathan Taylor right guard for 1 yard (tackle by Malcolm Rodriguez and Josh Paschal),3.59,3.01,12.0,2024,173
1.0,11:05,3.0,1.0,DET 29,0.0,0.0,Anthony Richardson left guard for 17 yards (tackle by Jack Campbell and Kerby Joseph),3.01,4.78,12.0,2024,173
1.0,10:22,1.0,10.0,DET 12,0.0,0.0,Anthony Richardson left end for 8 yards (tackle by Zeke Turner),4.78,5.6,12.0,2024,173
1.0,9:42,2.0,2.0,DET 4,0.0,0.0,Jonathan Taylor right tackle for no gain (tackle by Malcolm Rodriguez),5.6,4.84,12.0,2024,173
1.0,9:07,3.0,2.0,DET 4,0.0,0.0,"Anthony Richardson pass incomplete short left. Penalty on Quenton Nelson: Ineligible Downfield Pass, 5 yards (accepted) (no play)",4.84,3.7,12.0,2024,173
1.0,9:01,3.0,7.0,DET 9,0.0,0.0,Anthony Richardson pass incomplete short right intended for Adonai Mitchell,3.7,2.83,12.0,2024,173
1.0,8:56,4.0,7.0,DET 9,0.0,3.0,Matt Gay 27 yard field goal good,2.83,3.0,12.0,2024,173
1.0,8:53,,,IND 35,0.0,3.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,173
1.0,8:53,1.0,10.0,DET 30,0.0,3.0,David Montgomery up the middle for 2 yards (tackle by DeForest Buckner and Samuel Womack),0.94,0.66,12.0,2024,173
1.0,8:21,2.0,8.0,DET 32,0.0,3.0,Jared Goff pass complete short left to Sam LaPorta for 5 yards (tackle by DeForest Buckner and E.J. Speed),0.66,0.63,12.0,2024,173
1.0,7:57,3.0,3.0,DET 37,0.0,3.0,Jared Goff pass complete short left to Jameson Williams for 4 yards (tackle by Zaire Franklin),0.63,1.66,12.0,2024,173
1.0,7:23,1.0,10.0,DET 41,0.0,3.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 15 yards (tackle by Samuel Womack),1.66,2.65,12.0,2024,173
1.0,6:49,1.0,10.0,IND 44,0.0,3.0,David Montgomery up the middle for 1 yard (tackle by Zaire Franklin and Dayo Odeyingbo),2.65,2.25,12.0,2024,173
1.0,6:15,2.0,9.0,IND 43,0.0,3.0,David Montgomery left end for 6 yards (tackle by E.J. Speed),2.25,2.35,12.0,2024,173
1.0,5:34,3.0,3.0,IND 37,0.0,3.0,Jared Goff sacked by DeForest Buckner for -9 yards,2.35,0.2,12.0,2024,173
1.0,4:50,4.0,12.0,IND 46,0.0,3.0,"Jack Fox punts 34 yards, returned by Josh Downs for -2 yards (tackle by Khalil Dorsey)",0.2,0.38,12.0,2024,173
1.0,4:39,1.0,10.0,IND 10,0.0,3.0,Jonathan Taylor right tackle for 2 yards (tackle by Malcolm Rodriguez and Josh Paschal),-0.38,-0.63,12.0,2024,173
1.0,4:03,2.0,8.0,IND 12,0.0,3.0,Anthony Richardson pass incomplete deep right intended for Alec Pierce,-0.63,-1.19,12.0,2024,173
1.0,3:55,3.0,8.0,IND 12,0.0,3.0,Anthony Richardson pass complete short right to Michael Pittman for 9 yards (tackle by Amik Robertson),-1.19,0.34,12.0,2024,173
1.0,3:18,1.0,10.0,IND 21,0.0,3.0,"Anthony Richardson pass complete deep left to Kylen Granson for no gain (tackle by Kerby Joseph). Penalty on Andrew Ogletree: Offensive Holding, 11 yards (accepted) (no play)",0.34,-0.8,12.0,2024,173
