Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
Bo Nix,DEN,0,0,0,0,0,12.0,2024,175
Jaleel McLaughlin,DEN,1,0,0,0,0,12.0,2024,175
Audric Estime,DEN,0,0,0,0,0,12.0,2024,175
Michael Burton,DEN,1,1,8,0,8,12.0,2024,175
Courtland Sutton,DEN,10,8,97,2,19,12.0,2024,175
Devaughn Vele,DEN,9,6,80,0,24,12.0,2024,175
Troy Franklin,DEN,4,2,31,0,26,12.0,2024,175
Lil'Jordan Humphrey,DEN,3,2,4,0,2,12.0,2024,175
Adam Trautman,DEN,2,1,3,0,3,12.0,2024,175
Marvin Mims,DEN,5,3,44,0,37,12.0,2024,175
Javonte Williams,DEN,4,2,6,0,5,12.0,2024,175
Gardner Minshew II,LVR,0,0,0,0,0,12.0,2024,175
Desmond Ridder,LVR,0,0,0,0,0,12.0,2024,175
AJ Cole III,LVR,0,0,0,0,0,12.0,2024,175
Sincere McCormick,LVR,0,0,0,0,0,12.0,2024,175
Ameer Abdullah,LVR,6,5,37,1,13,12.0,2024,175
Jakobi Meyers,LVR,15,10,121,0,25,12.0,2024,175
Tre Tucker,LVR,8,7,82,0,28,12.0,2024,175
Brock Bowers,LVR,10,4,38,0,13,12.0,2024,175
Divine Deablo,LVR,1,1,34,0,34,12.0,2024,175
Michael Mayer,LVR,2,2,11,0,9,12.0,2024,175
DJ Turner,LVR,4,2,5,0,4,12.0,2024,175
