Unnamed: 0_level_0,Unnamed: 1_level_0,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,week,year,game_id
Tm,Total,Tot,Pass,Rush,TOvr,Tot,Pass,Rush,TOvr,Tot,KO,KR,P,PR,FG/XP,,,
Packers,28.0,12.2,12.64,-0.74,0.0,19.42,12.37,5.08,12.72,-2.13,-6.17,3.02,2.68,-1.83,0.17,12.0,2024,177
49ers,-28.0,-19.42,-12.37,-5.08,-12.72,-12.2,-12.64,0.74,0.0,2.13,-3.02,6.17,1.83,-2.68,-0.17,12.0,2024,177
