Unnamed: 0,DAL,WAS,week,year,game_id
First Downs,19,19,12.0,2024,170
Rush-Yds-TDs,28-91-0,25-145-1,12.0,2024,170
Cmp-Att-Yd-TD-INT,24-32-247-2-0,25-38-275-2-2,12.0,2024,170
Sacked-Yards,1-6,4-8,12.0,2024,170
Net Pass Yards,241,267,12.0,2024,170
Total Yards,332,412,12.0,2024,170
Fumbles-Lost,3-1,2-1,12.0,2024,170
Turnovers,1,3,12.0,2024,170
Penalties-Yards,4-20,8-78,12.0,2024,170
Third Down Conv.,2-11,4-12,12.0,2024,170
Fourth Down Conv.,0-0,0-0,12.0,2024,170
Time of Possession,35:12,24:48,12.0,2024,170
