Quarter,Time,Down,ToGo,Location,PIT,CLE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Browns won the coin toss and deferred, Steelers to receive the opening kickoff.",,,12.0,2024,167
1.0,15:00,,,CLE 35,0.0,0.0,"Dustin Hopkins kicks off 54 yards, returned by Cordarrelle Patterson for 10 yards (tackle by D'Anthony Bell)",0.0,0.34,12.0,2024,167
1.0,14:57,1.0,10.0,PIT 21,0.0,0.0,Najee Harris right tackle for -1 yards (tackle by Shelby Harris),0.34,-0.34,12.0,2024,167
1.0,14:15,2.0,11.0,PIT 20,0.0,0.0,Jaylen Warren up the middle for 15 yards (tackle by Juan Thornhill),-0.34,1.27,12.0,2024,167
1.0,13:38,1.0,10.0,PIT 35,0.0,0.0,Russell Wilson pass complete short right to Darnell Washington for 6 yards (tackle by Ogbonnia Okoronkwo and Devin Bush),1.27,1.53,12.0,2024,167
1.0,13:00,2.0,4.0,PIT 41,0.0,0.0,Russell Wilson pass complete short left to George Pickens for 3 yards (tackle by Martin Emerson),1.53,1.22,12.0,2024,167
1.0,12:17,3.0,1.0,PIT 44,0.0,0.0,"Penalty on Darnell Washington: False Start, 5 yards (accepted) (no play)",1.22,0.56,12.0,2024,167
1.0,11:55,3.0,6.0,PIT 39,0.0,0.0,Russell Wilson pass complete short right to Pat Freiermuth for 22 yards (tackle by Juan Thornhill),0.56,2.98,12.0,2024,167
1.0,11:20,1.0,10.0,CLE 39,0.0,0.0,Jaylen Warren left guard for 7 yards (tackle by Juan Thornhill and Mohamoud Diabate),2.98,3.39,12.0,2024,167
1.0,10:41,2.0,3.0,CLE 32,0.0,0.0,Russell Wilson left end for no gain (tackle by Elerson Smith),3.39,2.68,12.0,2024,167
1.0,10:03,3.0,3.0,CLE 32,0.0,0.0,Russell Wilson sacked by Myles Garrett for -8 yards,2.68,0.59,12.0,2024,167
1.0,9:18,4.0,11.0,CLE 40,0.0,0.0,Chris Boswell 58 yard field goal no good,0.59,-2.13,12.0,2024,167
1.0,9:12,1.0,10.0,CLE 48,0.0,0.0,Jameis Winston pass incomplete short left intended for David Njoku (defended by Cameron Heyward),2.13,1.58,12.0,2024,167
1.0,9:09,2.0,10.0,CLE 48,0.0,0.0,Nick Chubb left guard for 3 yards (tackle by Cameron Heyward and Payton Wilson),1.58,1.29,12.0,2024,167
1.0,8:28,3.0,7.0,PIT 49,0.0,0.0,"Penalty on Joel Bitonio: False Start, 5 yards (accepted) (no play)",1.29,0.63,12.0,2024,167
1.0,8:16,3.0,12.0,CLE 46,0.0,0.0,Jameis Winston pass complete short right to Jerome Ford for 8 yards (tackle by Cameron Sutton and Patrick Queen),0.63,0.2,12.0,2024,167
1.0,7:41,4.0,4.0,PIT 46,0.0,0.0,"Corey Bojorquez punts 12 yards out of bounds. Penalty on Damontae Kazee: Unnecessary Roughness / Defense, 15 yards (accepted)",0.2,-0.15,12.0,2024,167
1.0,7:35,1.0,10.0,PIT 19,0.0,0.0,"Penalty on Connor Heyward: False Start, 5 yards (accepted) (no play)",0.15,-0.39,12.0,2024,167
1.0,7:35,1.0,15.0,PIT 14,0.0,0.0,Najee Harris left tackle for 11 yards (tackle by Martin Emerson),-0.39,0.48,12.0,2024,167
1.0,6:59,2.0,4.0,PIT 25,0.0,0.0,Russell Wilson sacked by Jordan Hicks for -2 yards,0.48,-0.55,12.0,2024,167
1.0,6:18,3.0,6.0,PIT 23,0.0,0.0,Russell Wilson pass complete deep right to George Pickens for 31 yards (tackle by Denzel Ward),-0.55,2.52,12.0,2024,167
1.0,5:39,1.0,10.0,CLE 46,0.0,0.0,Jaylen Warren up the middle for 4 yards (tackle by Mohamoud Diabate),2.52,2.52,12.0,2024,167
1.0,5:00,2.0,6.0,CLE 42,0.0,0.0,Najee Harris left guard for no gain (tackle by Grant Delpit),2.52,1.82,12.0,2024,167
1.0,4:16,3.0,6.0,CLE 42,0.0,0.0,Russell Wilson pass complete short right to Van Jefferson for 4 yards (tackle by Ronnie Hickman),1.82,0.72,12.0,2024,167
1.0,3:30,4.0,2.0,CLE 38,0.0,0.0,Justin Fields right tackle for -2 yards (tackle by Grant Delpit and Myles Garrett),0.72,-1.6,12.0,2024,167
1.0,3:25,1.0,10.0,CLE 40,0.0,0.0,Nick Chubb left tackle for 6 yards (tackle by DeShon Elliott),1.6,1.86,12.0,2024,167
1.0,2:48,2.0,4.0,CLE 46,0.0,0.0,Nick Chubb left guard for 2 yards (tackle by Elandon Roberts and DeShon Elliott),1.86,1.42,12.0,2024,167
1.0,2:15,3.0,2.0,CLE 48,0.0,0.0,Jameis Winston pass incomplete short right intended for Cedric Tillman,1.42,-0.19,12.0,2024,167
1.0,2:10,4.0,2.0,CLE 48,0.0,0.0,Corey Bojorquez punts 41 yards downed by Pierre Strong,-0.19,0.37,12.0,2024,167
1.0,2:01,1.0,10.0,PIT 11,0.0,0.0,Najee Harris right tackle for 4 yards (tackle by Maurice Hurst),-0.37,-0.43,12.0,2024,167
1.0,1:23,2.0,6.0,PIT 15,0.0,0.0,Russell Wilson pass complete short left to Darnell Washington for 4 yards (tackle by Devin Bush and Ogbonnia Okoronkwo),-0.43,-0.48,12.0,2024,167
1.0,0:42,3.0,2.0,PIT 19,0.0,0.0,Russell Wilson pass complete short right to George Pickens for 7 yards (tackle by Denzel Ward),-0.48,0.67,12.0,2024,167
2.0,15:00,1.0,10.0,PIT 26,0.0,0.0,Jaylen Warren right end for no gain (tackle by Mohamoud Diabate),0.67,0.13,12.0,2024,167
2.0,14:18,2.0,10.0,PIT 26,0.0,0.0,Jaylen Warren up the middle for 1 yard (tackle by Grant Delpit and Shelby Harris),0.13,-0.43,12.0,2024,167
2.0,13:35,3.0,9.0,PIT 27,0.0,0.0,Russell Wilson pass complete deep middle to Calvin Austin for 46 yards (tackle by Grant Delpit),-0.43,3.78,12.0,2024,167
2.0,12:54,1.0,10.0,CLE 27,0.0,0.0,Najee Harris right guard for -3 yards (tackle by Denzel Ward),3.78,2.83,12.0,2024,167
2.0,12:07,,,,,,Timeout #1 by Pittsburgh Steelers,,,12.0,2024,167
2.0,12:07,2.0,13.0,CLE 30,0.0,0.0,"Russell Wilson pass complete short left to Najee Harris for 3 yards (tackle by Martin Emerson). Penalty on Connor Heyward: Illegal Formation, 5 yards (declined)",2.83,2.54,12.0,2024,167
