Quarter,Time,Down,ToGo,Location,NWE,MIA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Dolphins won the coin toss and deferred, Patriots to receive the opening kickoff.",,,12.0,2024,171
1.0,15:00,,,MIA 35,0.0,0.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,171
1.0,15:00,1.0,10.0,NWE 30,0.0,0.0,Rhamondre Stevenson left guard for 1 yard (tackle by Benito Jones),0.94,0.53,12.0,2024,171
1.0,14:25,2.0,9.0,NWE 31,0.0,0.0,Drake Maye pass complete short left to Hunter Henry for 6 yards (tackle by Kader Kohou),0.53,0.63,12.0,2024,171
1.0,13:41,3.0,3.0,NWE 37,0.0,0.0,"Penalty on Vederian Lowe: False Start, 5 yards (accepted) (no play)",0.63,-0.03,12.0,2024,171
1.0,13:23,3.0,8.0,NWE 32,0.0,0.0,Drake Maye pass complete short right to Ja'Lynn Polk for 7 yards (tackle by Anthony Walker),-0.03,-0.78,12.0,2024,171
1.0,12:44,4.0,1.0,NWE 39,0.0,0.0,"Bryce Baringer punts 57 yards, returned by Malik Washington for 13 yards (tackle by Jaylinn Hawkins)",-0.78,0.06,12.0,2024,171
1.0,12:22,1.0,10.0,MIA 17,0.0,0.0,Tua Tagovailoa pass complete short left to Jonnu Smith for 11 yards (tackle by Marcus Jones),-0.06,0.81,12.0,2024,171
1.0,11:49,1.0,10.0,MIA 28,0.0,0.0,De'Von Achane right tackle for 7 yards (tackle by Marcus Jones and Marte Mapu),0.81,1.21,12.0,2024,171
1.0,11:24,2.0,3.0,MIA 35,0.0,0.0,De'Von Achane left tackle for 1 yard (tackle by Anfernee Jennings),1.21,0.63,12.0,2024,171
1.0,10:50,3.0,2.0,MIA 36,0.0,0.0,Tua Tagovailoa pass incomplete short left intended for Jonnu Smith (defended by Marte Mapu),0.63,-0.98,12.0,2024,171
1.0,10:40,4.0,2.0,MIA 36,0.0,0.0,"Jake Bailey punts 51 yards, fair catch by Marcus Jones at NE-13",-0.98,0.32,12.0,2024,171
1.0,10:33,1.0,10.0,NWE 13,0.0,0.0,Drake Maye scrambles right end for 6 yards (tackle by Jordyn Brooks),-0.32,0.03,12.0,2024,171
1.0,9:54,2.0,4.0,NWE 19,0.0,0.0,Rhamondre Stevenson right guard for 9 yards (tackle by Jordan Poyer),0.03,0.81,12.0,2024,171
1.0,9:13,1.0,10.0,NWE 28,0.0,0.0,"Penalty on Demontrey Jacobs: False Start, 5 yards (accepted) (no play)",0.81,0.48,12.0,2024,171
1.0,9:11,1.0,15.0,NWE 23,0.0,0.0,Rhamondre Stevenson right tackle for 4 yards (tackle by Zach Sieler),0.48,0.13,12.0,2024,171
1.0,8:26,2.0,11.0,NWE 27,0.0,0.0,"Penalty on Vederian Lowe: False Start, 5 yards (accepted) (no play)",0.13,-0.55,12.0,2024,171
1.0,8:10,2.0,16.0,NWE 22,0.0,0.0,Antonio Gibson right guard for 14 yards (tackle by Jordan Poyer),-0.55,0.63,12.0,2024,171
