Unnamed: 0,KAN,CAR,week,year,game_id
First Downs,27,21,12.0,2024,168
Rush-Yds-TDs,26-165-0,21-85-1,12.0,2024,168
Cmp-Att-Yd-TD-INT,27-37-269-3-0,21-35-263-1-0,12.0,2024,168
Sacked-Yards,5-43,2-14,12.0,2024,168
Net Pass Yards,226,249,12.0,2024,168
Total Yards,391,334,12.0,2024,168
Fumbles-Lost,1-0,1-0,12.0,2024,168
Turnovers,0,0,12.0,2024,168
Penalties-Yards,10-91,9-53,12.0,2024,168
Third Down Conv.,8-13,5-13,12.0,2024,168
Fourth Down Conv.,1-1,2-2,12.0,2024,168
Time of Possession,32:16,27:44,12.0,2024,168
