Quarter,Time,Down,ToGo,Location,DAL,WAS,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Commanders won the coin toss and deferred, Cowboys to receive the opening kickoff.",,,12.0,2024,170
1.0,15:00,,,WAS 35,0.0,0.0,"Austin Seibert kicks off 68 yards, returned by KaVontae Turpin for 38 yards (tackle by Quan Martin and Jordan Magee)",0.0,1.27,12.0,2024,170
1.0,14:54,1.0,10.0,DAL 35,0.0,0.0,Cooper Rush pass complete short left to CeeDee Lamb for 8 yards (tackle by Mike Sainristil),1.27,1.8,12.0,2024,170
1.0,14:19,2.0,2.0,DAL 43,0.0,0.0,Cooper Rush pass complete short right to CeeDee Lamb for 11 yards (tackle by Frankie Luvu and Clelin Ferrell),1.8,2.52,12.0,2024,170
1.0,13:42,1.0,10.0,WAS 46,0.0,0.0,Cooper Rush pass complete short right to Luke Schoonmaker for 24 yards (tackle by Noah Igbinoghene),2.52,4.11,12.0,2024,170
1.0,13:04,1.0,10.0,WAS 22,0.0,0.0,"Penalty on Jer'Zhan Newton: Encroachment, 5 yards (accepted) (no play)",4.11,4.97,12.0,2024,170
1.0,12:50,1.0,5.0,WAS 17,0.0,0.0,Rico Dowdle right guard for 4 yards (tackle by Frankie Luvu),4.97,5.06,12.0,2024,170
1.0,12:19,2.0,1.0,WAS 13,0.0,0.0,Cooper Rush pass complete short middle to CeeDee Lamb for -4 yards (tackle by Dorance Armstrong),5.06,3.56,12.0,2024,170
1.0,11:40,,,,,,Timeout #1 by Washington Commanders,,,12.0,2024,170
1.0,11:40,3.0,5.0,WAS 17,0.0,0.0,Cooper Rush pass incomplete short middle intended for Jalen Tolbert (defended by Michael Davis),3.56,2.36,12.0,2024,170
1.0,11:36,4.0,5.0,WAS 17,0.0,0.0,Brandon Aubrey 35 yard field goal no good blocked by Quan Martin (tackle by Asim Richards),2.36,-2.92,12.0,2024,170
1.0,11:25,1.0,10.0,DAL 40,0.0,0.0,Brian Robinson right tackle for -2 yards (tackle by Osa Odighizuwa),2.92,2.1,12.0,2024,170
1.0,11:00,2.0,12.0,DAL 42,0.0,0.0,Jayden Daniels pass incomplete short right,2.1,1.42,12.0,2024,170
