Quarter,Time,Down,ToGo,Location,DEN,LVR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Broncos won the coin toss and deferred, Raiders to receive the opening kickoff.",,,12.0,2024,175
1.0,15:00,,,DEN 35,0.0,0.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,175
1.0,15:00,1.0,10.0,LVR 30,0.0,0.0,"Gardner Minshew aborted snap, recovered by Gardner Minshew at LV-27 and returned for -3 yards",0.94,-0.01,12.0,2024,175
1.0,14:21,2.0,13.0,LVR 27,0.0,0.0,Gardner Minshew pass complete short right to Brock Bowers for 7 yards (tackle by Brandon Jones),-0.01,0.23,12.0,2024,175
1.0,13:43,3.0,6.0,LVR 34,0.0,0.0,Gardner Minshew pass complete short left to Jakobi Meyers for 17 yards (tackle by P.J. Locke),0.23,2.32,12.0,2024,175
1.0,12:59,1.0,10.0,DEN 49,0.0,0.0,Gardner Minshew pass incomplete short middle,2.32,1.78,12.0,2024,175
1.0,12:55,2.0,10.0,DEN 49,0.0,0.0,Gardner Minshew pass complete short left to Ameer Abdullah for 7 yards (tackle by Cody Barton),1.78,2.02,12.0,2024,175
1.0,12:21,3.0,3.0,DEN 42,0.0,0.0,Gardner Minshew pass incomplete short right intended for Brock Bowers,2.02,0.46,12.0,2024,175
1.0,12:16,4.0,3.0,DEN 42,0.0,0.0,"AJ Cole punts 31 yards, fair catch by Marvin Mims at DEN-11",0.46,0.37,12.0,2024,175
1.0,12:09,1.0,10.0,DEN 11,0.0,0.0,Bo Nix pass incomplete deep left intended for Troy Franklin,-0.37,-0.78,12.0,2024,175
1.0,12:04,2.0,10.0,DEN 11,0.0,0.0,Bo Nix pass complete deep left to Devaughn Vele for 23 yards (tackle by Isaiah Pola-Mao),-0.78,1.2,12.0,2024,175
1.0,11:30,1.0,10.0,DEN 34,0.0,0.0,Bo Nix pass incomplete short right intended for Javonte Williams (defended by Jonah Laulu),1.2,0.66,12.0,2024,175
1.0,11:24,2.0,10.0,DEN 34,0.0,0.0,"Javonte Williams up the middle for no gain (tackle by Tyree Wilson and Robert Spillane). Penalty on Mike McGlinchey: Offensive Holding, 10 yards (accepted) (no play)",0.66,-0.69,12.0,2024,175
1.0,11:00,2.0,20.0,DEN 24,0.0,0.0,Javonte Williams up the middle for 7 yards (tackle by Maxx Crosby and Isaiah Pola-Mao),-0.69,-0.43,12.0,2024,175
1.0,10:32,3.0,13.0,DEN 31,0.0,0.0,Bo Nix pass complete deep left to Courtland Sutton for 17 yards (tackle by Decamerion Richardson),-0.43,2.13,12.0,2024,175
1.0,10:08,1.0,10.0,DEN 48,0.0,0.0,Bo Nix pass incomplete deep right intended for Troy Franklin,2.13,1.58,12.0,2024,175
1.0,9:59,2.0,10.0,DEN 48,0.0,0.0,Javonte Williams left tackle for 1 yard (tackle by Darnay Holmes),1.58,1.02,12.0,2024,175
1.0,9:24,3.0,9.0,DEN 49,0.0,0.0,Bo Nix pass incomplete deep right intended for Lil'Jordan Humphrey (defended by Jack Jones),1.02,-0.13,12.0,2024,175
1.0,9:16,4.0,9.0,DEN 49,0.0,0.0,"Riley Dixon punts 43 yards, fair catch by DJ Turner at LV-8",-0.13,0.38,12.0,2024,175
1.0,9:09,1.0,10.0,LVR 8,0.0,0.0,Ameer Abdullah left guard for 5 yards (tackle by John Franklin-Myers and Malcolm Roach),-0.38,-0.41,12.0,2024,175
1.0,8:36,2.0,5.0,LVR 13,0.0,0.0,"Gardner Minshew pass complete short middle to DJ Turner for 1 yard (tackle by Cody Barton). Penalty on Jackson Powers-Johnson: Unnecessary Roughness / Offense, 7 yards (accepted)",-0.41,-1.54,12.0,2024,175
1.0,8:06,3.0,11.0,LVR 7,0.0,0.0,Gardner Minshew pass incomplete short left,-1.54,-2.49,12.0,2024,175
1.0,8:04,4.0,11.0,LVR 7,0.0,0.0,AJ Cole punts 60 yards out of bounds,-2.49,-1.14,12.0,2024,175
1.0,7:54,1.0,10.0,DEN 33,0.0,0.0,Jaleel McLaughlin right guard for 11 yards (tackle by Isaiah Pola-Mao and Thomas Harper),1.14,1.86,12.0,2024,175
1.0,7:00,1.0,10.0,DEN 44,0.0,0.0,"Jaleel McLaughlin left tackle for 7 yards (tackle by Zachary Carter). Penalty on Mike McGlinchey: Offensive Holding, 10 yards (accepted) (no play)",1.86,1.2,12.0,2024,175
1.0,6:42,,,,,,Timeout #1 by Denver Broncos,,,12.0,2024,175
1.0,6:42,1.0,20.0,DEN 34,0.0,0.0,Bo Nix pass complete deep middle to Troy Franklin for 26 yards (tackle by Divine Deablo and Isaiah Pola-Mao),1.2,2.92,12.0,2024,175
1.0,6:00,1.0,10.0,LVR 40,0.0,0.0,Bo Nix pass complete short right to Michael Burton for 8 yards (tackle by Robert Spillane),2.92,3.45,12.0,2024,175
1.0,5:18,2.0,2.0,LVR 32,0.0,0.0,Jaleel McLaughlin left guard for 18 yards (tackle by Jack Jones),3.45,4.65,12.0,2024,175
1.0,4:58,1.0,10.0,LVR 14,0.0,0.0,Bo Nix pass complete short left to Adam Trautman for 3 yards (tackle by Charles Snowden),4.65,4.52,12.0,2024,175
1.0,4:08,2.0,7.0,LVR 11,0.0,0.0,Javonte Williams right end for -4 yards (tackle by Jack Jones),4.52,3.06,12.0,2024,175
1.0,3:22,3.0,11.0,LVR 15,0.0,0.0,"Penalty on Mike McGlinchey: False Start, 5 yards (accepted) (no play)",3.06,2.61,12.0,2024,175
1.0,2:58,3.0,16.0,LVR 20,0.0,0.0,"Bo Nix pass incomplete short right. Penalty on Luke Wattenberg: Ineligible Downfield Pass, 5 yards (declined)",2.61,2.12,12.0,2024,175
1.0,2:51,4.0,16.0,LVR 20,3.0,0.0,Wil Lutz 38 yard field goal good,2.12,3.0,12.0,2024,175
1.0,2:47,,,DEN 35,3.0,0.0,"Wil Lutz kicks off 64 yards, returned by Dylan Laube for 59 yards (tackle by Devon Key)",0.0,2.92,12.0,2024,175
1.0,2:38,1.0,10.0,DEN 40,3.0,0.0,Sincere McCormick up the middle for 11 yards (tackle by Riley Moss),2.92,3.64,12.0,2024,175
1.0,2:00,1.0,10.0,DEN 29,3.0,0.0,Gardner Minshew pass complete short left to Michael Mayer for 2 yards (tackle by Justin Strnad),3.64,3.37,12.0,2024,175
1.0,1:20,2.0,8.0,DEN 27,3.0,0.0,Ameer Abdullah right guard for 5 yards (tackle by Riley Moss),3.37,3.34,12.0,2024,175
1.0,0:40,3.0,3.0,DEN 22,3.0,0.0,Ameer Abdullah up the middle for 3 yards (tackle by Ja'Quan McMillian and Malcolm Roach),3.34,4.31,12.0,2024,175
2.0,15:00,1.0,10.0,DEN 19,3.0,0.0,Gardner Minshew pass complete short right to Michael Mayer for 9 yards (tackle by Jonah Elliss),4.31,5.36,12.0,2024,175
2.0,14:20,2.0,1.0,DEN 10,3.0,0.0,Ameer Abdullah up the middle for 4 yards (tackle by Dondrea Tillman and Justin Strnad),5.36,5.83,12.0,2024,175
2.0,13:40,1.0,6.0,DEN 6,3.0,6.0,"Gardner Minshew pass complete short right to Ameer Abdullah for 6 yards, touchdown",5.83,7.0,12.0,2024,175
2.0,13:36,,,DEN 15,3.0,7.0,Daniel Carlson kicks extra point good,0.0,0.0,12.0,2024,175
2.0,13:36,,,LVR 35,3.0,7.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,175
2.0,13:36,1.0,10.0,DEN 30,3.0,7.0,Bo Nix pass complete short right to Devaughn Vele for 9 yards (tackle by Jack Jones and Darnay Holmes),0.94,1.61,12.0,2024,175
2.0,13:03,2.0,1.0,DEN 39,3.0,7.0,Michael Burton right guard for 3 yards (tackle by Divine Deablo),1.61,1.73,12.0,2024,175
2.0,12:25,1.0,10.0,DEN 42,3.0,7.0,"Bo Nix pass complete short right to Devaughn Vele for 12 yards (tackle by Jack Jones) LVR challenged the runner was down by contact ruling, and the original play was overturned. Bo Nix pass complete short right to Devaughn Vele for 8 yards (tackle by Jack Jones)",1.73,2.27,12.0,2024,175
2.0,12:08,2.0,2.0,DEN 50,3.0,7.0,Bo Nix pass complete deep middle to Devaughn Vele for 24 yards (tackle by Decamerion Richardson),2.27,3.84,12.0,2024,175
2.0,11:30,1.0,10.0,LVR 26,3.0,7.0,Javonte Williams up the middle for -3 yards (tackle by Maxx Crosby),3.84,2.89,12.0,2024,175
2.0,10:51,2.0,13.0,LVR 29,3.0,7.0,Bo Nix scrambles left end for 5 yards (tackle by Divine Deablo),2.89,2.87,12.0,2024,175
2.0,10:03,3.0,8.0,LVR 24,3.0,7.0,Bo Nix sacked by Tyree Wilson for -11 yards,2.87,0.97,12.0,2024,175
2.0,9:26,4.0,19.0,LVR 35,6.0,7.0,Wil Lutz 53 yard field goal good,0.97,3.0,12.0,2024,175
2.0,9:21,,,DEN 35,6.0,7.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,175
2.0,9:21,1.0,10.0,LVR 30,6.0,7.0,Gardner Minshew pass incomplete deep right intended for Tre Tucker (defended by Riley Moss),0.94,0.39,12.0,2024,175
2.0,9:15,2.0,10.0,LVR 30,6.0,7.0,Gardner Minshew pass incomplete short right intended for Brock Bowers,0.39,-0.3,12.0,2024,175
2.0,9:09,3.0,10.0,LVR 30,6.0,7.0,Gardner Minshew pass complete short right to Ameer Abdullah for 6 yards (tackle by Riley Moss),-0.3,-0.98,12.0,2024,175
2.0,8:33,4.0,4.0,LVR 36,6.0,7.0,AJ Cole pass complete short right to Divine Deablo for 34 yards (tackle by Marvin Mims),-0.98,3.58,12.0,2024,175
2.0,7:46,1.0,10.0,DEN 30,6.0,7.0,Gardner Minshew pass complete short middle to Tre Tucker for 1 yard (tackle by Nik Bonitto),3.58,3.17,12.0,2024,175
2.0,7:05,2.0,9.0,DEN 29,6.0,7.0,Sincere McCormick up the middle for 5 yards (tackle by Cody Barton),3.17,3.14,12.0,2024,175
2.0,6:26,3.0,4.0,DEN 24,6.0,7.0,Gardner Minshew pass complete short right to Ameer Abdullah for 13 yards (tackle by Jonathon Cooper),3.14,4.84,12.0,2024,175
2.0,5:45,1.0,10.0,DEN 11,6.0,7.0,Ameer Abdullah left guard for no gain (tackle by Justin Strnad),4.84,4.14,12.0,2024,175
2.0,5:03,2.0,10.0,DEN 11,6.0,7.0,Gardner Minshew pass incomplete short right,4.14,3.13,12.0,2024,175
2.0,4:53,3.0,10.0,DEN 11,6.0,7.0,"Gardner Minshew pass complete short middle to Tre Tucker for no gain (tackle by Ja'Quan McMillian). Penalty on Delmar Glaze: Offensive Holding, 10 yards (accepted) (no play)",3.13,2.28,12.0,2024,175
2.0,4:30,3.0,20.0,DEN 21,6.0,7.0,Ameer Abdullah up the middle for 5 yards (tackle by Riley Moss),2.28,2.38,12.0,2024,175
2.0,3:52,4.0,15.0,DEN 16,6.0,10.0,Daniel Carlson 34 yard field goal good,2.38,3.0,12.0,2024,175
2.0,3:48,,,LVR 35,6.0,10.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,175
2.0,3:48,1.0,10.0,DEN 30,6.0,10.0,Bo Nix pass complete short right to Marvin Mims for 10 yards (tackle by Robert Spillane),0.94,1.6,12.0,2024,175
2.0,3:08,1.0,10.0,DEN 40,6.0,10.0,Audric Estime up the middle for 9 yards (tackle by Divine Deablo and Decamerion Richardson),1.6,2.27,12.0,2024,175
2.0,2:29,2.0,1.0,DEN 49,6.0,10.0,Audric Estime left guard for 2 yards (tackle by Thomas Harper and Robert Spillane),2.27,2.32,12.0,2024,175
2.0,2:00,1.0,10.0,LVR 49,6.0,10.0,Bo Nix pass incomplete short left intended for Javonte Williams,2.32,1.78,12.0,2024,175
2.0,1:54,2.0,10.0,LVR 49,6.0,10.0,"Bo Nix pass incomplete deep left intended for Courtland Sutton. Penalty on Decamerion Richardson: Defensive Pass Interference, 17 yards (accepted) (no play)",1.78,3.45,12.0,2024,175
2.0,1:50,1.0,10.0,LVR 32,6.0,10.0,Marvin Mims left end for -5 yards (tackle by Tyree Wilson),3.45,2.23,12.0,2024,175
2.0,1:09,2.0,15.0,LVR 37,6.0,10.0,Bo Nix pass incomplete short middle intended for Adam Trautman,2.23,1.55,12.0,2024,175
2.0,1:03,,,,,,Timeout #2 by Denver Broncos,,,12.0,2024,175
2.0,1:03,3.0,15.0,LVR 37,6.0,10.0,Bo Nix pass complete short left to Javonte Williams for 1 yard (tackle by Robert Spillane),1.55,0.88,12.0,2024,175
2.0,0:58,,,,,,Timeout #1 by Las Vegas Raiders,,,12.0,2024,175
2.0,0:58,4.0,14.0,LVR 36,9.0,10.0,Wil Lutz 54 yard field goal good,0.88,3.0,12.0,2024,175
2.0,0:53,,,DEN 35,9.0,10.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,175
2.0,0:53,1.0,10.0,LVR 30,9.0,10.0,Gardner Minshew pass complete short middle to Brock Bowers for 9 yards (tackle by Brandon Jones),0.94,1.61,12.0,2024,175
2.0,0:43,2.0,1.0,LVR 39,9.0,10.0,"Gardner Minshew pass incomplete deep right intended for Jakobi Meyers (defended by Patrick Surtain). Penalty on Nik Bonitto: Defensive Offside, 6 yards (accepted) (no play)",1.61,1.93,12.0,2024,175
2.0,0:40,1.0,10.0,LVR 45,9.0,10.0,Gardner Minshew pass incomplete short right intended for Jakobi Meyers,1.93,1.38,12.0,2024,175
2.0,0:34,2.0,10.0,LVR 45,9.0,10.0,Gardner Minshew pass complete deep right to Jakobi Meyers for 18 yards (tackle by P.J. Locke),1.38,3.12,12.0,2024,175
2.0,0:27,,,,,,Timeout #2 by Las Vegas Raiders,,,12.0,2024,175
2.0,0:27,1.0,10.0,DEN 37,9.0,10.0,Gardner Minshew pass complete deep left to Tre Tucker for 16 yards (tackle by Ja'Quan McMillian),3.12,4.17,12.0,2024,175
2.0,0:20,,,,,,Timeout #3 by Las Vegas Raiders,,,12.0,2024,175
2.0,0:20,1.0,10.0,DEN 21,9.0,10.0,Gardner Minshew pass complete short right to Jakobi Meyers for 5 yards (tackle by Levi Wallace),4.17,4.37,12.0,2024,175
2.0,0:04,2.0,5.0,DEN 16,9.0,10.0,Gardner Minshew spiked the ball,4.37,3.63,12.0,2024,175
