Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,week,year,game_id
Russell Wilson,PIT,21,28,270,10,31.3,309,11.0,184,8.8,6.6,86,4.1,0,0.0%,5,19.2%,4,3,0,7,11,33.3%,1,10.0,12.0,2024,167
Justin Fields,PIT,0,1,0,0,0.0,35,35.0,0,,0.0,0,,0,0.0%,1,100.0%,0,0,0,0,0,0.0%,0,,12.0,2024,167
Jameis Winston,CLE,18,27,219,8,28.6,227,8.4,175,9.7,6.5,44,2.4,2,7.4%,1,3.7%,1,4,0,5,6,20.7%,1,2.0,12.0,2024,167
