Quarter,Time,Down,ToGo,Location,MIN,CHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Vikings won the coin toss and deferred, Bears to receive the opening kickoff.",,,12.0,2024,169
1,15:00,,,MIN 35,0.0,0.0,"John Parker Romo kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,169
1,15:00,1.0,10.0,CHI 30,0.0,0.0,"Caleb Williams pass complete short right to Cole Kmet for no gain. Penalty on D'Andre Swift: Offensive Holding, 10 yards (accepted) (no play)",0.94,0.28,12.0,2024,169
1,14:46,1.0,20.0,CHI 20,0.0,0.0,Caleb Williams pass complete short right to Cole Kmet for 10 yards (tackle by Stephon Gilmore and Blake Cashman),0.28,0.39,12.0,2024,169
1,14:10,2.0,10.0,CHI 30,0.0,0.0,D'Andre Swift left end for 5 yards (tackle by Harrison Smith),0.39,0.37,12.0,2024,169
1,13:30,3.0,5.0,CHI 35,0.0,0.0,Caleb Williams pass incomplete short right intended for Rome Odunze (defended by Andrew Van Ginkel),0.37,-1.04,12.0,2024,169
1,13:25,4.0,5.0,CHI 35,0.0,0.0,"Tory Taylor punts 52 yards, returned by Brandon Powell for 13 yards (tackle by Tarvarius Moore)",-1.04,-0.67,12.0,2024,169
1,13:15,1.0,10.0,MIN 26,0.0,0.0,Aaron Jones right end for 13 yards (tackle by Kevin Byard),0.67,1.53,12.0,2024,169
1,12:36,1.0,10.0,MIN 39,0.0,0.0,Sam Darnold pass incomplete short right intended for Aaron Jones (defended by Gervon Dexter),1.53,0.99,12.0,2024,169
1,12:30,2.0,10.0,MIN 39,0.0,0.0,Aaron Jones left tackle for 2 yards (tackle by Kyler Gordon and DeMarcus Walker),0.99,0.56,12.0,2024,169
1,11:50,3.0,8.0,MIN 41,0.0,0.0,Sam Darnold pass complete short left to Jordan Addison for 10 yards (tackle by Tremaine Edmunds),0.56,2.32,12.0,2024,169
1,11:15,1.0,10.0,CHI 49,0.0,0.0,Aaron Jones left end for 41 yards (tackle by Kevin Byard),2.32,5.37,12.0,2024,169
1,10:37,1.0,8.0,CHI 8,0.0,0.0,Sam Darnold pass complete short left to Johnny Mundt for 7 yards (tackle by Tyrique Stevenson and Jonathan Owens),5.37,5.91,12.0,2024,169
1,9:54,2.0,1.0,CHI 1,0.0,0.0,"Aaron Jones left guard for -1 yards. Aaron Jones fumbles (forced by Jonathan Owens), recovered by Jonathan Owens at CHI-2 (tackle by Aaron Jones)",5.91,0.38,12.0,2024,169
1,9:47,1.0,10.0,CHI 2,0.0,0.0,D'Andre Swift right guard for 2 yards (tackle by Jonathan Bullard and Harrison Phillips),-0.38,-0.63,12.0,2024,169
1,9:15,2.0,8.0,CHI 4,0.0,0.0,Caleb Williams pass incomplete deep right intended for Cole Kmet,-0.63,-1.19,12.0,2024,169
1,9:05,3.0,8.0,CHI 4,0.0,0.0,Caleb Williams scrambles left end for 9 yards (tackle by Andrew Van Ginkel),-1.19,-0.32,12.0,2024,169
1,8:24,1.0,10.0,CHI 13,0.0,0.0,Caleb Williams pass complete short right to D.J. Moore for 6 yards (tackle by Blake Cashman),-0.32,0.03,12.0,2024,169
1,7:55,2.0,4.0,CHI 19,0.0,0.0,D.J. Moore right end for 13 yards (tackle by Andrew Van Ginkel and Harrison Smith),0.03,1.07,12.0,2024,169
1,7:13,1.0,10.0,CHI 32,0.0,0.0,D'Andre Swift right end for -1 yards (tackle by Blake Cashman),1.07,0.39,12.0,2024,169
1,6:31,2.0,11.0,CHI 31,0.0,0.0,Caleb Williams pass incomplete short middle intended for Keenan Allen,0.39,-0.29,12.0,2024,169
1,6:26,3.0,11.0,CHI 31,0.0,0.0,"Caleb Williams pass complete short left to Keenan Allen for -4 yards. Keenan Allen fumbles (forced by Jonathan Greenard), recovered by Keenan Allen at CHI-27 (tackle by Jonathan Greenard)",-0.29,-1.57,12.0,2024,169
1,5:49,4.0,15.0,CHI 27,0.0,0.0,"Tory Taylor punts 49 yards, returned by Brandon Powell for 9 yards (tackle by Tarvarius Moore). Penalty on C.J. Ham: Offensive Illegal Block Above the Waist, 10 yards (accepted)",-1.57,-0.48,12.0,2024,169
1,5:36,1.0,10.0,MIN 23,0.0,0.0,Sam Darnold pass incomplete short right intended for Jordan Addison,0.48,-0.07,12.0,2024,169
