Unnamed: 0,PIT,CLE,week,year,game_id
First Downs,17,17,12.0,2024,167
Rush-Yds-TDs,34-120-1,27-85-3,12.0,2024,167
Cmp-Att-Yd-TD-INT,21-29-270-1-0,18-27-219-0-1,12.0,2024,167
Sacked-Yards,4-22,1-0,12.0,2024,167
Net Pass Yards,248,219,12.0,2024,167
Total Yards,368,304,12.0,2024,167
Fumbles-Lost,2-1,3-2,12.0,2024,167
Turnovers,1,3,12.0,2024,167
Penalties-Yards,6-39,8-48,12.0,2024,167
Third Down Conv.,7-16,1-10,12.0,2024,167
Fourth Down Conv.,1-3,4-4,12.0,2024,167
Time of Possession,35:02,24:58,12.0,2024,167
