Unnamed: 0,PHI,LAR,week,year,game_id
First Downs,24,23,12.0,2024,178
Rush-Yds-TDs,45-314-3,18-92-1,12.0,2024,178
Cmp-Att-Yd-TD-INT,15-22-179-1-0,24-36-243-2-0,12.0,2024,178
Sacked-Yards,1-12,5-45,12.0,2024,178
Net Pass Yards,167,198,12.0,2024,178
Total Yards,481,290,12.0,2024,178
Fumbles-Lost,0-0,4-1,12.0,2024,178
Turnovers,0,1,12.0,2024,178
Penalties-Yards,4-52,4-38,12.0,2024,178
Third Down Conv.,9-15,0-8,12.0,2024,178
Fourth Down Conv.,0-1,3-3,12.0,2024,178
Time of Possession,33:41,26:19,12.0,2024,178
