Quarter,Time,Down,ToGo,Location,PHI,LAR,Detail,EPB,EPA,week,year,game_id
1.0,6:43,2.0,6.0,LAR 6,0.0,0.0,Jalen Hurts right tackle for 2 yards (tackle by Tyler Davis),4.95,4.49,12.0,2024,178
1.0,6:03,3.0,4.0,LAR 4,0.0,0.0,Jalen Hurts pass complete short middle to Dallas Goedert for 1 yard (tackle by Omar Speights and Jared Verse),4.49,3.04,12.0,2024,178
1.0,5:17,4.0,3.0,LAR 3,3.0,0.0,Jake Elliott 21 yard field goal good,3.04,3.0,12.0,2024,178
1.0,5:13,,,PHI 35,3.0,0.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,178
1.0,5:13,1.0,10.0,LAR 30,3.0,0.0,Kyren Williams left tackle for 3 yards (tackle by Nakobe Dean),0.94,0.8,12.0,2024,178
1.0,4:37,2.0,7.0,LAR 33,3.0,0.0,Matthew Stafford pass complete short middle to Puka Nacua for 14 yards (tackle by Quinyon Mitchell),0.8,2.06,12.0,2024,178
1.0,3:59,1.0,10.0,LAR 47,3.0,0.0,Matthew Stafford pass complete short right to Cooper Kupp for 4 yards (tackle by Cooper DeJean),2.06,2.06,12.0,2024,178
1.0,3:24,2.0,6.0,PHI 49,3.0,0.0,Kyren Williams left tackle for 11 yards (tackle by Reed Blankenship),2.06,3.05,12.0,2024,178
1.0,2:45,1.0,10.0,PHI 38,3.0,0.0,Matthew Stafford pass incomplete short right intended for Cooper Kupp,3.05,2.51,12.0,2024,178
1.0,2:39,2.0,10.0,PHI 38,3.0,0.0,Matthew Stafford pass complete short middle to Demarcus Robinson for 13 yards (tackle by Nakobe Dean),2.51,3.91,12.0,2024,178
1.0,1:59,1.0,10.0,PHI 25,3.0,0.0,Matthew Stafford pass complete short right to Puka Nacua for 18 yards (tackle by Zack Baun),3.91,5.6,12.0,2024,178
1.0,1:15,1.0,7.0,PHI 7,3.0,0.0,Matthew Stafford pass incomplete short right,5.6,4.76,12.0,2024,178
1.0,1:11,2.0,7.0,PHI 7,3.0,0.0,"Matthew Stafford pass incomplete short middle intended for Demarcus Robinson. Penalty on Darius Slay: Defensive Pass Interference, 6 yards (accepted) (no play)",4.76,6.97,12.0,2024,178
1.0,1:06,1.0,1.0,PHI 1,3.0,6.0,"Kyren Williams up the middle for 1 yard, touchdown",6.97,7.0,12.0,2024,178
1.0,1:02,,,PHI 15,3.0,7.0,Joshua Karty kicks extra point good,0.0,0.0,12.0,2024,178
1.0,1:02,,,LAR 35,3.0,7.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,178
1.0,1:02,1.0,10.0,PHI 30,3.0,7.0,Jalen Hurts pass complete short middle to Saquon Barkley for 4 yards (tackle by Tyler Davis),0.94,0.93,12.0,2024,178
1.0,0:19,2.0,6.0,PHI 34,3.0,7.0,Jalen Hurts up the middle for 3 yards (tackle by Michael Hoecht and Christian Rozeboom),0.93,0.63,12.0,2024,178
2.0,15:00,3.0,3.0,PHI 37,3.0,7.0,Saquon Barkley up the middle for 7 yards (tackle by Kamren Kinchens),0.63,1.86,12.0,2024,178
2.0,14:19,1.0,10.0,PHI 44,3.0,7.0,Jalen Hurts pass incomplete deep right,1.86,1.32,12.0,2024,178
2.0,14:12,2.0,10.0,PHI 44,3.0,7.0,Saquon Barkley up the middle for 4 yards (tackle by Jared Verse),1.32,1.16,12.0,2024,178
2.0,13:32,3.0,6.0,PHI 48,3.0,7.0,Jalen Hurts sacked by Braden Fiske for -12 yards,1.16,-0.98,12.0,2024,178
2.0,12:47,4.0,18.0,PHI 36,3.0,7.0,"Braden Mann punts 54 yards, returned by Xavier Smith for 11 yards (tackle by Oren Burks)",-0.98,-0.34,12.0,2024,178
2.0,12:36,1.0,10.0,LAR 21,3.0,7.0,Matthew Stafford pass complete short right to Puka Nacua for 6 yards (tackle by Cooper DeJean),0.34,0.61,12.0,2024,178
2.0,11:58,2.0,4.0,LAR 27,3.0,7.0,Matthew Stafford pass incomplete short left intended for Puka Nacua (defended by Darius Slay),0.61,-0.1,12.0,2024,178
2.0,11:53,3.0,4.0,LAR 27,3.0,7.0,Matthew Stafford pass incomplete short left intended for Cooper Kupp (defended by Cooper DeJean),-0.1,-1.57,12.0,2024,178
