Quarter,Time,Down,ToGo,Location,ARI,SEA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Seahawks won the coin toss and deferred, Cardinals to receive the opening kickoff.",,,12.0,2024,176
1.0,15:00,,,SEA 35,0.0,0.0,"Jason Myers kicks off 57 yards, returned by DeeJay Dallas for 25 yards (tackle by Drake Thomas)",0.0,1.14,12.0,2024,176
1.0,14:55,1.0,10.0,ARI 33,0.0,0.0,Kyler Murray pass complete short right to Trey McBride for 11 yards (tackle by Tyrice Knight),1.14,1.86,12.0,2024,176
1.0,14:19,1.0,10.0,ARI 44,0.0,0.0,James Conner left guard for 4 yards (tackle by Leonard Williams and Tyrice Knight),1.86,1.86,12.0,2024,176
1.0,13:31,2.0,6.0,ARI 48,0.0,0.0,Kyler Murray sacked by Boye Mafe for -8 yards,1.86,0.1,12.0,2024,176
1.0,12:57,3.0,14.0,ARI 40,0.0,0.0,Kyler Murray sacked by Tyrice Knight for -6 yards,0.1,-1.11,12.0,2024,176
1.0,12:19,4.0,20.0,ARI 34,0.0,0.0,"Blake Gillikin punts 51 yards, fair catch by Dee Williams at SEA-15",-1.11,0.22,12.0,2024,176
1.0,12:09,1.0,10.0,SEA 15,0.0,0.0,Kenneth Walker left tackle for -5 yards (tackle by Kyzir White),-0.22,-1.15,12.0,2024,176
1.0,11:31,2.0,15.0,SEA 10,0.0,0.0,Geno Smith pass complete short middle to Jake Bobo for 8 yards (tackle by Budda Baker and Kyzir White),-1.15,-1.0,12.0,2024,176
1.0,10:48,3.0,7.0,SEA 18,0.0,0.0,Geno Smith pass complete deep middle to D.K. Metcalf for 29 yards (tackle by Garrett Williams),-1.0,2.06,12.0,2024,176
1.0,10:13,1.0,10.0,SEA 47,0.0,0.0,Kenneth Walker left tackle for 6 yards (tackle by Dante Stills and Sean Murphy-Bunting),2.06,2.33,12.0,2024,176
1.0,9:54,2.0,4.0,ARI 47,0.0,0.0,Zach Charbonnet left guard for no gain (tackle by Roy Lopez),2.33,1.62,12.0,2024,176
1.0,9:06,3.0,4.0,ARI 47,0.0,0.0,"Geno Smith sacked by Dante Stills for -13 yards. Penalty on Abraham Lucas: Illegal Formation, 5 yards (declined)",1.62,-0.72,12.0,2024,176
1.0,8:51,4.0,17.0,SEA 40,0.0,0.0,Michael Dickson punts 51 yards out of bounds,-0.72,0.38,12.0,2024,176
