#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,9:12,CLE 48,3,1:37,6,Punt,1,Browns,12.0,2024,167
2,1,3:25,CLE 40,3,1:24,8,Punt,1,Browns,12.0,2024,167
3,2,10:53,CLE 20,12,6:53,80,Touchdown,1,Browns,12.0,2024,167
4,2,3:11,PIT 31,6,2:31,15,Field Goal,1,Browns,12.0,2024,167
5,3,15:00,CLE 30,3,1:18,39,Fumble,1,Browns,12.0,2024,167
6,3,10:34,PIT 45,3,1:25,6,Punt,1,Browns,12.0,2024,167
7,3,1:56,CLE 35,10,4:40,65,Touchdown,1,Browns,12.0,2024,167
8,4,7:57,CLE 24,2,0:52,1,Fumble,1,Browns,12.0,2024,167
9,4,6:15,CLE 33,5,1:53,29,Interception,1,Browns,12.0,2024,167
10,4,3:22,PIT 45,9,2:25,45,Touchdown,1,Browns,12.0,2024,167
