Unnamed: 0,ARI,SEA,week,year,game_id
First Downs,15,17,12.0,2024,176
Rush-Yds-TDs,14-49-0,25-65-0,12.0,2024,176
Cmp-Att-Yd-TD-INT,24-37-285-0-1,22-31-254-1-1,12.0,2024,176
Sacked-Yards,5-36,5-34,12.0,2024,176
Net Pass Yards,249,220,12.0,2024,176
Total Yards,298,285,12.0,2024,176
Fumbles-Lost,0-0,1-0,12.0,2024,176
Turnovers,1,1,12.0,2024,176
Penalties-Yards,5-60,5-51,12.0,2024,176
Third Down Conv.,3-12,7-14,12.0,2024,176
Fourth Down Conv.,0-1,0-0,12.0,2024,176
Time of Possession,26:47,33:13,12.0,2024,176
