Unnamed: 0,MIN,CHI,week,year,game_id
First Downs,22,20,12.0,2024,169
Rush-Yds-TDs,27-124-1,22-78-1,12.0,2024,169
Cmp-Att-Yd-TD-INT,23-35-344-2-0,32-48-340-2-0,12.0,2024,169
Sacked-Yards,3-16,3-20,12.0,2024,169
Net Pass Yards,328,320,12.0,2024,169
Total Yards,452,398,12.0,2024,169
Fumbles-Lost,1-1,2-1,12.0,2024,169
Turnovers,1,1,12.0,2024,169
Penalties-Yards,5-45,7-80,12.0,2024,169
Third Down Conv.,6-13,6-17,12.0,2024,169
Fourth Down Conv.,0-1,2-3,12.0,2024,169
Time of Possession,33:26,34:24,12.0,2024,169
