Quarter,Time,Down,ToGo,Location,SFO,GNB,Detail,EPB,EPA,week,year,game_id
,,,,,,,"49ers won the coin toss and deferred, Packers to receive the opening kickoff.",,,12.0,2024,177
1.0,15:00,,,SFO 35,0.0,0.0,"Jake Moody kicks off 53 yards, returned by Corey Ballentine for 21 yards (tackle by George Odum)",0.0,1.14,12.0,2024,177
1.0,14:56,1.0,10.0,GNB 33,0.0,0.0,Jordan Love pass incomplete short left intended for Romeo Doubs (defended by Isaac Yiadom),1.14,0.59,12.0,2024,177
1.0,14:53,2.0,10.0,GNB 33,0.0,0.0,Josh Jacobs left guard for 18 yards (tackle by Deommodore Lenoir and Malik Mustapha),0.59,2.32,12.0,2024,177
1.0,14:10,1.0,10.0,SFO 49,0.0,0.0,Josh Jacobs up the middle for 2 yards (tackle by Jordan Elliott),2.32,2.05,12.0,2024,177
1.0,13:32,2.0,8.0,SFO 47,0.0,0.0,Josh Jacobs right tackle for 10 yards (tackle by Renardo Green and Ji'Ayir Brown),2.05,3.12,12.0,2024,177
1.0,12:51,1.0,10.0,SFO 37,0.0,0.0,Josh Jacobs up the middle for no gain (tackle by Fred Warner and De'Vondre Campbell),3.12,2.57,12.0,2024,177
1.0,12:11,2.0,10.0,SFO 37,0.0,0.0,Jordan Love pass complete short left to Jayden Reed for 6 yards (tackle by Deommodore Lenoir and Isaac Yiadom),2.57,2.68,12.0,2024,177
1.0,11:28,3.0,4.0,SFO 31,0.0,0.0,Jordan Love pass complete short right to Jayden Reed for 7 yards (tackle by Renardo Green),2.68,3.97,12.0,2024,177
1.0,10:55,1.0,10.0,SFO 24,0.0,0.0,Josh Jacobs left end for 9 yards (tackle by Isaac Yiadom),3.97,4.85,12.0,2024,177
1.0,10:14,2.0,1.0,SFO 15,0.0,0.0,Josh Jacobs right tackle for no gain (tackle by Ji'Ayir Brown and Malik Mustapha),4.85,4.17,12.0,2024,177
1.0,9:27,3.0,1.0,SFO 15,0.0,0.0,Emanuel Wilson left tackle for 1 yard (tackle by Deommodore Lenoir and Yetur Gross-Matos),4.17,4.65,12.0,2024,177
1.0,8:43,1.0,10.0,SFO 14,0.0,0.0,"Christian Watson left end for no gain (tackle by Fred Warner and Dee Winters). Penalty on Elgton Jenkins: Offensive Holding, 10 yards (accepted) (no play)",4.65,3.97,12.0,2024,177
1.0,8:16,1.0,20.0,SFO 24,0.0,0.0,Jordan Love pass complete short left to Jayden Reed for 13 yards (tackle by Ji'Ayir Brown),3.97,4.52,12.0,2024,177
1.0,7:42,2.0,7.0,SFO 11,0.0,6.0,"Jordan Love pass complete short right to Tucker Kraft for 11 yards, touchdown",4.52,7.0,12.0,2024,177
1.0,7:35,,,SFO 15,0.0,7.0,Brandon McManus kicks extra point good,0.0,0.0,12.0,2024,177
1.0,7:35,,,GNB 35,0.0,7.0,"Brandon McManus kicks off 62 yards, returned by Jordan Mason for 29 yards (tackle by Eric Wilson)",0.0,1.07,12.0,2024,177
1.0,7:30,1.0,10.0,SFO 32,0.0,7.0,Brandon Allen pass complete short middle to George Kittle for 9 yards (tackle by Isaiah McDuffie and Kenny Clark),1.07,1.74,12.0,2024,177
1.0,6:50,2.0,1.0,SFO 41,0.0,7.0,"Penalty on Dominick Puni: False Start, 5 yards (accepted) (no play)",1.74,1.07,12.0,2024,177
1.0,6:36,2.0,6.0,SFO 36,0.0,7.0,Christian McCaffrey left end for 1 yard (tackle by Kingsley Enagbare and Quay Walker),1.07,0.5,12.0,2024,177
1.0,5:54,3.0,5.0,SFO 37,0.0,7.0,"Brandon Allen sacked by Rashan Gary for -2 yards. Brandon Allen fumbles (forced by Rashan Gary), recovered by Brandon Allen at SF-35 (tackle by Quay Walker)",0.5,-1.04,12.0,2024,177
1.0,5:02,4.0,7.0,SFO 35,0.0,7.0,"Pat O'Donnell punts 46 yards, fair catch by Jayden Reed at GB-19",-1.04,-0.15,12.0,2024,177
1.0,4:55,1.0,10.0,GNB 19,0.0,7.0,Jordan Love pass complete short left to John FitzPatrick for 2 yards (tackle by Dee Winters),0.15,-0.06,12.0,2024,177
1.0,4:20,2.0,8.0,GNB 21,0.0,7.0,Josh Jacobs left tackle for 7 yards (tackle by De'Vondre Campbell),-0.06,0.1,12.0,2024,177
