Quarter,Time,Down,ToGo,Location,BAL,LAC,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Ravens won the coin toss and deferred, Chargers to receive the opening kickoff.",,,12.0,2024,179
1.0,15:00,,,BAL 35,0.0,0.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,179
1.0,15:00,1.0,10.0,LAC 30,0.0,0.0,J.K. Dobbins up the middle for no gain (tackle by Malik Harrison and Travis Jones),0.94,0.39,12.0,2024,179
1.0,14:18,2.0,10.0,LAC 30,0.0,0.0,Justin Herbert pass complete short left to Ladd McConkey for 17 yards (tackle by Marlon Humphrey),0.39,2.06,12.0,2024,179
1.0,13:41,1.0,10.0,LAC 47,0.0,0.0,Gus Edwards up the middle for 8 yards (tackle by Trenton Simpson),2.06,2.6,12.0,2024,179
1.0,13:05,2.0,2.0,BAL 45,0.0,0.0,Gus Edwards up the middle for 4 yards (tackle by Ar'Darius Washington),2.6,2.85,12.0,2024,179
1.0,12:29,1.0,10.0,BAL 41,0.0,0.0,Justin Herbert scrambles left end for 4 yards (tackle by Trenton Simpson),2.85,2.85,12.0,2024,179
1.0,11:50,2.0,6.0,BAL 37,0.0,0.0,J.K. Dobbins right tackle for 12 yards (tackle by Marlon Humphrey),2.85,3.91,12.0,2024,179
1.0,11:09,1.0,10.0,BAL 25,0.0,0.0,Justin Herbert pass complete short middle to Will Dissly for 18 yards (tackle by Ar'Darius Washington),3.91,5.6,12.0,2024,179
1.0,10:36,1.0,7.0,BAL 7,0.0,0.0,J.K. Dobbins up the middle for 2 yards (tackle by Malik Harrison and Kyle Van Noy),5.6,5.15,12.0,2024,179
1.0,9:52,2.0,5.0,BAL 5,0.0,6.0,"Justin Herbert scrambles up the middle for 5 yards, touchdown",5.15,7.0,12.0,2024,179
1.0,9:45,,,BAL 15,0.0,7.0,Cameron Dicker kicks extra point good,0.0,0.0,12.0,2024,179
1.0,9:45,,,LAC 35,0.0,7.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,179
1.0,9:45,1.0,10.0,BAL 30,0.0,7.0,Lamar Jackson left end for 5 yards (tackle by Khalil Mack),0.94,1.07,12.0,2024,179
1.0,9:13,2.0,5.0,BAL 35,0.0,7.0,Derrick Henry up the middle for 5 yards (tackle by Otito Ogbonnia),1.07,1.6,12.0,2024,179
1.0,8:37,1.0,10.0,BAL 40,0.0,7.0,"Lamar Jackson pass complete deep right to Rashod Bateman for no gain (tackle by Alohi Gilman). Penalty on Patrick Ricard: Personal Foul / Offense, 15 yards (accepted) (no play)",1.6,0.61,12.0,2024,179
1.0,8:04,1.0,25.0,BAL 25,0.0,7.0,Derrick Henry left end for 3 yards (tackle by Khalil Mack),0.61,-0.57,12.0,2024,179
1.0,7:27,2.0,22.0,BAL 28,0.0,7.0,Lamar Jackson pass complete short left to Mark Andrews for 2 yards (tackle by Poona Ford),-0.57,-0.96,12.0,2024,179
1.0,6:46,3.0,20.0,BAL 30,0.0,7.0,Lamar Jackson pass incomplete deep right,-0.96,-1.37,12.0,2024,179
1.0,6:37,4.0,20.0,BAL 30,0.0,7.0,Jordan Stout punts 57 yards,-1.37,0.32,12.0,2024,179
1.0,6:31,1.0,10.0,LAC 13,0.0,7.0,Justin Herbert sacked by Odafe Oweh for -3 yards,-0.32,-1.0,12.0,2024,179
1.0,5:46,2.0,13.0,LAC 10,0.0,7.0,Justin Herbert pass incomplete short left intended for J.K. Dobbins,-1.0,-1.77,12.0,2024,179
1.0,5:42,3.0,13.0,LAC 10,0.0,7.0,Justin Herbert pass complete deep middle to Ladd McConkey for 16 yards (tackle by Nate Wiggins),-1.77,0.67,12.0,2024,179
1.0,5:03,1.0,10.0,LAC 26,0.0,7.0,"J.K. Dobbins right end for no gain (tackle by Marlon Humphrey and Chris Board). Penalty on Zion Johnson: Offensive Holding, 10 yards (accepted) (no play)",0.67,-0.3,12.0,2024,179
1.0,4:40,1.0,20.0,LAC 16,0.0,7.0,Justin Herbert pass complete short right to J.K. Dobbins for 11 yards (tackle by Ar'Darius Washington),-0.3,0.27,12.0,2024,179
1.0,3:55,2.0,9.0,LAC 27,0.0,7.0,J.K. Dobbins left end for 4 yards (tackle by Chris Board and Malik Harrison),0.27,0.1,12.0,2024,179
