Quarter,Time,Tm,Detail,SFO,GNB,week,year,game_id
1.0,7:35,Packers,Tucker Kraft 11 yard pass from Jordan Love (Brandon McManus kick),0,7,12.0,2024,177
,0:11,Packers,Brandon McManus 51 yard field goal,0,10,12.0,2024,177
2.0,6:33,Packers,Josh Jacobs 1 yard rush (Brandon McManus kick),0,17,12.0,2024,177
,1:02,49ers,George Kittle 3 yard pass from Brandon Allen (Jake Moody kick),7,17,12.0,2024,177
3.0,4:28,Packers,Josh Jacobs 1 yard rush (Brandon McManus kick),7,24,12.0,2024,177
,2:12,49ers,Jake Moody 48 yard field goal,10,24,12.0,2024,177
4.0,10:59,Packers,Josh Jacobs 1 yard rush (Brandon McManus kick),10,31,12.0,2024,177
,4:14,Packers,Malik Heath 3 yard pass from Jordan Love (Brandon McManus kick),10,38,12.0,2024,177
