Unnamed: 0,TAM,NYG,week,year,game_id
First Downs,24,17,12.0,2024,172
Rush-Yds-TDs,32-157-4,20-76-1,12.0,2024,172
Cmp-Att-Yd-TD-INT,24-30-294-0-0,22-32-192-0-0,12.0,2024,172
Sacked-Yards,0-0,4-23,12.0,2024,172
Net Pass Yards,294,169,12.0,2024,172
Total Yards,451,245,12.0,2024,172
Fumbles-Lost,4-1,2-1,12.0,2024,172
Turnovers,1,1,12.0,2024,172
Penalties-Yards,4-29,4-42,12.0,2024,172
Third Down Conv.,6-11,5-11,12.0,2024,172
Fourth Down Conv.,1-2,0-2,12.0,2024,172
Time of Possession,33:59,26:01,12.0,2024,172
