Quarter,Time,Down,ToGo,Location,TEN,HOU,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Titans won the coin toss and deferred, Texans to receive the opening kickoff.",,,12.0,2024,174
1.0,15:00,,,TEN 35,0.0,0.0,"Nick Folk kicks off 64 yards, returned by Dameon Pierce for 80 yards (tackle by Justin Hardee)",0.0,4.31,12.0,2024,174
1.0,14:47,1.0,10.0,TEN 19,0.0,6.0,"C.J. Stroud pass complete deep right to Cade Stover for 19 yards, touchdown",4.31,7.0,12.0,2024,174
1.0,14:42,,,TEN 15,0.0,7.0,Ka'imi Fairbairn kicks extra point good,0.0,0.0,12.0,2024,174
1.0,14:42,,,HOU 35,0.0,7.0,"Ka'imi Fairbairn kicks off 65 yards, returned by Julius Chestnut for 39 yards (tackle by Eric Murray)",0.0,1.53,12.0,2024,174
1.0,14:36,1.0,10.0,TEN 39,0.0,7.0,Will Levis pass complete short left to Tyler Boyd for 19 yards (tackle by Calen Bullock),1.53,2.79,12.0,2024,174
1.0,14:00,1.0,10.0,HOU 42,0.0,7.0,"Tony Pollard up the middle for 2 yards (tackle by Azeez Al-Shaair and Tim Settle). Penalty on Mario Edwards: Defensive Holding, 5 yards (accepted)",2.79,3.25,12.0,2024,174
1.0,13:38,1.0,10.0,HOU 35,0.0,7.0,Tony Pollard up the middle for 6 yards (tackle by Jimmie Ward),3.25,3.51,12.0,2024,174
1.0,12:59,2.0,4.0,HOU 29,0.0,7.0,"Penalty on Tony Pollard: False Start, 5 yards (accepted) (no play)",3.51,2.84,12.0,2024,174
1.0,12:42,2.0,9.0,HOU 34,0.0,7.0,Will Levis pass complete short left to Tyler Boyd for 3 yards (tackle by Azeez Al-Shaair),2.84,2.54,12.0,2024,174
1.0,11:59,3.0,6.0,HOU 31,0.0,7.0,Will Levis sacked by Will Anderson for -2 yards,2.54,1.15,12.0,2024,174
1.0,11:19,4.0,8.0,HOU 33,3.0,7.0,Nick Folk 51 yard field goal good,1.15,3.0,12.0,2024,174
1.0,11:15,,,TEN 35,3.0,7.0,"Nick Folk kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,174
1.0,11:15,1.0,10.0,HOU 30,3.0,7.0,Joe Mixon right tackle for 2 yards (tackle by Roger McCreary),0.94,0.66,12.0,2024,174
1.0,10:50,2.0,8.0,HOU 32,3.0,7.0,Joe Mixon left tackle for 3 yards (tackle by Mike Brown and Daryl Worley),0.66,0.37,12.0,2024,174
1.0,10:10,3.0,5.0,HOU 35,3.0,7.0,C.J. Stroud pass complete short right to John Metchie for 6 yards (tackle by Darrell Baker),0.37,1.66,12.0,2024,174
1.0,9:25,1.0,10.0,HOU 41,3.0,7.0,C.J. Stroud pass complete short middle to Nico Collins for 4 yards (tackle by Mike Brown),1.66,1.66,12.0,2024,174
1.0,8:49,2.0,6.0,HOU 45,3.0,7.0,C.J. Stroud pass complete short right to Joe Mixon for -3 yards (tackle by Roger McCreary),1.66,0.56,12.0,2024,174
1.0,8:07,3.0,9.0,HOU 42,3.0,7.0,"C.J. Stroud pass complete short left to Xavier Hutchinson for 8 yards (tackle by Roger McCreary) TEN challenged the pass completion ruling, and the original play was overturned. C.J. Stroud pass incomplete short left intended for Xavier Hutchinson",0.56,-0.59,12.0,2024,174
1.0,8:03,4.0,9.0,HOU 42,3.0,7.0,"Tommy Townsend punts 47 yards, fair catch by Jha'Quan Jackson at TEN-11",-0.59,0.37,12.0,2024,174
1.0,7:56,1.0,10.0,TEN 11,3.0,7.0,Will Levis pass complete short left to Calvin Ridley for 6 yards (tackle by Derek Stingley),-0.37,-0.16,12.0,2024,174
1.0,7:19,2.0,4.0,TEN 17,3.0,7.0,Will Levis pass complete short left to Calvin Ridley for 9 yards (tackle by Kamari Lassiter),-0.16,0.67,12.0,2024,174
1.0,6:39,1.0,10.0,TEN 26,3.0,7.0,Will Levis pass complete short right to Tony Pollard for 9 yards (tackle by Denico Autry),0.67,1.35,12.0,2024,174
1.0,6:02,2.0,1.0,TEN 35,3.0,7.0,Will Levis up the middle for 2 yards (tackle by Tim Settle),1.35,1.4,12.0,2024,174
1.0,5:25,1.0,10.0,TEN 37,3.0,7.0,Tony Pollard right end for 10 yards (tackle by Devin White),1.4,2.06,12.0,2024,174
1.0,4:43,1.0,10.0,TEN 47,3.0,7.0,Tony Pollard right guard for 4 yards (tackle by Danielle Hunter),2.06,2.06,12.0,2024,174
1.0,4:04,2.0,6.0,HOU 49,3.0,7.0,Julius Chestnut left guard for 3 yards (tackle by Tommy Togiai),2.06,1.75,12.0,2024,174
1.0,3:25,3.0,3.0,HOU 46,3.0,7.0,Will Levis pass complete short left to Julius Chestnut for 2 yards (tackle by Derek Stingley and Henry To'oTo'o),1.75,0.33,12.0,2024,174
1.0,2:45,4.0,1.0,HOU 44,3.0,7.0,Will Levis right end for 6 yards (tackle by Calen Bullock),0.33,3.05,12.0,2024,174
1.0,2:03,1.0,10.0,HOU 38,9.0,7.0,"Will Levis pass complete deep right to Nick Westbrook-Ikhine for 38 yards, touchdown",3.05,7.0,12.0,2024,174
1.0,1:57,,,HOU 15,10.0,7.0,Nick Folk kicks extra point good,0.0,0.0,12.0,2024,174
1.0,1:57,,,TEN 35,10.0,7.0,"Nick Folk kicks off 67 yards, returned by Dameon Pierce for 30 yards (tackle by Cedric Gray). Penalty on M.J. Stewart: Offensive Holding, 10 yards (accepted)",0.0,0.04,12.0,2024,174
1.0,1:49,1.0,10.0,HOU 18,10.0,7.0,C.J. Stroud pass complete short right to Tank Dell for 16 yards (tackle by Kenneth Murray),0.04,1.2,12.0,2024,174
1.0,1:27,1.0,10.0,HOU 34,10.0,7.0,C.J. Stroud pass incomplete short right intended for Tank Dell (defended by Jarvis Brownlee),1.2,0.66,12.0,2024,174
1.0,1:23,2.0,10.0,HOU 34,10.0,7.0,C.J. Stroud pass complete short left to Joe Mixon for -5 yards (tackle by Kenneth Murray),0.66,-0.69,12.0,2024,174
1.0,0:42,3.0,15.0,HOU 29,10.0,7.0,C.J. Stroud scrambles up the middle for 7 yards (tackle by Roger McCreary),-0.69,-0.98,12.0,2024,174
2.0,15:00,4.0,8.0,HOU 36,10.0,7.0,"Tommy Townsend punts 50 yards, returned by Jha'Quan Jackson for no gain (tackle by Cade Stover). Penalty on Julius Wood: Defensive Illegal Blindside Block, 5 yards (accepted)",-0.98,0.38,12.0,2024,174
2.0,14:47,1.0,10.0,TEN 5,10.0,7.0,Tony Pollard left guard for 17 yards (tackle by Calen Bullock),-0.38,0.41,12.0,2024,174
2.0,14:08,1.0,10.0,TEN 22,10.0,7.0,Will Levis sacked by Danielle Hunter for -6 yards,0.41,-1.08,12.0,2024,174
2.0,13:22,2.0,16.0,TEN 16,10.0,7.0,"Penalty on Will Levis: Delay of Game, 5 yards (accepted) (no play)",-1.08,-1.58,12.0,2024,174
2.0,13:06,2.0,21.0,TEN 11,10.0,7.0,Will Levis pass complete short right to Nick Westbrook-Ikhine for 10 yards,-1.58,-0.96,12.0,2024,174
2.0,12:32,3.0,11.0,TEN 21,10.0,7.0,Will Levis pass complete deep right to Calvin Ridley for 63 yards (tackle by Jimmie Ward),-0.96,4.51,12.0,2024,174
2.0,11:47,1.0,10.0,HOU 16,10.0,7.0,Tony Pollard right tackle for 6 yards (tackle by Eric Murray and Tommy Togiai),4.51,4.97,12.0,2024,174
2.0,11:07,2.0,4.0,HOU 10,16.0,7.0,"Tony Pollard right tackle for 10 yards, touchdown",4.97,7.0,12.0,2024,174
2.0,11:03,,,HOU 15,17.0,7.0,Nick Folk kicks extra point good,0.0,0.0,12.0,2024,174
2.0,11:03,,,TEN 35,17.0,7.0,"Nick Folk kicks off 68 yards, returned by Dameon Pierce for 25 yards (tackle by Otis Reese and Luke Gifford)",0.0,0.41,12.0,2024,174
2.0,10:57,1.0,10.0,HOU 22,17.0,7.0,Joe Mixon left tackle for 8 yards (tackle by Kenneth Murray),0.41,0.95,12.0,2024,174
2.0,10:36,2.0,2.0,HOU 30,17.0,7.0,Joe Mixon left guard for 1 yard (tackle by Daryl Worley),0.95,0.37,12.0,2024,174
2.0,10:15,3.0,1.0,HOU 31,17.0,7.0,C.J. Stroud pass complete short middle to Robert Woods for 8 yards (tackle by Harold Landry),0.37,1.53,12.0,2024,174
2.0,9:37,1.0,10.0,HOU 39,17.0,7.0,C.J. Stroud pass complete deep left to Tank Dell for 39 yards (tackle by Mike Brown),1.53,4.11,12.0,2024,174
2.0,8:47,1.0,10.0,TEN 22,17.0,7.0,Joe Mixon right tackle for -1 yards (tackle by Kenneth Murray),4.11,3.43,12.0,2024,174
2.0,8:07,2.0,11.0,TEN 23,17.0,7.0,C.J. Stroud pass incomplete short right intended for Joe Mixon,3.43,2.74,12.0,2024,174
2.0,8:03,3.0,11.0,TEN 23,17.0,7.0,"C.J. Stroud scrambles right end for 6 yards (tackle by Jarvis Brownlee). Penalty on Jerome Baker: Illegal Contact, 5 yards (accepted)",2.74,4.78,12.0,2024,174
2.0,7:42,1.0,10.0,TEN 12,17.0,7.0,C.J. Stroud scrambles right end for 5 yards (tackle by Harold Landry),4.78,5.02,12.0,2024,174
2.0,7:02,2.0,5.0,TEN 7,17.0,7.0,Joe Mixon left tackle for 2 yards (tackle by Sebastian Joseph-Day and T'Vondre Sweat),5.02,4.61,12.0,2024,174
2.0,6:22,3.0,3.0,TEN 5,17.0,13.0,"C.J. Stroud pass complete short middle to Nico Collins for 5 yards, touchdown",4.61,7.0,12.0,2024,174
2.0,6:17,,,TEN 15,17.0,14.0,Ka'imi Fairbairn kicks extra point good,0.0,0.0,12.0,2024,174
2.0,6:17,,,HOU 35,17.0,14.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,174
2.0,6:17,1.0,10.0,TEN 30,17.0,14.0,Will Levis pass complete short left to Tyler Boyd for 7 yards (tackle by Kamari Lassiter and Calen Bullock),0.94,1.34,12.0,2024,174
2.0,5:39,2.0,3.0,TEN 37,17.0,14.0,"Tony Pollard left end for 4 yards (tackle by Kamari Lassiter). Penalty on Azeez Al-Shaair: Unnecessary Roughness / Defense, 15 yards (accepted)",1.34,2.65,12.0,2024,174
2.0,5:18,1.0,10.0,HOU 44,17.0,14.0,Will Levis sacked by Derek Barnett for -2 yards,2.65,1.91,12.0,2024,174
2.0,4:38,2.0,11.0,HOU 46,17.0,14.0,Will Levis scrambles up the middle for 3 yards (tackle by Henry To'oTo'o),1.91,1.62,12.0,2024,174
2.0,3:53,3.0,8.0,HOU 43,17.0,14.0,"Will Levis pass complete short middle to Tyler Boyd for 11 yards (tackle by Jalen Pitre). Penalty on Danielle Hunter: Defensive Offside, 5 yards (declined)",1.62,3.45,12.0,2024,174
2.0,3:29,1.0,10.0,HOU 32,17.0,14.0,"Will Levis aborted snap, recovered by Mario Edwards at HOU-35",3.45,-1.27,12.0,2024,174
