#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,14:42,TEN 39,6,3:27,28,Field Goal,0,Titans,12.0,2024,174
2,1,7:56,TEN 11,10,5:59,89,Touchdown,0,Titans,12.0,2024,174
3,2,14:47,TEN 5,6,3:44,95,Touchdown,0,Titans,12.0,2024,174
4,2,6:17,TEN 30,6,2:53,35,Fumble,0,Titans,12.0,2024,174
5,2,1:47,TEN 30,4,1:02,26,Punt,0,Titans,12.0,2024,174
6,2,0:37,HOU 20,4,0:37,-18,Field Goal,0,Titans,12.0,2024,174
7,3,15:00,TEN 27,11,5:52,41,Field Goal,0,Titans,12.0,2024,174
8,3,6:59,TEN 16,6,4:40,7,Punt,0,Titans,12.0,2024,174
9,3,1:30,HOU 39,3,1:26,-1,Interception,0,Titans,12.0,2024,174
10,3,0:04,TEN 27,4,2:06,-7,Punt,0,Titans,12.0,2024,174
11,4,9:46,TEN 30,1,0:11,70,Touchdown,0,Titans,12.0,2024,174
12,4,6:17,TEN 6,3,0:55,-4,Punt,0,Titans,12.0,2024,174
13,4,1:53,TEN 20,3,0:24,4,Punt,0,Titans,12.0,2024,174
14,4,1:13,HOU 29,2,1:13,-2,End of Game,0,Titans,12.0,2024,174
