Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Unnamed: 7_level_0,Unnamed: 8_level_0,Rushing,Rushing,Rushing,Fantasy,Fantasy,Fantasy,Fantasy per Game,Fantasy per Game,Fantasy per Game
Tm,G,Cmp,Att,Yds,TD,Int,2PP,Sk,Att,Yds,TD,FantPt,DKPt,FDPt,FantPt,DKPt,FDPt
Detroit Lions,17,353,560,4446,26,12,2.0,38,100,700,7,371.84,408.8,383.8,21.9,24.0,22.6
Miami Dolphins,17,415,623,4259,27,8,2.0,40,88,525,3,333.06,366.1,341.6,19.6,21.5,20.1
Kansas City Chiefs,17,407,617,4138,33,11,1.0,55,94,444,4,331.72,362.7,343.2,19.5,21.3,20.2
Tennessee Titans,17,438,669,4931,29,14,2.0,39,67,217,3,323.34,366.3,337.8,19.0,21.5,19.9
Las Vegas Raiders,17,398,589,4319,25,6,2.0,27,60,269,4,313.96,331.8,320.3,18.5,19.5,18.8
Chicago Bears,17,322,479,3817,22,14,3.0,20,102,379,9,308.88,333.6,322.6,18.2,19.6,19.0
Minnesota Vikings,17,408,616,4756,23,15,2.0,38,62,342,4,308.44,350.4,323.4,18.1,20.6,19.0
Indianapolis Colts,17,365,535,3836,25,10,4.0,44,80,351,6,304.54,321.5,314.5,17.9,18.9,18.5
Jacksonville Jaguars,17,385,601,4258,25,14,3.0,35,92,469,2,297.32,331.2,311.2,17.5,19.5,18.3
Arizona Cardinals,17,412,591,4133,29,11,1.0,36,75,271,3,296.42,318.4,307.4,17.4,18.7,18.1
Carolina Panthers,17,383,580,4098,25,10,1.0,35,78,241,5,296.12,317.0,306.0,17.4,18.6,18.0
Atlanta Falcons,17,370,559,4010,25,10,2.0,21,64,221,3,286.5,308.5,296.5,16.9,18.1,17.4
New England Patriots,17,363,595,4018,28,19,1.0,54,72,348,2,277.52,308.5,296.5,16.3,18.1,17.4
Washington Commanders,17,308,514,3531,26,9,,43,93,381,2,273.46,287.3,282.3,16.1,16.9,16.6
Tampa Bay Buccaneers,17,362,568,3767,29,10,2.0,45,62,277,1,272.38,291.4,282.4,16.0,17.1,16.6
Pittsburgh Steelers,17,331,540,4064,28,20,1.0,40,77,298,0,268.56,300.6,289.1,15.8,17.7,17.0
New York Giants,17,349,567,3909,21,6,,41,64,351,2,265.56,282.5,271.5,15.6,16.6,16.0
Seattle Seahawks,17,341,544,3863,22,13,1.0,45,79,324,3,260.12,288.1,273.6,15.3,16.9,16.1
Baltimore Ravens,17,393,592,4239,20,14,1.0,47,60,233,3,256.86,289.9,270.9,15.1,17.1,15.9
Los Angeles Chargers,17,310,505,3693,24,14,1.0,39,57,236,3,255.42,274.3,269.3,15.0,16.1,15.8
New Orleans Saints,17,321,535,3400,17,7,1.0,48,77,409,4,252.9,264.9,259.9,14.9,15.6,15.3
Dallas Cowboys,17,344,548,3755,23,16,1.0,54,65,327,3,242.9,277.9,258.9,14.3,16.3,15.2
Los Angeles Rams,17,373,552,4044,22,16,1.0,37,51,203,1,242.06,269.1,258.1,14.2,15.8,15.2
New York Jets,17,347,556,3526,15,12,,45,81,326,6,239.94,254.6,251.6,14.1,15.0,14.8
Green Bay Packers,17,312,476,3549,21,17,,34,70,383,2,238.26,266.3,255.3,14.0,15.7,15.0
Denver Broncos,17,392,604,3819,20,14,1.0,36,60,193,2,237.26,260.7,249.2,14.0,15.3,14.7
Philadelphia Eagles,17,346,552,3519,21,17,1.0,67,69,448,2,233.56,261.6,250.6,13.7,15.4,14.7
San Francisco 49ers,17,389,591,4096,20,19,,44,62,213,2,231.44,260.1,250.1,13.6,15.3,14.7
Cleveland Browns,17,314,518,3530,20,11,1.0,32,62,134,3,224.0,246.0,235.5,13.2,14.5,13.9
Houston Texans,17,336,522,3775,15,16,1.0,39,85,296,2,218.6,246.6,234.6,12.9,14.5,13.8
Cincinnati Bengals,16,327,554,3812,17,12,,30,45,194,2,215.88,236.9,227.9,13.5,14.8,14.2
Buffalo Bills,16,362,570,3721,21,17,,40,57,230,0,213.84,246.8,230.8,13.4,15.4,14.4
