Unnamed: 0,TEN,MIA,week,year,game_id
First Downs,22,20,14.0,2023,208
Rush-Yds-TDs,29-83-2,31-158-2,14.0,2023,208
Cmp-Att-Yd-TD-INT,23-38-327-1-1,23-33-240-0-0,14.0,2023,208
Sacked-Yards,1-7,5-32,14.0,2023,208
Net Pass Yards,320,208,14.0,2023,208
Total Yards,403,366,14.0,2023,208
Fumbles-Lost,3-2,2-1,14.0,2023,208
Turnovers,3,1,14.0,2023,208
Penalties-Yards,9-59,7-61,14.0,2023,208
Third Down Conv.,5-13,4-13,14.0,2023,208
Fourth Down Conv.,0-0,0-1,14.0,2023,208
Time of Possession,27:36,32:24,14.0,2023,208
