Quarter,Time,Down,ToGo,Location,IND,CIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bengals won the coin toss and deferred, Colts to receive the opening kickoff.",,,14.0,2023,198
1.0,15:00,,,CIN 35,0.0,0.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,198
1.0,15:00,1.0,10.0,IND 25,0.0,0.0,Gardner Minshew sacked by Trey Hendrickson for -7 yards,0.61,-0.98,14.0,2023,198
1.0,14:18,2.0,17.0,IND 18,0.0,0.0,Gardner Minshew pass complete short right to Josh Downs for 9 yards (tackle by Logan Wilson),-0.98,-0.36,14.0,2023,198
1.0,13:35,3.0,8.0,IND 27,0.0,0.0,Gardner Minshew pass incomplete short right intended for Andrew Ogletree,-0.36,-1.57,14.0,2023,198
1.0,13:29,4.0,8.0,IND 27,0.0,0.0,"Rigoberto Sanchez punts 55 yards, returned by Charlie Jones for 1 yard (tackle by Ameer Speed)",-1.57,-0.15,14.0,2023,198
1.0,13:19,1.0,10.0,CIN 19,0.0,0.0,Joe Mixon right guard for 4 yards (tackle by DeForest Buckner and Ronnie Harrison),0.15,0.21,14.0,2023,198
1.0,12:45,2.0,6.0,CIN 23,0.0,0.0,Jake Browning pass complete short right to Joe Mixon for 4 yards (tackle by Kenny Moore),0.21,-0.03,14.0,2023,198
1.0,12:04,3.0,2.0,CIN 27,0.0,0.0,Joe Mixon up the middle for 1 yard (tackle by DeForest Buckner and Zaire Franklin),-0.03,-1.5,14.0,2023,198
1.0,11:32,4.0,1.0,CIN 28,0.0,0.0,Brad Robbins punts 52 yards downed by Akeem Davis-Gaither,-1.5,-0.28,14.0,2023,198
1.0,11:18,1.0,10.0,IND 20,0.0,0.0,Gardner Minshew pass complete short right to Michael Pittman for 5 yards (tackle by Chidobe Awuzie),0.28,0.41,14.0,2023,198
1.0,10:39,2.0,5.0,IND 25,0.0,0.0,Gardner Minshew pass complete short middle to Michael Pittman for 12 yards (tackle by Jordan Battle),0.41,1.4,14.0,2023,198
1.0,10:13,1.0,10.0,IND 37,0.0,0.0,Zack Moss right end for -3 yards (tackle by Chidobe Awuzie and Myles Murphy),1.4,0.45,14.0,2023,198
1.0,9:36,2.0,13.0,IND 34,0.0,0.0,Gardner Minshew pass complete short middle to Josh Downs for 11 yards (tackle by Daxton Hill),0.45,1.22,14.0,2023,198
1.0,8:54,3.0,2.0,IND 45,0.0,0.0,Gardner Minshew pass incomplete short left intended for Kylen Granson,1.22,-0.39,14.0,2023,198
