Quarter,Time,Tm,Detail,NWE,PIT,week,year,game_id
1.0,11:12,Patriots,Ezekiel Elliott 11 yard pass from Bailey Zappe (Chad Ryland kick),7,0,14.0,2023,194
,6:39,Steelers,Chris Boswell 56 yard field goal,7,3,14.0,2023,194
2.0,14:14,Patriots,Hunter Henry 8 yard pass from Bailey Zappe (Chad Ryland kick),14,3,14.0,2023,194
,7:38,Patriots,Hunter Henry 24 yard pass from Bailey Zappe (Chad Ryland kick),21,3,14.0,2023,194
,2:50,Steelers,Diontae Johnson 25 yard pass from Mitchell Trubisky (Chris Boswell kick),21,10,14.0,2023,194
4.0,11:44,Steelers,Mitchell Trubisky 1 yard rush (Pat Freiermuth pass from Mitchell Trubisky),21,18,14.0,2023,194
