Unnamed: 0,CAR,NOR,week,year,game_id
First Downs,16,14,14.0,2023,196
Rush-Yds-TDs,39-204-0,25-97-1,14.0,2023,196
Cmp-Att-Yd-TD-INT,13-36-137-0-0,18-26-119-2-1,14.0,2023,196
Sacked-Yards,4-38,1-9,14.0,2023,196
Net Pass Yards,99,110,14.0,2023,196
Total Yards,303,207,14.0,2023,196
Fumbles-Lost,3-2,0-0,14.0,2023,196
Turnovers,2,1,14.0,2023,196
Penalties-Yards,4-27,3-30,14.0,2023,196
Third Down Conv.,8-20,3-10,14.0,2023,196
Fourth Down Conv.,1-7,0-0,14.0,2023,196
Time of Possession,34:50,25:10,14.0,2023,196
