Quarter,Time,Tm,Detail,PHI,DAL,week,year,game_id
1.0,10:00,Cowboys,CeeDee Lamb 13 yard pass from Dak Prescott (Brandon Aubrey kick),0,7,14.0,2023,206
,0:50,Cowboys,Brandon Aubrey 60 yard field goal,0,10,14.0,2023,206
2.0,12:34,Eagles,Jake Elliott 52 yard field goal,3,10,14.0,2023,206
,5:47,Cowboys,Rico Dowdle 1 yard rush (Brandon Aubrey kick),3,17,14.0,2023,206
,1:48,Eagles,Jake Elliott 44 yard field goal,6,17,14.0,2023,206
,0:20,Cowboys,Michael Gallup 1 yard pass from Dak Prescott (Brandon Aubrey kick),6,24,14.0,2023,206
3.0,10:41,Eagles,Jalen Carter 42 yard fumble return (Jake Elliott kick),13,24,14.0,2023,206
,4:49,Cowboys,Brandon Aubrey 59 yard field goal,13,27,14.0,2023,206
4.0,9:40,Cowboys,Brandon Aubrey 45 yard field goal,13,30,14.0,2023,206
,1:08,Cowboys,Brandon Aubrey 50 yard field goal,13,33,14.0,2023,206
