Quarter,Time,Tm,Detail,GNB,NYG,week,year,game_id
1.0,1:01,Packers,Jayden Reed 16 yard rush (Anders Carlson kick),7,0,14.0,2023,207
2.0,11:55,Giants,Saquon Barkley 5 yard rush (Randy Bullock kick),7,7,14.0,2023,207
,0:13,Packers,Anders Carlson 36 yard field goal,10,7,14.0,2023,207
3.0,11:22,Giants,Saquon Barkley 1 yard rush (Randy Bullock kick),10,14,14.0,2023,207
,7:31,Packers,Anders Carlson 32 yard field goal,13,14,14.0,2023,207
,1:28,Giants,Isaiah Hodgins 8 yard pass from Tommy DeVito (Randy Bullock kick),13,21,14.0,2023,207
4.0,5:30,Packers,Anders Carlson 48 yard field goal,16,21,14.0,2023,207
,1:33,Packers,Malik Heath 6 yard pass from Jordan Love (run failed),22,21,14.0,2023,207
,0:00,Giants,Randy Bullock 37 yard field goal,22,24,14.0,2023,207
