Unnamed: 0,HOU,NYJ,week,year,game_id
First Downs,10,20,14.0,2023,200
Rush-Yds-TDs,19-81-1,26-79-1,14.0,2023,200
Cmp-Att-Yd-TD-INT,11-28-95-0-0,27-36-301-2-0,14.0,2023,200
Sacked-Yards,5-41,4-33,14.0,2023,200
Net Pass Yards,54,268,14.0,2023,200
Total Yards,135,347,14.0,2023,200
Fumbles-Lost,2-0,1-1,14.0,2023,200
Turnovers,0,1,14.0,2023,200
Penalties-Yards,4-35,8-52,14.0,2023,200
Third Down Conv.,1-12,6-15,14.0,2023,200
Fourth Down Conv.,0-3,1-1,14.0,2023,200
Time of Possession,22:55,37:05,14.0,2023,200
