Unnamed: 0,TAM,ATL,week,year,game_id
First Downs,16,23,14.0,2023,195
Rush-Yds-TDs,37-148-1,26-96-2,14.0,2023,195
Cmp-Att-Yd-TD-INT,14-29-144-2-0,26-40-347-1-1,14.0,2023,195
Sacked-Yards,1-2,3-9,14.0,2023,195
Net Pass Yards,142,338,14.0,2023,195
Total Yards,290,434,14.0,2023,195
Fumbles-Lost,2-0,4-0,14.0,2023,195
Turnovers,0,1,14.0,2023,195
Penalties-Yards,4-26,2-10,14.0,2023,195
Third Down Conv.,6-16,5-13,14.0,2023,195
Fourth Down Conv.,1-2,1-1,14.0,2023,195
Time of Possession,31:40,28:20,14.0,2023,195
