Quarter,Time,Down,ToGo,Location,NWE,PIT,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Steelers won the coin toss and deferred, Patriots to receive the opening kickoff.",,,14.0,2023,194
1.0,15:00,,,PIT 35,0.0,0.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,194
1.0,15:00,1.0,10.0,NWE 25,0.0,0.0,Ezekiel Elliott right guard for no gain (tackle by Minkah Fitzpatrick),0.61,0.06,14.0,2023,194
1.0,14:42,2.0,10.0,NWE 25,0.0,0.0,Bailey Zappe pass complete short right to Ezekiel Elliott for 12 yards (tackle by Mark Robinson),0.06,1.4,14.0,2023,194
1.0,14:03,1.0,10.0,NWE 37,0.0,0.0,Bailey Zappe pass complete deep left to JuJu Smith-Schuster for 37 yards (tackle by Damontae Kazee),1.4,3.84,14.0,2023,194
1.0,13:27,1.0,10.0,PIT 26,0.0,0.0,Ezekiel Elliott up the middle for 1 yard (tackle by Alex Highsmith),3.84,3.43,14.0,2023,194
1.0,12:48,2.0,9.0,PIT 25,0.0,0.0,Bailey Zappe pass incomplete short left,3.43,2.74,14.0,2023,194
1.0,12:37,3.0,9.0,PIT 25,0.0,0.0,Bailey Zappe scrambles left end for 11 yards (tackle by Damontae Kazee),2.74,4.65,14.0,2023,194
1.0,11:58,1.0,10.0,PIT 14,0.0,0.0,Ezekiel Elliott right guard for 3 yards (tackle by Cameron Heyward),4.65,4.52,14.0,2023,194
1.0,11:18,2.0,7.0,PIT 11,6.0,0.0,"Bailey Zappe pass complete short right to Ezekiel Elliott for 11 yards, touchdown",4.52,7.0,14.0,2023,194
1.0,11:12,,,PIT 15,7.0,0.0,Chad Ryland kicks extra point good,0.0,0.0,14.0,2023,194
1.0,11:12,,,NWE 35,7.0,0.0,"Chad Ryland kicks off 61 yards, returned by Godwin Igwebuike for 27 yards (tackle by Jonathan Jones)",0.0,1.0,14.0,2023,194
1.0,11:06,1.0,10.0,PIT 31,7.0,0.0,Mitchell Trubisky scrambles right tackle for 15 yards (tackle by Jabrill Peppers),1.0,1.99,14.0,2023,194
1.0,10:29,1.0,10.0,PIT 46,7.0,0.0,Najee Harris left guard for 1 yard (tackle by Davon Godchaux and Lawrence Guy),1.99,1.59,14.0,2023,194
1.0,9:45,2.0,9.0,PIT 47,7.0,0.0,Najee Harris up the middle for 3 yards (tackle by Anfernee Jennings and Deatrich Wise),1.59,1.29,14.0,2023,194
1.0,9:04,3.0,6.0,PIT 50,7.0,0.0,"Mitchell Trubisky pass short left is intercepted by J.C. Jackson at NE-38 and returned for no gain (tackle by Diontae Johnson). Penalty on J.C. Jackson: Defensive Pass Interference, 11 yards (accepted) (no play)",1.29,2.98,14.0,2023,194
1.0,8:53,1.0,10.0,NWE 39,7.0,0.0,Mitchell Trubisky pass complete short right to George Pickens for 4 yards (tackle by Jonathan Jones),2.98,2.98,14.0,2023,194
1.0,8:09,2.0,6.0,NWE 35,7.0,0.0,Jaylen Warren right end for -2 yards (tackle by Anfernee Jennings),2.98,2.02,14.0,2023,194
1.0,7:26,3.0,8.0,NWE 37,7.0,0.0,Mitchell Trubisky sacked by Mack Wilson for -1 yards,2.02,0.72,14.0,2023,194
1.0,6:44,4.0,9.0,NWE 38,7.0,3.0,Chris Boswell 56 yard field goal good,0.72,3.0,14.0,2023,194
1.0,6:39,,,PIT 35,7.0,3.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,194
1.0,6:39,1.0,10.0,NWE 25,7.0,3.0,Bailey Zappe pass incomplete deep left intended for Tyquan Thornton,0.61,0.06,14.0,2023,194
1.0,6:34,2.0,10.0,NWE 25,7.0,3.0,Ezekiel Elliott up the middle for 3 yards (tackle by Elandon Roberts and Montravius Adams),0.06,-0.23,14.0,2023,194
1.0,5:58,3.0,7.0,NWE 28,7.0,3.0,"Bailey Zappe pass complete short middle to Hunter Henry for no gain (tackle by Trenton Thompson). Penalty on Hunter Henry: Offensive Pass Interference, 10 yards (accepted) (no play)",-0.23,-1.72,14.0,2023,194
1.0,5:40,3.0,17.0,NWE 18,7.0,3.0,Bailey Zappe pass complete short left to Ezekiel Elliott for 9 yards (tackle by Minkah Fitzpatrick and Mykal Walker),-1.72,-1.57,14.0,2023,194
1.0,5:01,4.0,8.0,NWE 27,7.0,3.0,"Bryce Baringer punts 57 yards, returned by Calvin Austin for 5 yards (tackle by Cody Davis)",-1.57,-0.34,14.0,2023,194
1.0,4:49,1.0,10.0,PIT 21,7.0,3.0,Mitchell Trubisky pass incomplete short middle intended for Pat Freiermuth (defended by Kyle Dugger),0.34,-0.2,14.0,2023,194
1.0,4:46,2.0,10.0,PIT 21,7.0,3.0,Najee Harris right guard for 4 yards (tackle by Christian Barmore and Davon Godchaux),-0.2,-0.36,14.0,2023,194
1.0,4:04,3.0,6.0,PIT 25,7.0,3.0,Mitchell Trubisky pass incomplete deep left intended for Allen Robinson,-0.36,-1.7,14.0,2023,194
1.0,3:57,4.0,6.0,PIT 25,7.0,3.0,"Pressley Harvin punts 48 yards, fair catch by Myles Bryant at NE-27",-1.7,-0.74,14.0,2023,194
1.0,3:49,1.0,10.0,NWE 27,7.0,3.0,Bailey Zappe pass complete short right to Tyquan Thornton for 11 yards (tackle by Joey Porter),0.74,1.47,14.0,2023,194
1.0,3:13,1.0,10.0,NWE 38,7.0,3.0,Bailey Zappe pass complete deep middle to JuJu Smith-Schuster for 17 yards (tackle by Joey Porter),1.47,2.59,14.0,2023,194
1.0,2:30,1.0,10.0,PIT 45,7.0,3.0,Bailey Zappe pass incomplete short right,2.59,2.04,14.0,2023,194
1.0,2:23,2.0,10.0,PIT 45,7.0,3.0,Bailey Zappe pass incomplete short left intended for Jalen Reagor,2.04,1.36,14.0,2023,194
1.0,2:20,3.0,10.0,PIT 45,7.0,3.0,Bailey Zappe pass incomplete deep right intended for JuJu Smith-Schuster (defended by Joey Porter),1.36,0.27,14.0,2023,194
1.0,2:14,4.0,10.0,PIT 45,7.0,3.0,"Bryce Baringer punts 35 yards, returned by Calvin Austin for 5 yards (tackle by Matthew Slater and Chris Board)",0.27,0.22,14.0,2023,194
1.0,2:05,1.0,10.0,PIT 15,7.0,3.0,Najee Harris right end for 4 yards (tackle by Kyle Dugger),-0.22,-0.11,14.0,2023,194
1.0,1:24,2.0,6.0,PIT 19,7.0,3.0,Mitchell Trubisky pass complete short left to Jaylen Warren for 8 yards (tackle by Jahlani Tavai),-0.11,0.74,14.0,2023,194
1.0,0:47,1.0,10.0,PIT 27,7.0,3.0,Najee Harris right guard for -1 yards (tackle by Jalen Mills and Lawrence Guy),0.74,0.06,14.0,2023,194
1.0,0:08,2.0,11.0,PIT 26,7.0,3.0,Mitchell Trubisky scrambles left tackle for 1 yard (tackle by Jahlani Tavai),0.06,-0.36,14.0,2023,194
2.0,15:00,3.0,9.0,PIT 28,7.0,3.0,Mitchell Trubisky pass deep middle intended for Pat Freiermuth is intercepted by Jabrill Peppers at PIT-44 and returned for 33 yards (tackle by James Daniels and Broderick Jones),-0.36,-4.84,14.0,2023,194
2.0,14:47,1.0,10.0,PIT 11,7.0,3.0,Ezekiel Elliott right tackle for 3 yards (tackle by Alex Highsmith and Keeanu Benton),4.84,4.7,14.0,2023,194
2.0,14:19,2.0,7.0,PIT 8,13.0,3.0,"Bailey Zappe pass complete short middle to Hunter Henry for 8 yards, touchdown",4.7,7.0,14.0,2023,194
2.0,14:14,,,PIT 15,14.0,3.0,Chad Ryland kicks extra point good,0.0,0.0,14.0,2023,194
2.0,14:14,,,NWE 35,14.0,3.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,194
2.0,14:14,1.0,10.0,PIT 25,14.0,3.0,Najee Harris left tackle for -5 yards (tackle by Anfernee Jennings),0.61,-0.61,14.0,2023,194
2.0,13:38,2.0,15.0,PIT 20,14.0,3.0,Mitchell Trubisky pass complete short middle to Pat Freiermuth for 7 yards (tackle by Mack Wilson),-0.61,-0.36,14.0,2023,194
2.0,12:59,3.0,8.0,PIT 27,14.0,3.0,Mitchell Trubisky pass incomplete short left intended for Diontae Johnson,-0.36,-1.57,14.0,2023,194
2.0,12:53,4.0,8.0,PIT 27,14.0,3.0,"Pressley Harvin punts 45 yards, fair catch by Myles Bryant at NE-28",-1.57,-0.81,14.0,2023,194
2.0,12:45,1.0,10.0,NWE 28,14.0,3.0,Ezekiel Elliott right tackle for -1 yards (tackle by Nick Herbig),0.81,0.13,14.0,2023,194
2.0,12:05,2.0,11.0,NWE 27,14.0,3.0,Bailey Zappe pass incomplete short middle intended for Ezekiel Elliott,0.13,-0.56,14.0,2023,194
2.0,12:00,3.0,11.0,NWE 27,14.0,3.0,Bailey Zappe pass complete short left to Ezekiel Elliott for 7 yards (tackle by Patrick Peterson),-0.56,-1.11,14.0,2023,194
2.0,11:21,4.0,4.0,NWE 34,14.0,3.0,"Bryce Baringer punts 66 yards, touchback.",-1.11,-0.28,14.0,2023,194
2.0,11:13,1.0,10.0,PIT 20,14.0,3.0,Mitchell Trubisky scrambles right end for 3 yards (tackle by Kyle Dugger),0.28,0.14,14.0,2023,194
2.0,10:28,2.0,7.0,PIT 23,14.0,3.0,"Jaylen Warren right end for 2 yards (tackle by Jahlani Tavai and Davon Godchaux). Penalty on Chukwuma Okorafor: Illegal Formation, 5 yards (declined)",0.14,-0.3,14.0,2023,194
