Unnamed: 0,GNB,NYG,week,year,game_id
First Downs,19,18,14.0,2023,207
Rush-Yds-TDs,25-123-1,34-209-2,14.0,2023,207
Cmp-Att-Yd-TD-INT,25-39-218-1-1,17-21-158-1-0,14.0,2023,207
Sacked-Yards,2-15,0-0,14.0,2023,207
Net Pass Yards,203,158,14.0,2023,207
Total Yards,326,367,14.0,2023,207
Fumbles-Lost,3-2,2-2,14.0,2023,207
Turnovers,3,2,14.0,2023,207
Penalties-Yards,4-39,5-47,14.0,2023,207
Third Down Conv.,5-14,3-10,14.0,2023,207
Fourth Down Conv.,1-1,0-1,14.0,2023,207
Time of Possession,31:06,28:54,14.0,2023,207
