Quarter,Time,Down,ToGo,Location,DEN,LAC,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Broncos won the coin toss and deferred, Chargers to receive the opening kickoff.",,,14.0,2023,205
1.0,15:00,,,DEN 35,0.0,0.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,205
1.0,15:00,1.0,10.0,LAC 25,0.0,0.0,Austin Ekeler up the middle for 8 yards (tackle by Baron Browning and Justin Simmons),0.61,1.14,14.0,2023,205
1.0,14:28,2.0,2.0,LAC 33,0.0,0.0,Austin Ekeler left tackle for 4 yards (tackle by D.J. Jones and Alex Singleton),1.14,1.4,14.0,2023,205
1.0,13:53,1.0,10.0,LAC 37,0.0,0.0,Justin Herbert pass incomplete deep right intended for Keenan Allen,1.4,0.86,14.0,2023,205
1.0,13:45,2.0,10.0,LAC 37,0.0,0.0,Joshua Kelley left guard for 3 yards (tackle by Alex Singleton and P.J. Locke),0.86,0.56,14.0,2023,205
1.0,13:04,3.0,7.0,LAC 40,0.0,0.0,Justin Herbert sacked by Alex Singleton for -11 yards,0.56,-1.44,14.0,2023,205
1.0,12:18,4.0,18.0,LAC 29,0.0,0.0,"JK Scott punts 53 yards, fair catch by Marvin Mims at DEN-18. Penalty on Michael Burton: Defensive Holding, 9 yards (accepted)",-1.44,0.38,14.0,2023,205
1.0,12:10,1.0,10.0,DEN 9,0.0,0.0,"Russell Wilson pass complete short right to Marvin Mims for no gain (tackle by Michael Davis) LAC challenged the pass interception ruling, and the original play was overturned. Russell Wilson pass short right intended for Marvin Mims is intercepted by Michael Davis at DEN-13 and returned for no gain (tackle by Marvin Mims)",-0.38,-4.71,14.0,2023,205
1.0,12:07,1.0,10.0,DEN 13,0.0,0.0,Austin Ekeler up the middle for -2 yards (tackle by Nik Bonitto),4.71,3.76,14.0,2023,205
1.0,11:35,2.0,12.0,DEN 15,0.0,0.0,Justin Herbert pass complete short right to Alex Erickson for 9 yards (tackle by Ja'Quan McMillian),3.76,4.56,14.0,2023,205
1.0,10:57,3.0,3.0,DEN 6,0.0,0.0,Justin Herbert pass incomplete short middle intended for Quentin Johnston,4.56,3.01,14.0,2023,205
1.0,10:52,4.0,3.0,DEN 6,0.0,0.0,Justin Herbert pass incomplete short left intended for Gerald Everett,3.01,0.38,14.0,2023,205
1.0,10:47,1.0,10.0,DEN 6,0.0,0.0,Javonte Williams left end for 13 yards (tackle by Michael Davis),-0.38,0.15,14.0,2023,205
1.0,10:07,1.0,10.0,DEN 19,0.0,0.0,Russell Wilson pass complete short middle to Jerry Jeudy for 7 yards (tackle by Alohi Gilman),0.15,0.61,14.0,2023,205
1.0,9:30,2.0,3.0,DEN 26,0.0,0.0,Javonte Williams right tackle for 5 yards (tackle by Derwin James),0.61,1.0,14.0,2023,205
1.0,8:49,1.0,10.0,DEN 31,0.0,0.0,Russell Wilson pass complete short middle to Javonte Williams for 5 yards (tackle by Asante Samuel and Derwin James),1.0,1.14,14.0,2023,205
1.0,8:06,2.0,5.0,DEN 36,0.0,0.0,Russell Wilson pass complete short left to Courtland Sutton for 16 yards (tackle by Alohi Gilman),1.14,2.39,14.0,2023,205
1.0,7:24,1.0,10.0,LAC 48,0.0,0.0,Russell Wilson pass complete short right to Courtland Sutton for no gain (tackle by Asante Samuel),2.39,1.85,14.0,2023,205
1.0,6:42,2.0,10.0,LAC 48,0.0,0.0,Jaleel McLaughlin right guard for 5 yards (tackle by Kenneth Murray),1.85,1.82,14.0,2023,205
1.0,6:05,3.0,5.0,LAC 43,0.0,0.0,Russell Wilson pass incomplete short left intended for Jaleel McLaughlin,1.82,0.4,14.0,2023,205
1.0,6:00,4.0,5.0,LAC 43,0.0,0.0,Riley Dixon punts 34 yards downed by Ben Niemann,0.4,0.38,14.0,2023,205
1.0,5:50,1.0,10.0,LAC 9,0.0,0.0,Joshua Kelley up the middle for 3 yards (tackle by Mike Purcell),-0.38,-0.56,14.0,2023,205
1.0,5:13,2.0,7.0,LAC 12,0.0,0.0,Justin Herbert pass incomplete deep right intended for Alex Erickson,-0.56,-1.07,14.0,2023,205
1.0,5:07,3.0,7.0,LAC 12,0.0,0.0,Justin Herbert pass short middle (defended by Baron Browning) intended for Keenan Allen is intercepted by Jonathon Cooper at LAC-7 and returned for 4 yards (tackle by Rashawn Slater),-1.07,-6.51,14.0,2023,205
1.0,5:00,1.0,3.0,LAC 3,6.0,0.0,"Javonte Williams up the middle for 3 yards, touchdown",6.51,7.0,14.0,2023,205
1.0,4:55,,,LAC 15,7.0,0.0,Wil Lutz kicks extra point good,0.0,0.0,14.0,2023,205
1.0,4:55,,,DEN 35,7.0,0.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,205
1.0,4:55,1.0,10.0,LAC 25,7.0,0.0,Justin Herbert pass complete short middle to Gerald Everett for 12 yards (tackle by P.J. Locke),0.61,1.4,14.0,2023,205
1.0,4:19,1.0,10.0,LAC 37,7.0,0.0,Isaiah Spiller right tackle for 5 yards (tackle by Jonathan Harris and Josey Jewell),1.4,1.53,14.0,2023,205
1.0,3:39,2.0,5.0,LAC 42,7.0,0.0,Justin Herbert sacked by Ja'Quan McMillian for -10 yards,1.53,-0.49,14.0,2023,205
1.0,2:57,3.0,15.0,LAC 32,7.0,0.0,Justin Herbert pass complete short left to Quentin Johnston for 12 yards (tackle by Alex Singleton and P.J. Locke),-0.49,-0.46,14.0,2023,205
1.0,2:37,4.0,3.0,LAC 44,7.0,0.0,"JK Scott punts 42 yards, fair catch by Marvin Mims at DEN-14",-0.46,0.28,14.0,2023,205
1.0,2:30,1.0,10.0,DEN 14,7.0,0.0,Javonte Williams right end for 1 yard (tackle by Michael Davis and Alohi Gilman),-0.28,-0.64,14.0,2023,205
1.0,1:54,2.0,9.0,DEN 15,7.0,0.0,Russell Wilson pass complete short left to Marvin Mims for 8 yards (tackle by Asante Samuel),-0.64,-0.32,14.0,2023,205
1.0,1:10,3.0,1.0,DEN 23,7.0,0.0,Russell Wilson up the middle for 2 yards (tackle by Eric Kendricks),-0.32,0.61,14.0,2023,205
1.0,0:37,1.0,10.0,DEN 25,7.0,0.0,Javonte Williams right end for 3 yards (tackle by Asante Samuel),0.61,0.47,14.0,2023,205
2.0,15:00,2.0,7.0,DEN 28,7.0,0.0,Javonte Williams up the middle for 3 yards (tackle by Austin Johnson),0.47,0.17,14.0,2023,205
2.0,14:30,3.0,4.0,DEN 31,7.0,0.0,Russell Wilson sacked by Kenneth Murray for no gain,0.17,-1.31,14.0,2023,205
2.0,13:48,4.0,4.0,DEN 31,7.0,0.0,"Riley Dixon punts 56 yards, fair catch by Derius Davis at LAC-13",-1.31,0.32,14.0,2023,205
2.0,13:39,1.0,10.0,LAC 13,7.0,0.0,Austin Ekeler left end for 5 yards (tackle by Alex Singleton and P.J. Locke),-0.32,-0.14,14.0,2023,205
2.0,13:01,2.0,5.0,LAC 18,7.0,0.0,Justin Herbert pass complete short right to Gerald Everett for 9 yards (tackle by Alex Singleton),-0.14,0.74,14.0,2023,205
2.0,12:25,1.0,10.0,LAC 27,7.0,0.0,Justin Herbert pass incomplete short left,0.74,0.2,14.0,2023,205
2.0,12:19,2.0,10.0,LAC 27,7.0,0.0,Justin Herbert pass incomplete short middle intended for Keenan Allen (defended by Josey Jewell),0.2,-0.49,14.0,2023,205
2.0,12:13,3.0,10.0,LAC 27,7.0,0.0,Justin Herbert sacked by Zach Allen for -10 yards,-0.49,-2.32,14.0,2023,205
2.0,11:32,4.0,20.0,LAC 17,7.0,0.0,"JK Scott punts 83 yards, touchback.",-2.32,-0.28,14.0,2023,205
2.0,11:22,1.0,10.0,DEN 20,7.0,0.0,Russell Wilson pass complete short left to Javonte Williams for 14 yards (tackle by Eric Kendricks),0.28,1.2,14.0,2023,205
