Tm,Total,Offense Tot,Offense Pass,Offense Rush,Offense TOvr,Defense Tot,Defense Pass,Defense Rush,Defense TOvr,Special Teams Tot,Special Teams KO,Special Teams KR,Special Teams P,Special Teams PR,Special Teams FG/XP,week,year,game_id
Cowboys,20.0,10.85,7.66,2.76,-7.7,4.61,1.49,2.52,10.34,2.77,-4.88,2.44,-0.22,0.62,4.81,14.0,2023,206
Eagles,-20.0,-4.61,-1.49,-2.52,-10.34,-10.85,-7.66,-2.76,7.7,-2.77,-2.44,4.88,-0.62,0.22,-4.81,14.0,2023,206
