Unnamed: 0,LAR,BAL,week,year,game_id
First Downs,24,23,14.0,2023,201
Rush-Yds-TDs,30-128-0,26-139-0,14.0,2023,201
Cmp-Att-Yd-TD-INT,23-41-294-3-0,24-43-316-3-1,14.0,2023,201
Sacked-Yards,2-12,2-6,14.0,2023,201
Net Pass Yards,282,310,14.0,2023,201
Total Yards,410,449,14.0,2023,201
Fumbles-Lost,2-0,1-0,14.0,2023,201
Turnovers,0,1,14.0,2023,201
Penalties-Yards,5-34,7-79,14.0,2023,201
Third Down Conv.,6-16,4-12,14.0,2023,201
Fourth Down Conv.,0-0,0-0,14.0,2023,201
Time of Possession,34:35,27:43,14.0,2023,201
