Unnamed: 0,SEA,SFO,week,year,game_id
First Downs,17,19,14.0,2023,203
Rush-Yds-TDs,20-70-0,23-173-2,14.0,2023,203
Cmp-Att-Yd-TD-INT,22-31-269-2-2,19-27-368-2-1,14.0,2023,203
Sacked-Yards,4-15,3-14,14.0,2023,203
Net Pass Yards,254,354,14.0,2023,203
Total Yards,324,527,14.0,2023,203
Fumbles-Lost,0-0,1-1,14.0,2023,203
Turnovers,2,2,14.0,2023,203
Penalties-Yards,5-39,5-30,14.0,2023,203
Third Down Conv.,2-11,6-11,14.0,2023,203
Fourth Down Conv.,0-1,0-0,14.0,2023,203
Time of Possession,30:45,29:15,14.0,2023,203
